"","AEW541","Panobinostat","Nilotinib","Sorafenib","ZD-6474","Lapatinib","PD-0332991","Nutlin-3","Erlotinib","X17-AAG","PLX4720","LBW242","Topotecan","Paclitaxel","RAF265","AZD6244","PF2341066","TKI258","PHA-665752","Irinotecan","PD-0325901","TAE684","AZD0530"
"ACH-000365",1.32180555687975,-4.29790727553944,1.61779655068176,1.51875909634888,1.03280410887723,1.61673667018029,-0.469763618050727,2.07944154167984,2.07944154167984,-1.42598924523446,1.28292543925523,2.07944154167984,-2.8442053585034,-5.40315757314566,1.18281206650902,2.07944154167984,1.35403460888466,0.867588072996023,0.837663252392614,-2.84216225942329,2.07944154167984,1.36165406818582,-0.476799376920631
"ACH-000611",-0.919639013618449,-4.76593512521479,-2.31021357602326,1.72690407638083,-1.12987250243973,-0.951255810100658,2.07944154167984,2.07944154167984,2.07944154167984,-1.09954629271412,2.07944154167984,1.54700709216036,-2.16424630194895,-5.97456259328863,1.33649143952224,2.07944154167984,0.018693325974404,1.43173454345597,2.07944154167984,-2.15771757151475,2.07944154167984,-1.22827488218492,-0.671925895329083
"ACH-000656",-1.03139510678521,-4.45786960028946,1.75622171884696,0.798880470528794,2.07795914885331,1.91973265868296,0.192590820281053,2.07944154167984,2.07944154167984,-2.14038945224845,2.07944154167984,2.07944154167984,-3.48328671725055,-5.97277312520719,0.817124498200947,2.07944154167984,0.883072763743374,1.28346249212755,1.95824467816339,-3.63287987368436,2.07944154167984,0.763296809478304,2.07944154167984
"ACH-000114",2.07944154167984,-2.16518334237716,1.77286510277317,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.41245546201161,2.07944154167984,2.07944154167984,-0.635041183818516,-5.97456259328863,1.363267049995,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.19606401732671,2.07944154167984,2.07944154167984,2.07944154167984
"ACH-000652",2.07944154167984,-1.85184890065942,2.07944154167984,1.9721317508913,1.32876877152623,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-0.427042475654584,2.07944154167984,2.07944154167984,-2.89176552473807,-1.21077047959102,0.554238162391499,-0.592934559201979,2.07944154167984,1.5744763656448,1.99678738112951,-2.10290663418136,-1.77911081183752,1.50444195187354,1.60082183703211
"ACH-000226",2.07944154167984,-4.31563480697036,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,1.77866528029792,2.07944154167984,2.07944154167984,-2.33003079410718,2.07944154167984,-1.72433058172671,-2.55741609288574,-5.97456259328863,0.89369672481995,1.87926966567546,0.600538594562538,2.07944154167984,2.07944154167984,-3.5441808821878,0.147012419244266,-2.36974105263706,2.07944154167984
"ACH-000953",2.07944154167984,-2.38428865412144,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-0.788213655462722,2.07944154167984,2.07944154167984,-2.76894791801822,-4.76492118503631,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.19606401732671,2.07944154167984,2.07944154167984,2.07944154167984
"ACH-000437",2.07944154167984,-1.59744220449451,0.0207553390084936,2.07944154167984,2.07944154167984,1.90762753115877,2.07944154167984,2.07944154167984,2.07944154167984,-2.76991568997583,1.91255869737693,2.07944154167984,2.06230552407015,-5.97456259328863,-0.0818936838401345,2.07944154167984,2.07944154167984,-0.64500681984801,2.07944154167984,-1.19606401732671,2.07944154167984,2.07944154167984,2.07944154167984
"ACH-000890",1.58776431715638,-2.12955938402401,2.07944154167984,2.07944154167984,1.59742682768945,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.22617832546056,2.07944154167984,2.07944154167984,-2.01497572318504,-4.59509649640729,1.25034247718265,0.535404579751353,2.07944154167984,2.07944154167984,2.07944154167984,-1.50777540599159,-0.407579103522737,2.07944154167984,2.07944154167984
"ACH-000418",2.07944154167984,-2.71826943000522,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.96191613920803,2.07944154167984,2.07944154167984,0.790871271807058,-4.48231028168829,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-0.528599353168177,2.07944154167984,1.46318016076804,2.07944154167984
"ACH-000677",1.0965863024099,-2.32165863193974,1.77286510277317,2.07944154167984,2.07944154167984,2.07944154167984,1.85147904009532,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-3.08128395278459,-4.14786870098838,0.870303281972153,2.07944154167984,2.07944154167984,1.91407952812249,2.07944154167984,-1.19606401732671,2.07944154167984,1.12780148474963,2.07944154167984
"ACH-000155",2.07944154167984,-2.11981997625402,2.05841895396446,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-2.89502217233092,2.07944154167984,2.07944154167984,-3.17896957751642,-3.37643006942285,0.902121356737195,1.38529584251608,1.71843168951684,1.41512847413859,2.07944154167984,-1.19606401732671,-1.4880815708686,0.437089123254288,2.02165817078608
"ACH-000384",1.53164760538402,-2.19251198705364,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,0.495986277065661,2.07944154167984,2.07944154167984,-2.88935370229068,2.07944154167984,2.07944154167984,0.089251986864173,-4.52990103825974,1.8359494277051,1.58221867654765,2.07944154167984,1.33973274047666,2.07944154167984,-0.769902394799883,-1.24382911249361,0.66856064666803,2.07944154167984
"ACH-000669",2.07944154167984,0.131635196605627,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.13737187703577,2.07944154167984,2.07944154167984,1.02335658365941,-3.97128480630704,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.19606401732671,1.47535781775728,2.07944154167984,2.07944154167984
"ACH-000236",1.36793704440899,-2.8546206684704,1.77286510277317,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-2.68095562188619,0.823637902903538,2.07944154167984,-1.46213550573428,-3.72087224931451,-1.59765829040819,-1.60708940234406,2.07944154167984,2.07944154167984,2.07944154167984,-1.19606401732671,-3.04761089710798,-1.64798495495441,2.07944154167984
