,ADCY9,ADCY6,DYNLL2,DYNC1LI2,DCTN6,CREB3L4,AQP4,PRKX,RAB11A,DYNLL1,DCTN2,AQP3,CREB3L1,ADCY3,CREB3,AVPR2,RAB5A,CREB3L3,NSF,DCTN5,AVP,CREB3L2,RAB11B,STX4,PRKACA,PRKACB,PRKACG,CREB1,GNAS,DYNC2H1,DYNC1H1,DCTN4,DYNC1I1,CREB5,AQP2,DYNC2LI1,ARHGDIA,ARHGDIB,DYNC1LI1,RAB5C
SIDM00519,-0.3761925150605204,-0.3708795690060417,0.3893482713086712,1.4523890345315533,1.4339778779933856,0.5692820927215675,-0.949381661036447,0.009070405730790947,1.903340446497661,3.4582924807672453,1.8159710814721226,-0.9234627622549509,-0.4155331520410912,1.0890773088790928,1.5532914130119975,-0.8449645227621777,1.024786519925477,-0.7401257783179707,0.34271887171825954,0.0944714299279248,-0.8596468908779336,-0.5786566154442975,-0.40416132430520113,1.4888519614274711,-0.6642417916566798,-0.19396801661267524,-0.7547095192082567,0.32996328476870707,3.0824770249581417,1.0973499712697732,1.6391101753111783,0.35461046956937453,-0.8098589639904356,-0.21974631325374927,-0.680428309483789,0.21667524737027424,0.8417617814970428,0.5152509185622276,0.5607774289948078,1.2655737976907497
SIDM00917,-0.7262704888656341,-0.42718424679709555,0.8836174269139501,0.958208850984729,1.5632146160680451,0.564927082605413,-0.9056511962474375,-0.0030871924810914725,1.299317174691251,3.330512795057853,1.6749903630989387,-0.839406181316595,-0.6850960021225068,1.1120563915100519,1.338334932273832,-0.9099995280017883,1.0999013336177565,-0.7702050369423559,-0.09106077145676533,0.1544673123453078,-0.8937136763194318,-0.6908944153962893,-0.5777722315632777,1.607886986293127,-0.6980003707464469,-0.7685558875984023,-0.7451376266929471,0.9905951288813049,2.997911791706883,-0.3799077146974468,1.4263853743818453,0.038401910008392694,-0.9341328080942651,0.663765774420722,-0.6866238537144661,0.23273346501166006,0.8777248747421044,2.5448378508863754,0.8802872044146747,0.686441782257977
SIDM00309,-0.03929455467457163,-0.4091885176566541,0.7780528246348049,1.6826624747118455,1.284215167859655,0.3950850461111661,-0.9395304052941813,-0.3506946920234881,1.8071452555882308,3.573040201233363,1.7919244415800364,-0.8913460104291522,-0.13943586042630793,1.2981620284639448,1.147763286233921,-0.8345288086095684,1.4620777150113609,-0.8065586678831088,0.33311817661900817,-0.05068327966247671,-0.9242914955578944,-0.6313072114380596,-0.2941702469289334,1.459282158530611,-0.6548918264125425,-0.32250331188668446,-0.796842937710926,0.45075864080864786,3.23694400189608,0.9749815429502134,1.8629025695143513,0.21516407623976472,-0.6997141956546854,-0.7264453332169778,-0.7727132490779003,0.12617331291143807,0.8330354263330071,-0.07562920656221896,1.2201580085916308,1.3440160059232629
SIDM00099,-0.18517704180743702,-0.2576992610259169,0.8227989301668429,1.818970371267864,1.5105069826107909,-0.1314351669885786,-0.9024426217452911,0.24545625125314027,1.860162114783321,3.4692752037829178,2.0611344248213794,-0.8341531557216794,0.18283289187023502,1.1497249312574733,1.2478765894550923,-0.94089097388838,1.6076266473745775,-0.825330800844958,0.2931043371568046,-0.38915539271577165,-0.9220106639186084,-0.5641982815937756,-0.5372332650346932,1.8911882592391018,-0.5869944303847916,0.12689241603057716,-0.7381890646027427,0.6299711438164668,3.400105283773008,0.7041599147854359,2.0325651453758895,0.3972494418262675,-0.908602752679136,-0.1894486610617859,-0.7728652502221754,0.22676945625011227,0.7740146965664763,-0.3573493763583883,1.1046607314467767,0.9432420452525022
SIDM00276,-0.5225389598422249,-0.3121261130971343,1.5260711623888683,1.622737053688488,1.3003206178925615,0.9347232620628585,-0.9181664566289328,-0.13406283809776876,1.8424430212447058,3.4110970064143316,2.1406728251903453,-0.8324419635033662,-0.47383488992087736,1.2370817294319385,1.674335808678893,-0.8641338087483406,1.108798381403235,-0.8255138781172602,0.19819560923206514,0.21610746486195487,-0.9768263171291788,-0.5246445880461084,-0.6630575853943218,1.4587856748421806,-0.726402678006925,-0.18959251099276647,-0.7414626369710949,0.6547302772448635,3.3563369398163165,0.048070997481578344,1.8578851295128693,-0.2874687745439015,-0.9363980807399794,-0.6447949345224916,-0.7035469539019719,-0.18059082892094017,1.0021762547686877,2.6753170160297346,0.8598015193206406,1.252062341446155
SIDM00311,-0.2018835395922187,-0.17004751774736446,1.0948306030224024,1.7225478502632827,1.1770349970061287,-0.05800355752280554,-0.9161951217665804,-0.43949852066979184,1.6651599410620617,3.449582327904238,1.9171953512202167,-0.8008258419018527,-0.6774638423541632,1.4867196035450856,1.649974251484997,-0.8412538943272535,0.9255708775155836,-0.8707224463134619,0.37224882754331834,0.10509292471023042,-0.8789604615486037,-0.5386402134063379,-0.5550462342302784,1.398390152785559,-0.5088950164142347,-0.11699589132220085,-0.7612137915489496,0.6322739910185315,3.3097942154221136,0.9375215378470776,2.222951955320265,0.24905182943326487,-0.8860498163474244,-0.8195218274826874,-0.7312542998371757,0.046583541574194295,1.1324801135839586,1.0013435475794372,1.2130274202336246,1.3338280911926974
SIDM00970,-0.7448599744154192,0.0016497048016924222,1.3694277059743425,1.7260570981144574,1.7266780484867144,0.4088838041853898,-0.9558354386146353,-0.0036272333850462333,2.2928950560621586,3.4693519042066745,1.768603442768743,0.34856841575749165,-0.7944774564879362,1.1609521373897784,1.1953376291286242,-0.8386132135098747,1.3208076622142535,-0.8430843037827455,0.5617904237936385,-0.2045475031446535,-0.7226053567822851,-0.6324745662779586,-0.508164295910316,1.2103084606346088,-0.6435096983966702,-0.02148999828132397,-0.8275878392458749,0.9012617058387902,3.230436858915878,0.47465098754344714,1.8481492171335063,-0.20668733022389887,-0.9153910118060825,-0.9149641444550596,-0.7775191618476132,0.08413832547433152,0.7751724355122699,2.782433025933179,0.5540922683040301,1.1538753558309576
SIDM00103,-0.24442607537513414,-0.4929876868343497,1.1300455852950342,1.671264432499745,1.471415953611953,0.03518218325869957,-0.9205507678611075,-0.141904177810424,1.8152678459643723,3.4030675765282488,2.0755183590290653,-0.7682233256573009,0.032242709803042786,1.1816378700321182,1.8978223731815576,-0.8347798052947004,1.4366575341641354,-0.7727753529250456,0.3408143626087078,0.031798889411317345,-0.8740001030719167,-0.5112781826152797,-0.5207117357910283,1.9918209480139555,-0.5592154262132353,0.319056458936254,-0.7280524335108798,0.5596997983149516,3.2486743295430394,1.4267579852610548,2.3633652346644203,0.4279726159421471,-0.845790791848496,-0.7082211704444847,-0.7728646968131342,0.18426190655255473,1.2478635530523974,-0.5360007540012569,0.7035643052523407,1.1947650145576107
SIDM00266,-0.26475644225969447,-0.269054779103005,0.11130599102871486,1.233701986228713,1.688511585210152,0.6590577147888692,-0.9421379182749907,0.33201053192936386,1.5118919555430468,3.334308325389872,2.0047963728569096,-0.9040593221016736,-0.636729203202526,0.9219132995513944,1.022659073854535,-0.8086039726348307,1.1730006742537524,-0.8042179766401557,-0.09587568129845347,-0.07512672287145149,-0.7632614677095603,-0.7797198244518034,-0.6384518922806395,1.307193262603163,-0.7803909825069223,0.36874910338888944,-0.8099666108176443,0.9413423946144405,3.306362028489332,1.7618887500478941,1.9244319435632757,0.23037105885431686,-0.9028692179640557,-0.5208569282741627,-0.8029810834374679,0.2419459431010501,0.5187228009292741,1.4177568673288954,1.28960913701216,1.122402068097646
SIDM01064,-0.251120669100297,-0.66266757633644,1.0279112432321855,0.741206754636959,1.1431345726233348,0.5145193299498427,-0.8603397589778634,0.1056745475013724,1.4245441082689712,3.336245787500409,1.8631481074784468,-0.23418209287192485,-0.7997190112181882,1.6605406835355598,1.4177359754703631,-0.8360059312670338,1.0593058766358037,-0.49991072198858444,-0.08316460204083262,-0.16694407264412536,-0.7776214616854792,-0.6254464969080018,-0.2950331657303769,1.4926860837209055,-0.5473229927479505,0.07765749165441556,-0.6808190530892965,0.9041467708888243,2.595688350816121,-0.3513236019466659,1.58703487884644,0.35491891371872863,-0.8217962722798517,-0.8019626120050988,-0.7877496638553435,-0.11001002605382981,0.49540213367659935,-0.5192886462194166,1.2341462877511864,0.5944614935102823
