,CDC16,CALM2,CALM1,IGF1,RPS6KA6,PPP3CC,SLK,PPP3R1,IGF1R,SPDYC,ITPR3,SMC1B,CHP2,ANAPC7,ANAPC5,FBXO43,SMC1A,REC8,MAPK12,BTRC,PRKX,SKP1,FBXW11,CALML5,ADCY3,ADCY2,PLK1,ADCY1,RBX1,STAG3,PGR,YWHAB,CAMK2A,BUB1,CAMK2B,CAMK2D,CAMK2G,PRKACA,PRKACB,PRKACG,FBXO5,PTTG1,CALML3,CDC27,CDC25C,PLCZ1,CDC20,YWHAZ,YWHAH,CALM3,CCNB1,YWHAG,YWHAE,CCNE1,ADCY8,ADCY9,ADCY6,ADCY7,ADCY5,SPDYA,CDK1,ESPL1,ANAPC10,ANAPC11,MAP2K1,ADCY4,RPS6KA2,RPS6KA3,CUL1,PPP1CC,PPP1CB,PPP1CA,MAPK3,ANAPC2,MAD2L1,ANAPC4,MAPK1,RPS6KA1,YWHAQ,CDC23,ITPR1,ITPR2,AURKA,PPP2CB,SMC3,PPP2R1A,AR,PPP2R1B,ANAPC13,MOS,PKMYT1,CDK2,PPP3CB,PPP3CA,PPP2R5A,CCNE2,PPP2R5E,MAD2L2,PPP2R5D,PPP2R5C,PPP2R5B,CHP1,CALML6
SIDM00519,1.629813384639639,3.405443011020229,2.0679101728721148,-0.8069700227069544,-0.6265032999048307,0.11411858638168945,1.0942393271637876,0.6006131335263584,0.24168238824328261,-0.9447973495109988,0.23130577724304688,-0.9289039615952263,-0.8245934981203595,0.6072883702798161,2.264959494083085,-0.5661522704008483,-0.030120901464541886,2.5639292442386235,0.22566466874088495,0.2639515576624055,0.009070405730790947,0.8901174846676909,1.5743847189913815,-0.7856983964087129,1.0890773088790928,-0.876292904812085,-0.4747375908650665,-0.6225659736773329,2.141783111660584,-0.8256307180890985,-0.9802089788911099,2.4318169998504287,0.18150273205412243,1.043310562147882,-0.6596592776837715,0.21609175543106074,-0.10317503087378249,-0.6642417916566798,-0.19396801661267524,-0.7547095192082567,1.057280949329712,2.1143334850000595,-0.8929151937982222,1.4979426043454693,-0.0025219711556636664,-0.9761814520050398,0.4801331458266306,3.176093303727559,2.0301742649984242,0.07201739826156277,1.917532263929513,0.40754106178896565,-0.04340242305660397,0.5122871477904611,-0.8197097615542076,-0.3761925150605204,-0.3708795690060417,-0.7190695396731633,-0.8264178627985858,-0.8208144500807816,1.3881216369779408,-0.47631808382907975,1.1184369860733465,2.2096953063011533,1.4682702253736368,-0.7573625113558111,0.3671086038404896,1.9030355642735475,2.2263739533967737,2.6691031273684325,-0.3179556892114843,2.2778510656409945,0.5154256853947725,-0.4578541175407341,0.9329743918773122,1.1585493956350124,0.20225978087680163,-0.2309502108713907,2.152548470558317,0.41457707212712136,-0.7203016974859953,0.41355116441195894,2.270869151167548,2.3131850173963175,1.636749738112143,0.7447594215576702,-0.9791108758930116,0.2608362555348689,2.2181629003966705,-0.7968860297147248,-0.022424632171748567,0.3896380854916218,1.0595067925802728,0.4624333910765997,1.0935085294222202,-0.1799837033660784,1.217729787884926,0.9713264107129909,-0.11468815263323795,0.5997811361660235,0.23724636318693626,1.6441251892035962,-0.7289957667192392
SIDM00917,1.4339121331860292,2.9377746023401605,2.017225902945296,-0.7610539101750744,-0.4618557538954975,1.4073343429485472,0.6341956468913649,0.5031292249178309,-0.724651281633404,-0.9946117424325265,0.2803950818865365,-0.8719382818005346,-0.8433782154006646,0.42366205913560523,2.1489805266799706,-0.725853423038998,-0.2988939655688948,1.4458826083127245,0.181379694899807,-0.07900572216303348,-0.0030871924810914725,0.6680602121848026,1.7502339761398877,-0.8438875245171338,1.1120563915100519,-0.8639147417245175,-0.6414485593489281,-0.7424661071244673,2.321654720808499,2.2775116411131187,-0.9411060670246739,2.283275940571417,-0.8248880897902924,0.25749437577422307,-0.8365109445339176,0.1472783472451084,-0.2496021959814038,-0.6980003707464469,-0.7685558875984023,-0.7451376266929471,0.5778757578826939,1.6564389112458424,-0.7875357893135947,1.2812288900583584,-0.7100547183887971,-0.9894974249443049,-0.2311108434258947,3.158516149497121,1.9106286498169107,0.37466265137866067,0.02483926048540346,0.25945710089733554,-0.12277725828149667,-0.24510493242871217,-0.736023673057336,-0.7262704888656341,-0.42718424679709555,0.49095225179449475,-1.0031337627221115,-0.6623640079480355,-0.06297222719674431,-0.599361319849142,1.719654488962285,2.2840222822457767,2.1682208807797045,-0.6176678574062296,-0.8424505142219189,0.8139088599922194,2.0732659706568963,2.5598023261929037,-0.4818221338672584,2.1656333773028362,0.12581611851856564,-0.44938186557625304,0.24125429800896006,1.6634280828314105,0.7518296918279702,0.9343583059768635,1.4486515153287463,0.2296485415733907,2.084349108020831,-0.23188268718698102,0.7574320987461629,1.801482297960035,1.5540312491464703,0.8724956301614748,-0.6760700955178034,0.008589338708260839,2.357962908306129,-0.8172047560279797,-0.1529537202546345,-0.25235009453546553,1.421329490820309,-0.9550305402844965,1.1452003204200374,-0.7452853305088003,1.7489883347586446,1.4118598471610493,-0.23627867516762527,1.0665487737751844,0.424745568625213,1.0619232141102706,-0.7107302263572529
SIDM00309,1.7436403240609246,3.288812513982851,2.1810960642285777,-0.8123720685046184,-0.8893726144012618,0.239530686891279,0.8404614527685363,0.4586945316334438,-0.19003279365953166,-0.8932735272320823,-0.060644982753957216,-0.46536588234745674,-0.840162665915936,0.6098890712404251,2.4023683157238156,-0.5065167851281082,-0.03894532788187043,2.351498708594512,0.16320294456720882,0.050447896476412,-0.3506946920234881,1.0834458144593935,1.616760389668018,-0.925941766277124,1.2981620284639448,-0.8882832658521452,-0.34961722497094283,-0.6919039205970113,2.1248117108012785,-0.2819646462646147,-0.9310221936671773,2.37584513456765,-0.560412471674076,1.158088002691931,-0.7659499181723805,0.013686211910347072,0.036832030268477915,-0.6548918264125425,-0.32250331188668446,-0.796842937710926,1.1245906652941593,2.4843615545977444,-0.7432149974902954,1.4417430998204566,0.2055006373423367,-0.9946806583470564,0.9443050587228238,2.863377413802065,2.075525249736469,0.4199465953508991,2.0231723671886117,0.5331514192237948,-0.049477452590865674,0.4480503783760847,-0.8095859802542961,-0.03929455467457163,-0.4091885176566541,-0.7092400268259906,-0.866293312010003,-0.7395160195731783,1.4735463914075726,-0.6379620661872625,1.2363835231629212,2.3641096766077885,1.533801591408699,-0.7225668182173891,-0.3961075809183811,1.6740140653320976,1.9524628765234302,2.692446101999217,0.09146383849094515,2.089666817517967,0.5986800821643932,-0.6008458017146445,1.1029707582279917,1.7194604531910884,0.19821987316206793,0.1525414500869207,2.115829819466874,0.3348983246046762,0.1758981765566195,-0.5964080220174995,2.198982977292897,2.1843999219309045,1.658398927949442,1.0802815444112424,-0.8757767662587655,0.20175189135711027,2.158219683858114,-0.8993157897697539,0.004601402580546358,0.5992906972010221,1.1348244033746662,0.7846956195278735,1.0892205063302975,0.03734112104455086,1.1385837362213789,0.938667485337436,-0.028483012332217648,0.7940612390650654,0.6126940963033435,1.7579141813487515,-0.8365190917981722
SIDM00099,1.4666837884316786,3.346714649910355,2.4110779704303242,-0.8420840144334021,-0.8596776765958183,1.139087154857637,0.5257999937975052,0.9383392124847367,0.37613355995859515,-1.077349837272427,0.4071124894127082,-0.8600683422258049,-0.8432639551399868,0.5593979096346543,2.361537250420599,-0.7320193204759421,-0.2546784394180755,-0.0568587583020985,0.19782956718958974,0.09008217603446503,0.24545625125314027,0.7109257167619524,1.7808568270606135,-0.9201892349624028,1.1497249312574733,-0.5990377147306057,-0.6383748243700589,0.4569788463465034,2.0584913330825896,-0.6324556255655309,-0.9507316025438702,2.1858953572350215,-0.8295315740877559,1.2512953825278268,-0.6867341929402653,0.46308077226321653,0.07545791300626167,-0.5869944303847916,0.12689241603057716,-0.7381890646027427,1.3079369322481602,2.3396070660246733,-0.8482326855644008,1.3809799792777233,0.3209340969987554,-0.922788473245279,1.0308615914234163,3.1694801631406015,2.378826663905559,0.3371163731411872,1.9690359615698276,0.2805540977709959,-0.10289375430896712,0.393917948673841,-0.6498613700267414,-0.18517704180743702,-0.2576992610259169,-0.4458734750819432,-0.7281494818796146,-0.6345921029833019,1.3322680423987743,-0.41491942816476685,1.08616944910795,2.4478337504419176,1.4524860221399285,-0.9230177894996229,0.5461649969927554,1.123279266281021,2.3164069552545477,2.661218946963459,-0.40395373862765394,1.8398135744634367,0.6202538847874911,-0.5102116725448969,0.9883539830803241,1.3293772041566745,0.4272251428179874,-0.5494898051998036,2.1540495060168414,0.34042277141867605,-0.48277610031675605,-0.6708161837967919,2.1700333560248786,2.5945016931685094,1.1978859801075592,1.1569291592876152,-0.8526921428954776,-0.26397111345171087,2.3183871956552937,-0.7905296134603683,-0.09761000664822517,0.6284943136407297,1.3225179014283042,1.0484953055855488,0.7101725808595503,-0.14498182381377514,1.760515652787863,1.1485861192987104,-0.06668443718450047,1.1735344346395036,0.41076657391301935,1.5173131678875098,-0.7477793077570957
SIDM00276,0.9248275296151555,3.240136851313997,2.640025073890035,-0.8100300141193602,-0.37843851411481927,0.14944474233641536,0.7600110215584434,0.7380633156463018,-0.40741203898103584,-1.0287605913873916,0.5243242550444455,-0.8331061733634614,-0.8075367709930855,0.4384149649672717,2.253724622788035,-0.6007342935861586,0.06280863099512828,1.3531321269868644,-0.0616438838510233,-0.06835565043414672,-0.13406283809776876,0.5638057031756354,1.085977124041259,-0.946973893608282,1.2370817294319385,-0.8543191801528256,-0.09816482351378386,-0.7197081432223705,2.4098998109513494,-0.6413679750003468,-0.9917211373220381,2.5590512803240144,-0.8408028764830664,1.579486894675056,-0.8103528387628942,-0.6148705563465235,0.2019613956200795,-0.726402678006925,-0.18959251099276647,-0.7414626369710949,1.6189689354855683,2.627345561313589,-0.7270777119510755,1.3239513199429298,0.7602659364235297,-1.0764486861444873,1.6096577559421201,3.37245876158701,2.382976285470653,0.3278868998570511,2.2467050490354623,0.09769139191176947,0.17424261205031144,0.017545209832525784,-0.787935756460015,-0.5225389598422249,-0.3121261130971343,-0.4374733797239699,-0.9070478476260756,-0.7614744248869502,1.6533825095115056,-0.09273403828769362,1.729406700787688,2.807205680578315,2.019959361654287,-0.6108730396463931,0.5645127919877357,1.4255143565548307,2.130264231054297,2.485535958399745,-0.4896288876957792,2.6242095109708483,1.1105277507367421,-0.5654304334926012,1.381643609254094,1.324775522244449,0.3901472004011665,0.5398964791057,2.160147203182572,-0.08588444163377838,-0.5443190874339499,-0.7489707943437317,2.664478534865467,2.3557738643704207,1.2575696900425233,1.0136013201486003,-0.18137843871617335,0.21674865593997988,1.7820649724809356,-0.8366081174775637,0.3302668105605862,1.1643684646006895,0.9749929377434926,1.1017332648282585,1.1006798859207616,0.08364247661362709,1.481400881173365,1.7050396825030152,0.5470881486248566,0.9932444441003515,0.2678172975074783,1.8004960987401966,-0.6295154616598309
SIDM00311,1.1105055986311054,3.301473029237035,2.3985497785788255,-0.8127392125710633,-0.5817542038391551,0.5372556161210008,0.9271481710739211,0.33983197724746034,-0.19024781705445357,-0.9220605697211409,-0.14954882203939818,-0.8950445631717289,-0.8158154101321047,0.5296680982710918,2.226636097353595,-0.06842181538567282,-0.031927734609613394,0.3100717332470794,0.1215856797023061,-0.0942933784634823,-0.43949852066979184,0.6789182284483164,1.4505662652265108,-0.8082354228107739,1.4867196035450856,-0.9197123081666504,-0.16697443751995142,-0.4839696158533931,2.0736205143680584,-0.7325286148306183,-0.9573910479723866,2.3913553672536523,-0.8838636629378673,1.5405050464233798,-0.8314846368484712,-0.33790594601758,-0.04741662479732327,-0.5088950164142347,-0.11699589132220085,-0.7612137915489496,1.7890649491967896,2.869347014578048,-0.90894741819379,1.829611051678919,0.8567051955865378,-0.8892983950492612,1.529917917103419,3.1350846459763755,2.6899521514274713,0.3964635671903048,2.568237664883525,0.3396759822680518,-0.16240357784430134,0.1285457339194544,-0.8338650298806419,-0.2018835395922187,-0.17004751774736446,-0.5707866226762848,-0.6634210375995113,-0.7156997384173348,1.5404920783529754,-0.3173978040713104,1.4357413753161186,2.2869895784856182,1.8896826961927777,-0.8024440377522937,0.11842218249655319,1.3898298874174204,1.9314199233190965,2.5956159398338534,-0.4899323458559017,2.2132241015140384,0.29001810221540564,-0.4154375528631899,1.638911148697101,1.2253134546100468,0.38729023043362193,-0.4214738375191723,2.1663786099693043,0.5800461792052721,-0.297196916930855,-0.6355736511643333,2.7113664097915082,2.14150776480264,1.588461560789544,0.8190079611583896,-0.7192593007611314,-0.07971200905591741,1.554190839474939,-0.8696955985028437,0.2988382325120287,0.5709020553360239,1.2093930196224365,0.947465542602499,0.21226171420114134,0.5336817975130287,1.5983126525506939,1.5218427477901386,0.2798264380727148,0.9338106185209212,0.6888803462679042,0.7540254640885538,-0.8262110264974655
SIDM00970,1.2570118580404566,2.997127622667184,2.9816846982138316,-0.7702518987849236,-0.7198589289787303,0.030852483894811232,0.9985750220059667,0.5069331571714352,-0.17167322440950866,-1.1339858078042704,0.0232715350514139,-0.7952622668886923,-0.7022949505622341,0.7500419553624355,2.3674662001136366,-0.7805081572753996,0.061983878655471066,-0.17895507660375162,-0.283948733105749,-0.3641967686796801,-0.0036272333850462333,0.7303228947424913,0.9008343460263489,-0.8660533697298957,1.1609521373897784,-0.8810710387313534,-0.3278852592484667,0.8377013906306389,2.4421584814284683,-0.6656038949863394,-0.9769663828062876,2.5929605986510302,-0.8894647622897656,1.4188732972505498,-0.8567212730857549,0.2915994873314407,0.40655452505328643,-0.6435096983966702,-0.02148999828132397,-0.8275878392458749,1.2258980690060013,2.045374796862268,-0.7680933459775284,1.4645686170568457,-0.28358899567190243,-0.9106457984011357,1.1034829043839354,3.3884606235896517,2.412939541043393,0.5755221068530932,1.7799321105394383,0.1683534421546036,-0.18391590846331016,0.8979135918164843,-0.6906937174444193,-0.7448599744154192,0.0016497048016924222,-0.7010909604646125,-0.8502856930618422,-0.785300438372017,1.7696309093824656,-0.2812812632064448,1.0940091579200963,2.7098568188930847,1.5480021660770813,-0.7460463355224911,-0.8375776316612893,1.0909825668078816,2.0812320309890917,2.7661270261580393,-0.4192933597820453,2.3029748098906118,0.3293145122295789,-0.4650107008237144,1.5388411091790422,1.8483309782044781,0.8119872597350951,0.529962347670253,1.79534573258052,-0.1593660531635791,-0.3849159694104453,-0.8231778836173611,2.127955494197857,2.443523958218484,1.1651324334913638,1.1898177755524166,-0.8115153226988477,0.12402837437917921,1.8204410235643562,-0.8765251491365482,0.24584922263465933,1.0728471158117499,1.3200824079518878,1.1064490655090542,0.7349678369951161,0.6491339547961573,1.8002348048000638,1.149005793256608,-0.2698700496996458,1.1211891188942704,0.11016151131759451,1.7144994215516516,-0.8652414681128265
SIDM00103,1.7427048174332918,3.3787375877429024,2.350299357280336,-0.7969174172790026,-0.8027069733153116,1.39866427863796,0.9263318484261092,0.5453880413287697,0.023540062073262376,-1.0002887598810688,0.6363394407494628,-0.8699401039905802,-0.7919491553438586,0.564961526661064,2.214335328738166,-0.5132781120388676,-0.3770371703817151,-0.3884473983262471,0.15811161940364743,-0.08894716218804347,-0.141904177810424,0.7668258684624472,1.151824376785958,-0.8485331953771983,1.1816378700321182,-0.8645975638065646,-0.48072084910710267,-0.6664243563686305,2.0346203165490295,-0.6910422565606071,-0.8424991779571136,2.516141699248031,-0.8431575061735065,0.8155483763416385,-0.89668513910147,1.1348553177287841,-0.12774355548768823,-0.5592154262132353,0.319056458936254,-0.7280524335108798,0.9046454248459863,1.9581255815979532,-0.7985815630346397,1.351416637416636,0.011343292761004417,-0.8640604990218843,0.7701078417008582,3.2162579687063246,1.884753955887444,0.36799501682737706,1.749647483249663,0.183465420031122,-0.0739251860307792,-0.24499821549340217,-0.7545610996114599,-0.24442607537513414,-0.4929876868343497,-0.42275532301870344,-0.8117901204860103,-0.7770246205335536,1.010186713654703,-0.3970420642342969,1.3068261799586645,2.4221340252652603,1.3916393884940752,-0.8249554116357566,1.2684603535515762,1.1603063175351556,1.8772186888160343,2.6082499410233693,-0.525798493559705,2.0059867322452583,0.80055510601947,-0.4008342699223396,0.582509594202708,1.7052399538782181,0.3533626797819316,-0.627439849722841,2.2879986864774224,0.1252467246171154,-0.6334190648656081,-0.8590883299385064,2.0967393314927762,2.571323359728546,1.5517437682490889,1.4013222235786624,-0.7078334621556196,-0.37538084504721186,2.3540137714009974,-0.663267409738031,0.023959792888617756,0.4580110810559802,1.1609808763492704,0.931967646087815,0.5958028530723785,-0.4602785028362328,1.7343086745773775,1.1862564779421392,0.10455618460935674,1.1520747292758826,0.49531616112500226,1.7219521346837794,-0.7354375173791132
SIDM00266,1.2443841950159733,2.9941010345052836,3.5543218072134084,0.3009426408206368,-1.053139858322276,0.059452434153442264,0.8892622302264217,0.7518863505157191,0.43328065627730916,-0.9147179144186945,-0.1795405296831473,-0.8751748718988656,-0.8471823115370111,0.5250311681999458,2.3566884658233134,-0.1817360925014637,0.019870442792382408,-0.41005324512686997,-0.08669129486398476,-0.02197410981711729,0.33201053192936386,0.6686503403503339,1.719688051480712,-0.6894949735774384,0.9219132995513944,-0.8875121490756173,-0.020137860622959653,-0.6623390878355583,2.3488770597223154,-0.7135682078775173,-0.9606122063108836,2.2469442869318663,-0.8637623341643526,1.5631776990890518,-0.8165924218160808,0.5398541971565853,-0.3475376764836021,-0.7803909825069223,0.36874910338888944,-0.8099666108176443,1.2802696399052302,2.668365895701135,-0.7968717278372824,1.3792134706126928,0.7844427907735421,-0.7709635546478725,1.1403768478250107,2.9193066344751455,2.3614914445316635,0.14106793089805592,2.296340616413545,0.3163532595795562,0.08535957358339183,-0.5482205167142229,-0.8383722459025567,-0.26475644225969447,-0.269054779103005,-0.7230544883647042,-0.7695400954168218,-0.8160088598659344,1.7499742078375085,-0.3657371232173092,1.4722933687138835,2.4006825775326837,1.3033679463501235,-0.7790981750231987,0.22311205420569463,1.067421149161405,1.9608609050168277,2.876663801413975,-0.5464420700201927,1.8630661083364346,0.43598438125523226,-0.5265629255317927,1.5153245399551214,1.8115893961646823,0.5203234391390296,-0.5996036741030542,1.7409827415294383,0.2635091584489312,0.8955894175660499,-0.7532473379076112,2.4919457127617566,2.403318143003788,1.859808327274838,0.7658391543278876,-0.7651720164127352,-0.092720134336156,2.0854667852592823,-0.7812824220616994,-0.02590715256717027,0.3005009183936125,1.6327421418768657,1.6648138934646912,0.5182277082102135,-0.6661600216761644,1.7790082648722239,2.0680645027250764,-0.04317643806342509,1.1612796965040533,0.2681257528861529,1.301229601043689,-0.5547975582084855
SIDM01064,1.3859496630828454,3.1039004230882568,2.764487050354022,1.0895075749060357,-0.9039246494106622,1.2825025270747707,0.9934624175637676,0.7706577661199161,-0.8080556540446873,-1.0436910347839037,0.1407450704668801,-0.807303730954412,-0.8555506126949551,0.4851166755445225,2.5875959319162116,0.6820806061735581,0.2423067811512872,0.8282508759094642,-0.003268500461773034,-0.1342460661055962,0.1056745475013724,0.5978319942493557,1.5397249906389794,-0.8267772031766903,1.6605406835355598,-0.8710000108144892,0.0067104392000070165,1.2536498824211928,2.5816055992228444,0.3919705134745106,-0.8406280743921646,1.94305350909193,-0.8796326014562149,1.6559542306682982,-0.25733493587577766,0.6465186648715905,-0.13039191760931326,-0.5473229927479505,0.07765749165441556,-0.6808190530892965,1.852020645725941,3.018612992329966,-0.766686096323822,2.024361479659606,0.3759038363954338,-0.8733208061971858,1.0364361921161795,2.9354677060840277,2.599626253384716,0.6075850662639282,2.168208763349833,0.38478793441976145,-0.28399131166849506,1.2133393179603242,-0.7328274176960781,-0.251120669100297,-0.66266757633644,0.2807882806754634,-0.7035891690409853,-0.7221597975940146,1.7523243176594547,-0.008659363718067203,1.7171883978481455,2.168705254872407,1.9344409784512715,-0.27055712673893534,-0.4729021756941233,1.0964490036293941,2.2037413410398807,2.93224165120046,-0.32446162696118624,2.258967133157781,1.0024155733741154,-0.4328013456449634,1.8788360415934027,1.6054822021951367,1.324784881453375,0.5824353889962777,2.42330620803426,0.392123920983516,2.2630260065738272,-0.5372407202241409,1.9151236938556682,1.6287778773425128,2.0713062493965557,0.8405282911163392,-0.8122230600814839,0.12873562617667442,1.699555031182645,-0.6991692709420417,0.601195493310622,1.1340757855931924,1.4965333639248315,1.2064258194788318,0.7986811202021461,0.8469260362458246,1.553523187987556,1.9698834571855295,0.04740841495847523,1.2161782822450506,0.315815172853116,1.1989393237284054,-0.7553292354973423
