,UQCR10,NAE1,CALM2,NDUFA4,CALM1,ATP2A1,EIF2AK3,PPP3CC,ATP2A3,PPP3R1,ATP2A2,NDUFS7,ADAM17,BACE2,MME,MT-CO3,COX5B,ITPR3,PSENEN,LRP1,COX4I1,APOE,CHP2,NDUFA2,NDUFA3,NDUFA1,CAPN2,LPL,CAPN1,APAF1,HSD17B10,APH1A,UQCRQ,CALML5,GAPDH,ATF6,COX7A2L,IDE,ADAM10,COX5A,CDK5R1,ERN1,GNAQ,BACE1,CALML3,APBB1,SDHA,CALM3,NDUFA4L2,NCSTN,CASP9,PLCB2,CASP8,CASP7,PLCB1,PLCB3,PLCB4,TNF,RYR3,FADD,SDHB,SDHC,COX7B,BAD,COX7A1,COX7A2,COX6C,GRIN1,GRIN2A,GRIN2B,COX6B1,CACNA1D,BID,GRIN2C,GRIN2D,CACNA1C,NOS1,CACNA1F,CACNA1S,COX7B2,CASP3,TNFRSF1A,UQCRB,COX6A2,MAPK3,UQCRH,UQCRC2,UQCRC1,MAPK1,NDUFB3,NDUFB1,NDUFB2,ITPR1,NDUFA10,ITPR2,NDUFAB1,PSEN2,GSK3B,PSEN1,NDUFA7,NDUFA8,UQCR11,NDUFA6,NDUFV3,COX6B2,COX4I2,IL1B,SNCA,MAPT,NDUFB10,NDUFS8,NDUFC1,NDUFS1,NDUFB6,NDUFS4,NDUFB7,NDUFV1,NDUFS6,NDUFB9,NDUFS5,NDUFS2,PPP3CB,NDUFB4,NDUFS3,PPP3CA,APP,NDUFB5,CDK5,FAS,CYC1,CHP1,CALML6
SIDM00519,2.8717436117353654,2.4235788558561384,3.405443011020229,-0.29394091983170373,2.0679101728721148,-0.9169768637431258,0.4532816185007434,0.11411858638168945,-0.7194568659082753,0.6006131335263584,0.8592396318544177,1.8054672487911094,0.2561167679384067,1.0502493160222346,-0.7754991358254126,3.862569912718719,2.9774593418774993,0.23130577724304688,1.3069525723491744,-0.44950114685077963,1.9640332531308697,2.240434433476147,-0.8245934981203595,2.2794415572297844,2.6139800458754836,3.2301551158983792,2.5971805931683156,-0.8841106461497684,0.6901030622921553,-0.46457905330289656,2.0020747867642963,1.3130083892512583,2.2478182051361455,-0.7856983964087129,3.69791634840694,0.2619893541934148,2.3363657605532535,1.604213569510638,0.8640533093911591,2.8630510921314696,-0.337451615968969,-0.7678697435079574,1.3348226942570265,0.15964853658082043,-0.8929151937982222,-0.7308823417518365,2.374708395974643,0.07201739826156277,-0.8073938186549812,0.48244823091762623,-0.16304697270656243,-0.5224688389682631,0.0006099864991469575,0.012109947287288376,-0.28388167354621846,-0.17219165357449026,0.07490848976441174,-0.5600337566519754,-0.9559483732379999,1.6568903330029767,1.7959278315655325,2.4465927780302943,3.007197721442201,1.3580295249854797,-0.8955042119619918,2.9381557230627746,2.3169151251033875,-0.8336545197363687,-0.8711102277229238,-0.8649656119941859,3.1318812234144797,-0.9267804143791178,1.6347017488187623,-0.7251294601834596,-0.916265358659966,-0.8599463753321505,-0.8581953720467783,-0.5919623709124651,-0.7536578846054568,-0.8376372800045262,0.7134332037451958,0.27503096597781734,-0.14741648203320848,-0.9435131670941967,0.5154256853947725,1.0364666972439447,2.5541954866984056,1.0338915132721955,0.20225978087680163,0.9394232949200425,2.4896328253157165,3.0867382084103485,-0.7203016974859953,1.8265295438809943,0.41355116441195894,2.932130410771814,0.035550016400592174,1.3510624486918985,0.5811610122945735,2.369174909232661,2.1026857864505537,1.3498773224470086,2.476979433554559,1.3335428059077148,-0.6811072423798128,-0.906546274622956,-0.2167654205277526,0.15496352084328954,-0.7346808010818399,2.337704251923193,1.706622818749828,2.6104941821622725,1.5738509069192494,2.3796115690726825,2.756778209229791,2.4426519057806777,1.829401192978448,3.3204494495805834,2.3511459931465826,2.626849137093461,1.1299256588464992,1.0595067925802728,2.892004166484689,0.18307211457727443,0.4624333910765997,2.5562876660628686,1.899654971160509,0.6899951014604405,1.426481890672693,2.502579863318232,1.6441251892035962,-0.7289957667192392
SIDM00917,3.0614508721382636,2.4521178173602487,2.9377746023401605,-0.4058561428202305,2.017225902945296,-0.825259525785241,0.5433323980153727,1.4073343429485472,-0.5480224655301252,0.5031292249178309,0.2159415427739219,1.941605577163341,-0.05970290004989674,1.087933093078277,0.7145841063132155,3.677958864306688,2.970567169358438,0.2803950818865365,1.1677912256255736,-0.6052298582610327,2.246557157966709,-0.6885469588611834,-0.8433782154006646,2.4045482665965663,2.6364321279790643,3.0733803999166076,0.6677956444432289,-0.7391453614115787,0.23773988540436128,-0.4817598551934792,1.9804831378519718,0.944048756655343,2.1246672555679926,-0.8438875245171338,3.6480424078746676,0.4644775575947723,3.0409921222460112,1.1012972364269136,0.11180396943251326,2.9372378445530947,0.7815069203030244,-0.7396309714996042,1.333536923318862,-0.5637484973686187,-0.7875357893135947,-0.7289612693535129,2.0421108979814617,0.37466265137866067,-0.7199304538754822,-0.11208108292878922,0.2536338368942526,-0.7484199006984038,0.17923875659352212,0.7038291147025327,-0.8155343332125046,-0.625387120020742,-0.7800565199128136,1.830999589279416,-0.7996425095384841,0.9217449476682111,1.9734580413423115,2.314409107988728,2.9010157358100144,0.7032882367405254,-0.9949777178408387,2.832251948796705,2.4001324759772973,-0.8530250237639185,-0.5859244803758489,-0.8019169405197101,3.081767226684848,-0.68834948379689,2.2920786722805264,-0.6719787269115342,-0.9093959510948149,-0.8989352661310939,-0.7901190618414349,-0.6492499505738857,-0.7925092387689823,-0.8999900001068128,0.9001218501554026,-0.5761448395166946,-0.44446861592390796,-0.8084164951300262,0.12581611851856564,1.6643039253809968,2.7185408278200462,1.1439864903403674,0.7518296918279702,0.7000327459659514,2.834497497509193,2.4870727938169943,2.084349108020831,1.6323388696835464,-0.23188268718698102,2.8487430906875386,-0.38982913593430857,2.04988231234367,0.6275505383920545,2.433297559721159,1.892691736615515,0.6948953859251366,2.7580856283141886,0.2976499255328116,-0.5060102748472888,-0.682864036581286,-0.7157615594981127,0.18087942425397646,-0.8038546470571004,1.6496127629963115,1.5254904026978917,2.463563256891285,1.3083510160513128,2.102924236662697,2.7215743633876306,2.1364731546032125,1.675152238979228,2.599505830728849,2.313496083359178,2.237858401850689,0.7258454806660635,1.421329490820309,3.272272124720095,0.2041795862540469,-0.9550305402844965,0.5793230059413793,2.4820099488043756,-0.023296324193275698,2.5215052797383217,2.373556274422809,1.0619232141102706,-0.7107302263572529
SIDM00309,2.8001159540260265,2.764239536742015,3.288812513982851,-0.3534629778694106,2.1810960642285777,-0.8191002071954456,0.7133249776484261,0.239530686891279,-0.7285367476869657,0.4586945316334438,0.9596384616930871,1.8213083851077947,0.2685011764352977,1.8106047439222523,-0.28404870308867697,3.6061249598679197,2.9606543411455277,-0.060644982753957216,1.3785342289585618,-0.5162497362628269,2.1779599430043453,-0.7038540455187159,-0.840162665915936,2.3557326788211013,2.304860029932269,3.2521855000304543,2.521596084131797,-0.8719129129682028,0.5347864876783083,-0.6448947396276308,2.288240364594103,1.1182889347976754,2.27220627331566,-0.925941766277124,3.813447520949777,0.04965093206232895,2.5237550549400507,1.4097065898357353,0.8591337598946793,2.828338236998217,-0.6485350742181719,-0.752080445811558,0.9300509381485954,0.0568828445154497,-0.7432149974902954,-0.6897905506513065,2.0430240609087362,0.4199465953508991,-0.7935149836790847,0.17936662890392915,0.3099802629052463,-0.8288201783708491,0.04318044773879801,0.021264340589176003,-0.8099176556565033,-0.30167521091617444,-0.6675338271001798,-0.8252947442022723,-0.937544671597138,1.4713581531465492,2.1311905020926676,2.278753433097384,2.980769131965067,1.4346878852123166,-0.930843680094797,2.829090084870947,1.950610124321013,-0.7916030438292029,-0.873371418752893,-0.8434691448664909,3.1431526378249193,-0.892140631001195,1.0694911735687007,-0.49109612844113754,-0.8977231785649307,-0.8985738596381093,-0.8456682406461499,-0.627145881601741,-0.7115613422902661,-0.8982025438718771,1.5199915871511618,0.5661578017054454,-0.5554371908248736,-0.7212306408447935,0.5986800821643932,1.1898269926665166,1.989132680751659,1.6766599861211482,0.19821987316206793,0.9924555276287974,2.459214997546807,2.968730746612531,0.1758981765566195,1.3804383893621874,-0.5964080220174995,2.829875505997478,-0.20835439085964028,1.5938635558462186,0.3517240622624061,2.5190037256104896,1.6501262237679668,1.197907037195355,2.1741343448532335,0.8464355817049795,-0.7457877903285507,-0.8247247725783244,-0.2638700280432006,-0.2364181553178054,-0.6032033985875147,2.2276521241781255,1.7993633053175933,2.5075356439771994,1.7410335853862144,2.0911701475757645,2.6564188749368416,2.4695529192792254,2.0169540231151877,2.731829058304928,1.8262063401442552,2.7050932648340895,0.8465206466186704,1.1348244033746662,2.9918367008797846,0.3949768471772534,0.7846956195278735,2.1350106319623983,2.2559802490181666,0.5254049497720239,0.9070731447325172,2.0397627165910617,1.7579141813487515,-0.8365190917981722
SIDM00099,2.6207881557566175,2.2556265572595824,3.346714649910355,-0.48043519867953205,2.4110779704303242,-0.7276550463704389,0.6863771098376796,1.139087154857637,-0.6655417722966743,0.9383392124847367,1.0827085160579375,1.6130894895304373,0.32176451877767853,1.6631160656256498,-0.791427151617989,3.725890820412927,3.03959936598121,0.4071124894127082,1.1516831095599065,0.1228822698372955,1.760449916951654,0.5061164825304211,-0.8432639551399868,2.0939448817144934,2.3824543426295914,3.0421923456946844,2.3401598495756306,-0.8264687957559667,0.2146087759034992,-0.5123098983380346,1.7683964693697527,1.3538605642674648,2.114703955546781,-0.9201892349624028,3.7326468890313813,0.6911746225317984,2.708328527144328,1.2790723448287669,0.9179007258751751,2.728772408302283,-0.5362096735498242,-0.826236570375613,1.6313964212235816,0.32487169579929814,-0.8482326855644008,-0.7100767501414351,2.2499999599688043,0.3371163731411872,-0.8381989735141564,0.29923300654592,-0.16120780182301667,-0.828473055770185,-0.2420353614863415,-0.5748128307607661,-0.06562375297592993,-0.2828811985284016,-0.010766273318534629,-0.8381578425807334,-0.8744607563394836,1.2681470254519487,1.648826684729052,2.1604756393634648,2.78526019991043,1.2518102860044347,2.104456315630593,2.7182878537128374,2.1463690348058493,-0.8342193048062185,-0.8926345904788212,-0.7872887852805356,3.0213924256480604,-0.8726638848981728,0.9620921739373606,-0.7279719896638889,-0.9799720234276571,-0.8819801281143722,-0.889306792091601,-0.6300371130952537,-0.8934494623745697,-0.8793425728578984,0.7852054929480522,0.4728733010382715,-0.18095405930029332,-0.8449315419053656,0.6202538847874911,1.464040025742948,2.2029163477388978,0.9679362781494374,0.4272251428179874,0.4237291164703365,2.645522892303461,2.6558541718311184,-0.48277610031675605,1.786284092458406,-0.6708161837967919,2.359082609736613,-0.44535269068448535,1.7953402335997541,0.7701599562668678,2.3133917536005226,1.9367597709223368,1.0407449521387557,2.1947109654108155,0.774572924722825,-0.6898140319668599,-0.812589273545618,-0.6613169484086525,-0.5800470924027028,-0.6507797702834299,2.158690278380694,1.6083028358468685,2.325656152559548,1.3019907058140512,1.8734562712159462,2.6117511486886236,2.349978262615842,1.7454350860698746,2.687534237566526,2.255554614930616,2.7149869560499176,0.7262410260859452,1.3225179014283042,2.8066126581117636,0.3091897899883044,1.0484953055855488,2.676825017902131,2.1756229925057915,0.38540714735902676,0.930903134078281,2.3682323095515114,1.5173131678875098,-0.7477793077570957
SIDM00276,2.889761248684471,2.4518572618539176,3.240136851313997,-0.5183725383644817,2.640025073890035,-0.7955451749485085,0.25236448344794565,0.14944474233641536,-0.7108595740658687,0.7380633156463018,0.5786476557236497,1.3150056225807776,0.207593030701589,1.6743776311917449,-0.891929311008818,3.636124736357085,2.817586980119351,0.5243242550444455,1.4926781620694083,-0.6692366120328578,2.0583651729541828,-0.4630823244888202,-0.8075367709930855,2.109092172356666,2.1288339266146195,3.05156098193859,2.3920913839938116,-0.8614836085986767,1.4869215452231723,-0.5289073356854165,2.4529239195784296,1.6517740321864491,2.0780981853695555,-0.946973893608282,3.8862092016143874,0.3985814382353543,2.4583223525542826,0.7848852463668738,0.6790423202574389,2.7362354804034137,-0.5070435015308544,-0.7402457046874078,1.2079609471188764,-0.2609546689117428,-0.7270777119510755,-0.593230588980953,2.4453436111173152,0.3278868998570511,-0.8268471295655351,0.28392982878434225,0.5405277638057181,-0.8201330135193009,-0.15621800348254145,0.06978050557378461,-0.7788636541550895,0.003181374961338923,-0.7093503530086754,-0.7093612735075637,-1.0030804604646886,1.6145808363374572,1.909327186603605,2.278087024735032,2.7962126835428207,1.2834932020677752,-0.9754631321118463,2.9403476769491226,2.1315456494025105,-0.7921997403841583,-0.886795926067741,-0.8997220402904402,2.912749995477266,-0.911619553627882,1.643760180244903,-0.7497486249597137,-0.7822047002591036,-0.9475335632409008,-0.7513960091459745,-0.6528849787401175,-0.7232178654711192,-0.7995193732162669,1.1949182686427657,0.46421297842908815,-0.400883322288765,-0.8408857770008366,1.1105277507367421,1.295638792056172,1.8499285097055214,1.117089317320639,0.3901472004011665,0.8720577346584706,2.756342073131159,2.955322287123919,-0.5443190874339499,1.6709730631599222,-0.7489707943437317,2.737234387579139,-0.0862660279026074,1.6862762082929676,0.593729657706993,2.0982932417967723,1.9625427378181548,0.856551444692032,2.2503839282282634,0.7243120207214379,-0.692333006581198,-0.9022160801668198,-0.45111261766847927,-0.17933617986746284,-0.7864738268034386,1.8234616123144336,1.767021319026229,2.802808412919517,1.4074404249188792,2.107614011269186,2.251714728732945,2.200161506318467,2.105069490093354,2.9555647973410877,2.1956535255448735,2.758959257370965,0.7343017199718616,0.9749929377434926,3.0519007479960694,0.16927186838485683,1.1017332648282585,2.3431350650308786,1.9341155689985345,0.7588715705905811,-0.04318668410329701,2.5777580247148673,1.8004960987401966,-0.6295154616598309
SIDM00311,2.80302313808871,2.6777467041636154,3.301473029237035,-0.5239693146721328,2.3985497785788255,-0.7618161179586768,0.24692270495613755,0.5372556161210008,-0.7689579880911509,0.33983197724746034,0.6644975619990958,1.3505560405320325,0.19783869995362555,1.2833706288587372,-0.5624206661401141,3.5679596843367367,2.6648840102608697,-0.14954882203939818,1.2976087918602601,-0.5003256043246972,1.9946237082021752,-0.7007076454298097,-0.8158154101321047,2.151896687402712,2.0313834457337094,2.97456991665718,1.767664894545885,-0.8031470091300378,0.22171297135312035,-0.5693115362619589,2.1099258410886326,0.9425170643925643,2.1957522438905865,-0.8082354228107739,3.885501307073123,0.21732610905723004,2.3540663639441823,0.9312071523585508,0.8266979677133998,2.726241594935203,-0.4193886204527925,-0.7800385332360035,1.38581750818193,-0.03671947016485695,-0.90894741819379,-0.23713201964831945,1.9829914656455725,0.3964635671903048,-0.8903372110305433,-0.03404266518748564,0.016676397282197126,-0.8575282564558809,-0.1161798164687677,0.06182970356602907,-0.6990640606832124,-0.011229847868629248,-0.14213813901389724,-0.7630319113703132,-0.8379802610174246,1.5216817724486587,1.9336413097884553,1.9669366265055825,2.7337410922030245,1.179641852767542,-1.0210813802365974,2.7762018377590203,2.1589684286674076,-0.8700051754780997,-0.8348294688604934,-0.8682536570055481,2.7664377255608965,-0.9071954875508508,1.1387286654756323,-0.6984856788253516,-0.9526670159102201,-0.9109247693103822,-0.8170338047222186,-0.6484544999160443,-0.789517563182541,-0.7805865277452985,1.292328226521967,0.3283000067723606,-0.15707987281716873,-0.8941562614163296,0.29001810221540564,1.0193750722790476,2.03790654323593,1.416602514428008,0.38729023043362193,0.677497492125803,2.4759612349361024,2.7835134680333984,-0.297196916930855,1.460898834764143,-0.6355736511643333,2.6149365499380792,-0.4852368931039348,1.282951438624949,0.6577777061793281,2.0078523874670844,2.048010079491008,0.9638613905252394,2.3604511929335508,0.23757430564344362,-0.7642751060922864,-0.885576141419287,-0.6986167104004898,0.20827351739618044,-0.7478051463496636,2.0820646409381465,1.6044490644505607,2.528978611349894,1.2329909988404526,2.492513574328965,2.5638354635910576,2.219923460933643,1.79500146965017,2.681861950544985,2.4117159608714753,2.410909515323092,0.44233377380913413,1.2093930196224365,2.537598933812452,0.35944513764290337,0.947465542602499,2.248310686919908,2.1573497327899473,0.24269995520096918,0.36575852301577094,2.426680870340117,0.7540254640885538,-0.8262110264974655
SIDM00970,3.3061555733720835,2.6513663786765327,2.997127622667184,-0.37818409534410563,2.9816846982138316,-0.8206888323044323,0.5801500420516847,0.030852483894811232,-0.47272669740012174,0.5069331571714352,1.0137500368866244,1.3732945724089847,0.02027363399493361,0.9587911347286839,-0.6285498666523937,3.6558224606302057,2.7044467273575403,0.0232715350514139,1.8454756377278962,-0.6664336011002489,1.9613771893361374,-0.06483073258652972,-0.7022949505622341,1.9229259339972284,2.670425339927546,3.1449035138441475,1.2061954242823831,-0.8696734062198419,1.3826344795042071,-0.5592354542280012,2.1813530733577644,1.2687435234354774,2.278806678517597,-0.8660533697298957,3.692840275183034,-0.07275182754314331,1.9999158019245338,0.99028148831796,1.3277892537681488,2.9528254135252086,-0.650843168536657,-0.7386104534243031,1.3877255711812926,-0.6698505207017074,-0.7680933459775284,-0.7706466243969226,2.073865623273684,0.5755221068530932,-0.846811836805021,0.16800631514902095,0.47699840145989814,-0.8729264863234977,-0.08559988515420308,0.38998291630897264,-0.2056887890907924,0.3691638520888408,0.018608130776813853,-0.9528144348089674,-0.7731186915484376,1.2980681109729102,1.8898398550642632,2.3846449461358574,2.904965217328487,0.926248724312014,-0.9780596367846325,2.8389025322545507,2.372432436770787,-0.8832018114353318,-0.7896435071386281,-0.8665429834789505,3.3608538865009066,-0.6532647387976468,2.2181068288096415,-0.8029038024646,-0.682240756905089,-0.9687990573362196,-0.8307747727808694,-0.6040073971420742,-0.8084663223505886,-0.8738076356279902,1.2696085940084265,0.6945822203691181,-0.09330900847086689,-0.8414275416397562,0.3293145122295789,1.6567194229589306,2.2302690711099338,1.3615226922174768,0.8119872597350951,0.6785837467977198,2.8849853732553155,3.0127062497587205,-0.3849159694104453,1.7254609485484984,-0.8231778836173611,2.7777511096138467,-0.5589488424494581,1.5783739419319924,0.7324013124294123,2.186633886206724,1.8863314877164208,1.0223979959417906,2.568653751567278,1.1504620614509944,-0.7845414419881207,-0.9423947679904816,0.8619130503356253,0.5773314902569746,-0.8049546743107644,2.232313182976116,1.4196536797053882,2.6084205185775358,1.2264702224144695,1.94586739905926,1.9820451128471908,2.2280948095397624,1.4969580883610558,2.6808959882038352,2.441970514184741,2.729352496997331,0.7303969330122458,1.3200824079518878,3.0292299374670324,0.2522688275315328,1.1064490655090542,1.865928628656994,1.9550670233742133,0.044125343771143216,-0.3874832023965425,2.68193609898832,1.7144994215516516,-0.8652414681128265
SIDM00103,2.4541130845619983,2.144370495776571,3.3787375877429024,-0.5953485364516666,2.350299357280336,-0.7604678294100098,0.5370047141428465,1.39866427863796,-0.6911764416916423,0.5453880413287697,0.8765461561870056,1.8185372286495702,0.17748882342378333,1.2353150824664052,2.311714914723237,3.728426944887844,2.9442107079459188,0.6363394407494628,1.3103590208828857,-0.18022649063820698,2.0273056436341466,1.2440903641018113,-0.7919491553438586,2.0197645022189397,2.3060893622102343,2.883266918556573,2.535028839468676,-0.7337331234845069,0.7734630935699363,-0.6801308861233766,1.6699124628,1.1982413814423203,2.1547812759328706,-0.8485331953771983,3.575499700230301,0.43264161198698514,2.671537723617825,0.8822564722578246,0.5824785414832435,2.8285614743971275,-0.3697143464303045,-0.7976062240655794,1.1908561462898601,-0.023570742887012112,-0.7985815630346397,-0.24203131066125108,2.0521371455577038,0.36799501682737706,-0.8562672445124079,0.04944729095389548,-0.21195830567363155,-0.7878343911565672,0.05666128670094899,-0.3608553094268397,-0.8394236156336857,0.10537069320392656,0.6929036419545747,-0.7985828210686804,0.9562470116707829,1.3533582671720505,1.5660941729295272,2.2175594154506926,2.6960183665705832,1.506035085821319,-0.80562922800111,2.7496281266972726,2.1790364570106093,-0.9051678607542724,-0.7637008815017764,-0.8579353270191581,2.9776579663286395,-0.885752070746853,0.6592252551179641,-0.7562641846087838,-0.9246869838732787,-0.8723192999102393,-0.8198624622143239,-0.5666967177655473,-0.7691125414372325,-0.8203539673978565,1.4164805506199207,-0.010341617274465718,-0.11880114156254427,-0.8579679204578198,0.80055510601947,1.5467250640500472,2.4261753931063854,1.4689498840303647,0.3533626797819316,0.5025263935129658,2.440766608846104,2.4308257863675675,-0.6334190648656081,1.7987000220135052,-0.8590883299385064,2.811523629375483,-0.17749597022475766,1.8739563973929787,0.8393377020745209,2.0028843950593744,2.127771704981388,1.0558641686774364,2.06876511554321,0.5254371575711373,-0.7219768069818232,-0.9677322755265984,-0.5290849951425801,-0.4056755537347393,-0.7040960016177411,2.2854015600620565,1.724484531869512,2.779658856044452,1.481760802072686,2.4061573864020356,2.773472591780038,2.3361677292975203,1.9586291709440569,2.7044050965767057,2.3337973122311046,2.720041614557674,0.8162527235888317,1.1609808763492704,2.9180259325376365,0.3817552629549723,0.931967646087815,2.4188552922926343,1.9734501386104482,0.3584979136787496,0.8964305047705046,2.5539240376457175,1.7219521346837794,-0.7354375173791132
SIDM00266,2.6757156894414362,2.220530611221031,2.9941010345052836,-0.5986288713480191,3.5543218072134084,-0.8425188346644592,0.0990796563285451,0.059452434153442264,-0.5550678022186682,0.7518863505157191,0.7062116299192687,1.961787488534704,0.33143008703768545,1.190133267895023,-0.850102459782557,3.6755033891555478,2.97131762566905,-0.1795405296831473,1.503617982653371,-0.5842437867952545,1.8540351318579433,1.6606281944161607,-0.8471823115370111,1.9958759626668594,2.5368234479010607,2.9350810091118906,1.4384353049027412,-0.6439390641895925,-0.016077429204716057,-0.5488311224049399,2.10557949293906,1.21286798178397,2.207261380782209,-0.6894949735774384,3.8043932874379314,0.7139653241220948,2.6214667560131195,1.1319571177057195,0.15446684708102568,2.9640017337976077,-0.3339465482552389,-0.6263510510434059,1.3619032506322748,-0.3706394816949438,-0.7968717278372824,-0.07364418264233388,1.643703006763596,0.14106793089805592,-0.8951349095920739,0.1492245122895973,0.1439342599588066,-0.8498200598777886,-0.1300122715286382,-0.03183265028114689,-0.5241061003921688,-0.30980612618380193,-0.43998132982956734,-0.6886728367980001,-1.0168739184722928,1.0402083790739116,2.181510118763013,2.416494699398866,2.691769744274513,0.8550364573565588,-1.0090230173434838,2.8129213979077408,2.078588070212031,-0.9393497090919154,-0.857302840889627,-0.8214330695060518,2.9516468739452546,-0.8972024279831587,1.4105277299308452,-0.7203445980815911,-0.8041780033906409,-0.8612174626844602,-0.46341943486929016,-0.5907975434770865,-0.6854903321761104,-0.7496683247579762,0.6822150047002127,-0.0781745509287426,-0.11238732346303185,-0.8880739685131752,0.43598438125523226,1.9522675554311164,2.494169120914538,1.7414427171509856,0.5203234391390296,0.47433496549537935,2.8431437652589233,2.467777446556984,0.8955894175660499,1.8398799848145357,-0.7532473379076112,2.9315078595565995,-0.5802740491853905,1.608867664968994,0.6472160595696071,2.5987010939821853,1.9232342680038186,0.970487079179769,2.7336349568571245,0.34150622461720825,-0.7809221044720396,-0.9131105810355786,-0.21590178351473444,-0.4296252928988669,0.829412677522701,2.277346398902745,1.6431021967323074,3.1727451259030954,1.7536088633186562,2.377924413873826,2.6180350933141994,2.534929843548474,1.9194930568398514,2.6820001052611673,2.584757923720163,2.550355042586298,1.3715531369039538,1.6327421418768657,2.8744186077018443,0.4250970792135293,1.6648138934646912,2.54921188213716,2.354231126284552,0.12222470676757771,0.3025587382148227,2.9224596918034105,1.301229601043689,-0.5547975582084855
SIDM01064,3.003416024886976,2.317968812566092,3.1039004230882568,-0.6270962544277191,2.764487050354022,-0.8155189010014547,1.0136525617242327,1.2825025270747707,-0.5431765579086605,0.7706577661199161,0.49916440224965164,1.73129265979287,-0.1118805209185571,-0.5012249673829576,-0.7918694849079042,3.5994530728213783,2.8543674416180185,0.1407450704668801,1.3600690367279638,-0.7726471933025423,1.6555953914383483,-0.7907421821335956,-0.8555506126949551,2.1540597210007517,2.5181317573444013,3.1380434686999665,1.3173494663383287,-0.7834170500647233,0.17722277032429878,-0.5468074502680605,2.159025956192753,0.9584661448062157,2.2033593757823597,-0.8267772031766903,3.795965026937412,0.24517885156146968,2.568198657241533,1.3311986163485752,0.22145248696238204,2.9208330553865003,-0.6601825053404515,-0.7783234059995721,-0.524437168006727,-0.6730987766837149,-0.766686096323822,-0.39563411939072884,2.5232775990081064,0.6075850662639282,-0.8015673552116257,-0.047240900816240425,-0.1351704207431215,-0.8419211342160129,-0.4158480958375661,0.3961134673355207,-0.8149221125354579,-0.12677338058176302,-0.737437860661444,1.2615577021538715,-0.9857858616798121,1.349767548081793,1.859089970112888,2.0610933705862915,2.6978047179664353,1.1711456279706722,-1.0409266953588725,2.9459858486195034,2.2848142024336413,-0.9241175167379905,-0.8102600933074803,-0.8700058658108729,3.0542960116785802,-0.8954114719759686,0.9815586639530066,-0.6352847272499765,-0.8133546680012044,0.18335384756784337,-0.8467547284349406,-0.615860413254957,-0.7351450489649145,-0.760643574463554,1.5209681332346896,-0.7137271373219817,-0.12538383070003628,-0.8574409443468478,1.0024155733741154,1.009186716981493,2.165423229596105,1.288712954035356,1.324784881453375,0.8580745821497697,2.8752026275688607,2.857767934069986,2.2630260065738272,1.5492670485303386,-0.5372407202241409,2.8489809719110126,-0.4068579637482864,1.0044439342394096,0.7868903166701529,2.574834751030366,1.9166488172201814,1.0469021347881386,2.216028938663448,-0.04243263208181871,-0.6214998956833925,-0.9717653674010659,-0.9442081731163728,-0.6539403071985401,0.018157922558652936,2.087223536981422,1.5813891039813885,2.479944929620607,0.7428154161651505,2.2663208921854103,2.269841659147622,2.134946410430127,1.8007284225484073,2.870764784477862,2.522558659576255,2.533427040669361,0.538912408293041,1.4965333639248315,3.001512069110377,0.3034808187878912,1.2064258194788318,0.3973351520256141,2.468940351743359,0.052066434815826707,2.2598797043841197,2.425686012845801,1.1989393237284054,-0.7553292354973423
