,MPI,PMM2,PMM1,FBP2,PFKM,GMDS,PFKFB4,PFKL,MTMR6,TPI1,PHPT1,PFKFB3,PFKFB2,MTMR1,PFKFB1,AKR1B10,KHK,FBP1,MTMR2,HK2,HK3,HK1,ALDOA,ALDOB,MTMR7,GMPPA,PFKP
SIDM00519,-0.4638791136965309,-0.7494837958245878,0.4342051325759157,-0.7992528123398597,1.9410368568556409,0.6806980997524431,-0.842430577540075,-0.07209073379686992,0.2017947519156197,2.1364894738284255,2.6537741775628394,-0.23524633106197684,-0.5253452833920526,0.5839495019421896,-0.744243538494107,0.1916538219674236,-0.7647339850035516,-0.648032084980427,1.1286409143137375,0.01468437794139422,-0.7483145559433166,0.8728449019245373,2.998507091230003,-0.8610961503513928,-0.7362741866998348,0.7106504005111011,2.0415926643481996
SIDM00917,-0.44806703017954236,-0.6871198879558847,0.4849257498395968,-0.3914919080481729,1.9216707304609457,0.8219622257823005,-0.659136963929087,-0.020634716418905245,0.13478339958286764,2.2619298609629737,2.6564348583450736,-0.2564166549923639,-0.7630385751888564,0.7494433491426932,-0.7028987242811741,-0.7270313707717493,-0.7794414605167078,-0.7021280097365227,1.003225045845411,0.9878059854859959,-0.7808321119030809,0.6073633654010221,2.720946008929624,-0.7694409660643609,-0.7480319381823926,0.31083076567081097,1.6592962388659467
SIDM00309,-0.3855296536516937,-0.688735373263759,0.5630976504615157,-0.7288773969762321,1.6006627642964362,1.0944192469907097,-0.8027547594733041,0.37374022150526703,0.14481644473018868,2.5235568104245925,2.0679366824625607,-0.462400129156542,-0.5517477757626776,0.6149757279813814,-0.8248694099406905,-0.5197058619876985,-0.5849694631961575,0.8097814494072972,1.2021531641130825,0.23534756228249887,-0.7458371428922206,1.2193397084238555,3.1330927472181167,-0.923008966596766,-0.7154153234844168,0.4112881084828771,1.9727297824072623
SIDM00099,-0.2996246952806264,-0.5774008380650747,1.1120507782383873,-0.7766994471654115,1.7796936994616286,0.1735568064371458,-0.7825256938283116,0.026759040100666667,-0.05438740874620362,2.517481208501184,2.59328619159774,-0.4426733722175629,-0.773798732076833,0.6066617667624882,-0.7653164065433707,0.0958393674307997,-0.7471493427123381,-0.6724822889005005,0.8907156107858155,0.1200636428588885,-0.6674179921082567,1.3125618397379044,3.0479242390107433,-0.8200075853801017,-0.6318425025303972,0.5306350197310873,2.3943792500681336
SIDM00276,-0.31201191541913054,-0.7709888121771036,0.8229672244535434,-0.7527875666178487,1.343624156819663,1.501209476569896,-0.7421578456506425,-0.2281366852190709,-0.24533049255270226,2.8083507448105047,2.202540664502169,-0.47378912998164135,-0.7371184311273926,0.7605194534178987,-0.5135033605854896,3.088964833183504,-0.5760843387830114,-0.4323966448350795,1.3424914463964241,0.5539035868355162,-0.8228190604383028,1.5279334381796006,3.4129476274548116,-0.8395255609576909,-0.7185239780555921,0.8855921859490973,2.603002484721678
SIDM00311,0.11289431160799493,-0.6186839750451646,0.8083095553676475,-0.7558938128304016,1.5907501815090193,1.0681801067923262,-0.2993725335738005,-0.17029690879171194,-0.18601676403936307,2.852880605722651,2.3786463697439286,-0.15156440848987235,-0.811033853408193,0.6992678175798783,-0.6927646727499442,1.3562901811830086,-0.7098992562742101,-0.6216480905820867,1.2299194036131267,1.0784918106849626,-0.8724701867505567,1.7179456415340506,3.2937442688828185,-0.8736161380227071,-0.7070426213431819,0.7397514990858922,2.4644402409602906
SIDM00970,-0.11949236205023257,-0.5652109743820523,0.6353111588561297,-0.8002635103032052,1.7028386118262173,1.7030083966446252,-0.5714077925737582,0.12521562131411187,0.08097984911226719,2.666583944705898,1.8954578227781127,-0.2580551087945452,-0.7679711614358984,1.076472186721865,-0.7280576579430229,0.8279288908555509,-0.7905949586704908,1.6002493661036274,1.253845344431707,1.0831821691631967,-0.9169784988868717,1.6211494532565083,2.8776723242853453,-0.8431029599579656,-0.6519836551397221,0.17977276741896986,2.0140912793407395
SIDM00103,-0.22990430305646978,-0.6413334335867656,0.8827148352546977,-0.6381879969736433,1.552202796662341,0.854758317823344,-0.6841198068790341,0.3225148075493362,-0.26230923824667496,2.223157549172616,2.5437460747216676,-0.49893443144790717,-0.7042837030156477,0.790500454275007,-0.613327616513381,-0.8750090835170954,-0.6929660153009568,-0.7110531907866597,0.8031341595877465,1.7664864651931547,-0.8320424784181192,1.6850886314318008,3.1706817791801,-0.787735119590109,-0.6479527995501961,0.6140648169404994,2.1958235720457244
SIDM00266,0.012806290628609376,-0.6299882229809278,1.0681247173580903,-0.8202034905005181,2.2130571881504255,1.2368094105435525,-0.6795503988457813,-0.2238090111213678,0.9415623592291545,2.5349479527814944,2.242347874806299,-0.1633648952519062,-0.6109403697746801,0.43643283019271245,-0.6837639534998108,-0.901746603370157,-0.4229796031643512,-0.5482109043166243,1.2853090582751396,1.3963905478109235,-0.9004506970951371,0.8779630766330278,2.947006712360702,-0.8069353187021777,-0.660949217967578,0.2781703366524971,1.9093989031285696
SIDM01064,-0.07123281419285588,-0.5667137747397614,0.9593234812054274,-0.7888612124919064,0.22589471978920792,1.2070468021146077,-0.7498531387124641,-0.2987654638342584,0.18437711346070915,2.9028367693055124,2.315080872758918,-0.24566573495602517,-0.8265750068131043,1.029525599403078,-0.615529815493667,-0.7373910479493582,-0.5699023613005779,-0.44770765553859493,0.9307883373291823,0.46040730652207634,-0.6519672388145558,1.1505061654248148,2.6936028758559276,-0.7814946905044399,-0.6832425924176021,0.4041335817661028,1.8591926833089487
