,GALNT15,GALNTL5,GALNT6,GALNT5,GALNT16,GALNTL6,GALNT13,GCNT3,GALNT10,ST6GALNAC1,GALNT9,GALNT7,GCNT4,GALNT11,GCNT1,GALNT8,GALNT14,B3GNT6,C1GALT1,GALNT18,GALNT12,GALNT2,GALNT3,GALNT1,ST3GAL2,ST3GAL1,B4GALT5,C1GALT1C1
SIDM00519,-0.9671409291811998,-0.8045919706471132,-0.035376167776629254,-0.9550039800318113,-0.7130859236462093,-0.9397893485562592,-0.8290353549407022,-0.7900158447023367,0.5655577450276942,-0.8778273409051122,-0.35321780810495107,1.0705810042542256,-0.9279303702607583,0.5578811643840348,0.15218192578801643,-0.8558799209357241,-0.6863411357792912,-0.6597404576307812,1.286370901506706,0.33764689352921734,0.991206411773431,0.3964969434896928,-0.8867000371538231,1.6240974273130206,-0.6053577462317702,0.24970519852152692,0.41839576007319507,1.244516009707664
SIDM00917,-0.8795918899879724,-0.7017700962940534,0.3531896998344599,-0.7907529634848842,-0.6837428562140424,-0.9404905858679706,-0.9474371400511568,1.1655799364285664,-0.4357896379201522,-0.9650096041830142,-0.8304462962399483,1.323047169132328,-0.9340112416984055,-0.3573586301199994,-0.685395284982821,-0.76581497346318,-0.7322265500476026,-0.6319736090131818,-0.3876678213488892,0.7938535817193495,-0.15513184827964457,0.007165390796516921,-0.04227351719105953,0.5526230581337427,0.6107114103918635,-0.3001396963123799,-0.1280895851847124,0.6703416956099397
SIDM00309,-0.8618049587302733,-0.8113693666985923,-0.8689253225035246,0.6423176047669927,-0.7491897664154371,-0.9486869379033258,-0.8078331394222831,-0.6232811730566808,0.30509207263131016,-0.9235684691678013,-0.5445063312814111,1.7628294793278771,-0.9375605210659705,0.3989352272563577,-0.5061232715927038,-0.7338974190240918,-0.6082934309324362,-0.7804992805102599,0.4209240559560381,-0.02658977129513939,0.7811071934525242,0.02866246954509981,-0.7818534906198199,2.119826058505378,-0.4106421691700134,-0.478038974634223,0.4472979655484991,1.1898592211278676
SIDM00099,-0.5319459801088762,-0.697443166406959,-0.8661826723798978,-0.6042268546787614,-0.6603030658704252,-0.9143050904239477,-0.09488474376110223,-0.7242619441341234,1.0482255198104824,-0.9396858796598324,-0.584598284938432,0.29713214360561746,-0.9153844168318167,0.3449179256583775,0.7397533751258725,-0.8954046886115371,-0.25137058013319113,-0.6817793861280003,0.32249181861077897,0.42970393220722536,-0.4576468304774045,0.1651228262608682,-0.7285731414237828,1.6132309274205572,-0.5296572244164625,0.06444188213508938,-0.1112022684253397,0.9679742642571766
SIDM00276,-0.8321498211060352,-0.7035358586992099,0.15555620352228577,0.006048126242434363,-0.7192849602770527,-0.9404304577367883,-0.9182172603954489,0.1801118958614479,-0.37110081616946927,-0.7803644257984531,-0.7605613613960409,1.791742010668603,-1.016653184624486,0.2726850570741667,-0.3869968421052585,-0.7480068827354361,0.5263115978112431,-0.5968566563954036,1.1294838320963223,0.3756210876037606,0.7900195191816081,1.172697943459643,1.9043046864222417,1.6427258327960135,-0.5352499440248611,0.20065693552165595,0.3860763098556619,1.2732087874919573
SIDM00311,-0.8538167850860022,-0.7842969300474528,-0.8746224817610074,-0.7814162889684703,-0.6162744950209467,-0.8905310901000287,-0.8457501489383104,-0.8277601141450995,0.13785467624706005,-0.9583501077722877,-0.7438420118878917,0.7883170898476711,-0.9038206515901145,0.36315406564380026,0.4153756097179218,-0.8043351294429159,-0.7329111295898794,-0.6576656896303604,0.9899556639685576,-0.455406782110741,1.3505391524155759,0.22336262455785408,-0.18446303683656706,1.9044646702791515,0.005140792885034629,-0.2648895634550316,0.5059124336404699,1.144930896609448
SIDM00970,-0.8381972703607731,-0.7323124172971107,-0.7999214587244144,-0.6988821652085344,-0.7484785335390169,-0.8917173243589871,-0.9538257165517333,-0.7091345023968707,-0.45964119179988716,-1.024989813333034,-0.7812291701574853,1.4338885664830223,-0.7613395432915367,0.3523002590058855,-0.5464641359284219,-0.8597278226781386,0.9275791269759176,-0.726514154613475,0.257612505049636,0.7775604205287998,1.4636156779505611,0.644687897168017,1.9556871892129106,2.8786723417464573,-0.5503244293884723,1.3070811867320087,0.010739071230036068,1.1006338110605862
SIDM00103,-0.7859944393292972,-0.7805009594095582,-0.9414934118953044,0.1757526018442144,-0.6707834993613659,-0.8822438334801463,-0.7745244047029344,-0.7385519400013609,-0.020477875987720478,-0.9270883386076815,-0.7879249592717926,1.2763957138479827,-0.8358987660700885,0.2646550678641068,0.3116380359728143,-0.8043975446573697,-0.774099472255497,-0.6739333706710757,0.6000988229467294,-0.2830239448818909,0.9524621872312514,-0.14323055651961505,-0.6191008860842973,1.7603497538472763,-0.46843938145256364,-0.23259425943431555,0.011301964568691623,0.9207351802254122
SIDM00266,-0.8777704191071188,-0.6895602806041863,-0.7524831019975883,-0.879373170642043,-0.6621292224559366,-0.8847481355288975,-0.9311785861543856,-0.911332072443583,-0.6050755871545783,-0.9964933306893239,-0.7635348093089931,1.3249345644935198,-0.9406746847695756,0.2225486799311112,-0.8108470310686776,-0.6835074614546842,0.5854269279842484,-0.7875133129800242,-0.5224953498034908,-0.30737749336510417,-0.3835625835454196,-0.3335153440417073,-0.49132656252369955,0.9467865780280783,-0.5149397702298895,-0.2913049598486608,-0.0697487301349395,0.4303750259742395
SIDM01064,-0.8249024601807156,-0.7108300374271681,-0.46027259603751913,-0.9421641431038091,-0.7579321627884348,-0.9042289494009409,-0.8468862891774687,-0.7950269217588076,0.38130806639427944,-0.9420958845858997,-0.8158825733734237,1.9609454206977435,-0.8136611914135535,0.12487652482151121,-0.07961359755446806,-0.822914910113917,-0.5860815705002234,-0.7680017545221909,0.2533432018131296,-0.5248019055850769,1.1763593873895501,0.39050282304424794,-0.1466419905882836,1.886030236690855,-0.33042490559999715,0.4460915083163271,0.028776556512768024,1.020689454781973
