,PDHB,VARS2,IARS2,PDHA1,PDHA2,LARS2,BCAT1,BCAT2
SIDM00519,2.3969787262500835,-0.29014326429178966,2.5613454509410687,2.0318384817801918,-0.8791824657691152,0.27977970960482307,1.8710508004679067,0.8696417593555121
SIDM00917,2.2927971273300978,-0.2773829224441702,1.9592243853210145,1.882185361736023,-0.7543959467432741,0.39563918975448414,0.7951845180523024,1.4931369319232974
SIDM00309,2.776907285701644,-0.16394900580302538,2.4755349459417726,2.1637142305635044,-0.755176295644106,0.9925173650961987,1.0009794820338984,1.8470024687308664
SIDM00099,2.0318087289295415,-0.36704053598219283,2.2207691442102226,1.8471939673329147,-0.6992779451105047,-0.23215844985802217,0.4005030687304365,1.5835219008192007
SIDM00276,1.9614454106166586,-0.07031667727696544,2.0397429036164105,2.0148901195140376,-0.8020474984879744,0.27350088035530096,0.6580397570469082,1.4550872818313905
SIDM00311,2.653735006158347,-0.2937287940276437,2.0813010248892505,2.0168288479313285,-0.7536922757409688,0.7126833964552272,0.705177920703043,1.3032467618201182
SIDM00970,2.1207296553149657,-0.5232121632871553,2.2234839428918645,1.8099129036270083,-0.790118127264569,0.8662302412709938,-0.6147272455650135,2.807058237503863
SIDM00103,2.612542752847421,-0.4141077214012084,2.1345275392227077,1.8784509191795395,-0.7281922730313234,0.5279530752542355,0.4739667655404943,1.627777952878654
SIDM00266,2.5532721832222443,-0.09936548002212994,2.237129294803132,2.0422445798988567,-0.7584083288069189,0.5822845000404198,1.0993854090365291,1.8572477513994825
SIDM01064,2.3010533195696574,0.02093134997882256,2.1071679306473587,1.59761976147336,-0.7963712359344854,0.7779559428235963,1.34475083309209,1.4890365819176905
SIDM00098,2.5651996609184824,-0.3415365314526684,1.920191734636219,1.7301715036677856,-0.6916150780779862,0.41653604365643415,0.8992874751468716,1.7437921785855868
SIDM00225,2.3353299648397434,-0.08702302693004015,2.2330601290443295,1.86918074063034,-0.760279814604968,0.4903440143910375,0.3009943836389088,1.3302488860844084
