,JUN,SOS2,PAK3,RAF1,PRKCB,BTC,SHC1,PRKCA,ELK1,NRG1,PAK2,MTOR,PAK4,MAP2K4,EIF4EBP1,BAD,PRKCG,NRG3,MAPK9,ERBB4,MAPK10,PTK2,ERBB2,ERBB3,MAP2K2,TGFA,BRAF,MAP2K1,MAP2K7,ABL1,NRG2,AKT1,ABL2,AKT2,SHC4,RPS6KB1,RPS6KB2,AKT3,NRAS,GRB2,STAT5B,MAPK3,STAT5A,PAK6,SOS1,MYC,MAPK1,PIK3R5,NRG4,HRAS,MAPK8,EGFR,GSK3B,CBLB,KRAS,CBL,SHC3,CDKN1B,EGF,EREG,ARAF,NCK2,SRC,PIK3R3,CAMK2A,CAMK2B,CAMK2D,CAMK2G,PAK1,CBLC,CRK,PIK3CA,PIK3CB,CRKL,PIK3CD,GAB1,PLCG1,PLCG2,SHC2,HBEGF,PIK3CG,PIK3R1,PIK3R2
SIDM00519,1.450651171689224,0.0498076182111507,-0.6679620629581446,0.41097071018801634,-0.693256665426057,-0.9345859177773863,1.7754572859967834,-0.14177020028773454,-0.7840267385326611,-0.772483558821199,0.8935655973365362,-0.22371018627477357,0.05205675167458793,0.8536117751585641,2.0313432249463306,1.3580295249854797,-0.7837771690016947,-0.9591225475867524,0.7229490449626709,-0.6871705103046795,-0.8000735354340742,0.8283135112466042,-0.2561277657813964,-0.6889321956396193,1.2117328419628624,-0.6571157534642592,-0.5413997596560421,1.4682702253736368,-0.13095442971362944,0.3547805573656611,-0.6205383462891487,-0.3955558339139622,1.321593338585872,-0.7032513775795374,-0.9148373248866729,0.6891289766408747,0.03515906037870421,-0.29600760340522414,1.221839698263148,1.7411622420718154,-0.19289710376957628,0.5154256853947725,0.43988414635095824,-0.6285576966138914,0.5708231736562318,2.1568489899129997,0.20225978087680163,-0.8367236396892249,-0.7030510177962448,0.8798485214472693,-0.3898911071975693,-0.05966289601354394,1.3510624486918985,-0.647993994586536,1.5419688881072011,-0.03141944906364873,0.2172080272673925,0.7086712161008124,-0.8929978167830748,-0.8620549196885492,0.07456749189187163,-0.2160679738997095,-0.22313365013243827,-0.7187735136670106,0.18150273205412243,-0.6596592776837715,0.21609175543106074,-0.10317503087378249,1.258227015239765,-0.7927789540679651,1.2446644240034146,0.31954704636902964,-0.18112189125699452,0.034940508580002146,-0.5861729564811344,-0.7479543978325434,-0.0034989349945850107,-0.23385840083667578,0.6351820544066088,0.09854995844004207,-0.8386561761109992,-0.22309303738012728,-0.07939079386696714
SIDM00917,0.3557040154974996,0.777404455271312,-0.7157253657658932,0.6703226732559828,1.6723657668354104,-0.8525030377107764,0.12774549222024534,-0.5834552659254151,-0.40131305647021154,-0.7378329943296102,0.8619869852825898,0.0006267952656839542,-0.4604744663586069,0.9061781709798711,2.170942178395428,0.7032882367405254,-0.8209437091275041,-0.9112569942696365,0.3279819575978883,-0.8210156693660189,-0.4789249487721815,-0.5015917742499891,-0.6300975969652289,-0.8093740314072669,1.4353305093647586,-0.6847001029446194,-0.08737606934962737,2.1682208807797045,-0.2359058389791639,0.07227524592064806,-0.5336004855079721,-0.44961501627394507,-0.03819793762926946,-0.43991493639764384,-0.8928742589394802,0.29835394152441674,-0.13190756479274365,-0.53140709085529,1.5502036363871254,2.0967618944171535,0.1951135938548035,0.12581611851856564,2.032499068174159,-0.7161318035188599,0.5455241666444859,2.8043043388059963,0.7518296918279702,0.4079912195723818,-0.4054075137830378,0.5785314872233444,0.7084240651382601,-0.701575656143487,2.04988231234367,-0.7149193416171191,0.6747655177517772,0.018010350725628243,-0.9705805088038854,1.0781721097533157,-0.919667194283133,-0.7639145408770946,0.3104583380836929,0.23762616099669084,0.6796217501346691,-0.33826179106292537,-0.8248880897902924,-0.8365109445339176,0.1472783472451084,-0.2496021959814038,1.7345939641854828,-0.8999405698822873,0.5399892258928097,1.6959402178273975,0.29428175640692444,0.40700550208776304,0.6552993831852555,-0.5686052152385381,-0.02056146040246094,2.521525918877269,-0.7111083577729086,-0.46485317728109304,-0.7207299110933022,0.09639864077465503,-0.45814276637380663
SIDM00309,1.1989135914686246,-0.055147137698300645,-0.7807695638963471,0.7255659061086115,-0.8444723115073255,-0.7901434013127918,1.4934606146991267,-0.2444585548068717,-0.6731966554500092,-0.37440883727113927,1.435747437791394,-0.2046267553936103,-0.02010618667079231,0.6856889106587097,1.8527698353680302,1.4346878852123166,-0.7892785415681088,-0.953490513975168,0.7807549866059781,-0.676713049756999,-0.8191751222390329,0.08441979984102689,-0.3743296156063484,-0.7409028049564534,1.29693709399388,-0.5761599240701236,-0.5982155072109197,1.533801591408699,-0.24323890091214959,-0.14684212911695277,-0.7330230494461236,-0.2912125403265399,0.8905365903622798,-0.5673413731578653,-0.9150806248763022,0.627212806327107,0.08900680572302652,-0.323607853268389,1.256524659301111,1.551214464507327,-0.25196475949383634,0.5986800821643932,0.5778454292346422,-0.7994839546429688,0.6321035255310687,2.5090390498281514,0.19821987316206793,-0.8541154838838494,-0.3119110524288583,1.0882773068400704,-0.39617924839638224,-0.033408677656909594,1.5938635558462186,-0.8057084974725208,0.44635764588407606,-0.3420208379162094,0.44619944357772084,1.4073051121288134,-0.6905337454649281,-0.9478439655739993,0.07713419241059723,-0.20371061498863988,-0.35902608280166326,-0.5719067588538529,-0.560412471674076,-0.7659499181723805,0.013686211910347072,0.036832030268477915,0.8343008677626348,-0.9262680849602798,1.308878414367355,0.9023372519923574,0.4332412209128918,-0.11725484951057555,-0.5018997117469767,-0.6379169899970415,0.03367052596493218,0.08187136456782916,0.6434067479086082,-0.296811638228665,-0.7952065883643438,-0.33145082133245723,-0.1603682274832688
SIDM00099,1.2804267594778411,0.23750660699476628,-0.6743388240877359,1.1767266262913327,-0.8126854339693373,-0.7653061163580248,1.8449289938861713,-0.13137744725192088,-0.5237087186392813,0.7762540259872762,1.2441172639914138,-0.27999962201641565,-0.11049390111615294,0.49088961829913735,1.9070370050475083,1.2518102860044347,-0.7737446713268549,-0.9349671973736883,0.3390362523399091,-0.758802651326195,-0.7705711201622135,0.8544068899536325,-0.31302835707563065,-0.8405936374049751,1.6865245406992782,-0.7950408368578683,-0.4747716843383623,1.4524860221399285,-0.08853232014296893,0.6239641672368567,-0.8199435750435607,-0.2291313922542609,0.9688732994030081,-0.5616008280392394,-0.855564847017962,0.40582766185537367,-0.35470584222096785,0.4590628778438762,1.2061207614674792,1.5303667233180474,-0.32036710954354114,0.6202538847874911,0.4293951853404003,-0.8120971220518199,0.833796751022729,2.8580368365656548,0.4272251428179874,-0.8097681129008282,-0.8135234480460959,1.0093641595797609,0.13335399968062153,0.21846877828626285,1.7953402335997541,-0.5636716404629954,0.6730085000785737,-0.002930302308622005,-0.709476890474113,1.1649822417382556,-0.886350060965009,-0.9322222508936719,0.007434448992897634,-0.36026978728763265,-0.09321407001821022,-0.745840851085465,-0.8295315740877559,-0.6867341929402653,0.46308077226321653,0.07545791300626167,0.05773351879501439,-0.8588552445705597,1.3090162296449548,0.9772417205774084,0.2470462313405816,0.11344628506884087,-0.60403659056009,-0.6606004384839487,0.3041178582883408,-0.4496306432321909,0.8991220131854462,-0.3904548774264213,-0.7412131459935081,-0.30151261608262947,-0.29295489699624994
SIDM00276,1.1495267237151896,-0.0659297637105213,-0.7730830318639567,0.6944907569106895,-0.7890798899543415,-0.45593436324362085,1.2360285556403219,-0.40676241488024195,-0.5465460043217087,-0.031237648693538077,0.9538448073099771,0.02324145318821019,-0.24702081182234953,0.7319338128724997,1.8989063136795037,1.2834932020677752,-0.7574964145062062,-0.9467913394136369,0.22516520348511637,-0.8213256112618027,-0.693685319706086,0.8291659226218577,-0.26410001922606646,0.06104129746156801,1.5730502356630185,-0.051046874548187834,0.4225250613223542,2.019959361654287,-0.19761384906400065,0.10760197413090264,-0.856136139706042,0.11933883765264834,0.2096936986767386,-0.5956790432627415,-0.9086837356651726,0.12627098334408426,0.14335860824793964,-0.5519477570600904,1.9524905147513523,1.9575623215250881,-0.3459103450949326,1.1105277507367421,-0.3630684917624366,-0.4898190144427076,0.4636340472715856,2.115272456379971,0.3901472004011665,-0.8267639290855728,-0.10259212784669806,1.1816656923996194,-0.0691404580401485,0.24900124400107013,1.6862762082929676,-0.44320454736521914,0.6515748950888393,-0.07779895785991249,-0.17374398306805527,1.3552218174092572,-0.617326739525956,-0.879370282041397,0.3319259955565263,0.010401566834162544,0.5275392477335129,-0.6488194164256283,-0.8408028764830664,-0.8103528387628942,-0.6148705563465235,0.2019613956200795,1.4485348529477764,-0.8458751624680838,1.2893929818752554,0.4020237646019066,0.030209795559018312,0.10948548738996396,-0.5315367247175582,-0.2316355681874294,-0.03665739673160678,-0.028502178643651007,-0.8931849684240403,-0.0816585197976808,-0.8724342233570149,-0.49045962005312094,-0.4121884693058777
SIDM00311,1.6009746532649622,-0.03247697834325912,-0.7678814318561907,0.5447987316773143,-0.8105801305761055,-0.6907220250358241,1.1941706855572498,0.7056643480085137,-0.6672810289345888,-0.21043874965673834,1.1668714680617331,0.03901809182694378,-0.350180345706061,0.5121588476229368,2.3545004931606432,1.179641852767542,-0.7393564213780424,-0.9362107111566738,0.5474182472045206,-0.7473286793042067,-0.8049432169992577,0.7677533507212658,-0.2844104108884494,-0.6820422201812971,1.3593653195542226,-0.6762071721589009,-0.7453538371884136,1.8896826961927777,-0.27496927592504694,0.5012232020806003,-0.6944552265003294,-0.04068572253821361,0.4566139518268319,-0.6105409974472994,-0.9014738711073031,0.8941608847471052,-0.2305903542709228,-0.27243689547260147,1.5785594577365645,1.635529327971572,0.040551384762328224,0.29001810221540564,-0.7356217442499314,-0.8886306283160915,0.6037743687259487,2.967969496653463,0.38729023043362193,-0.751888574666709,-0.7189878893578159,1.1499067182680816,-0.07582413085830866,0.11182122054986383,1.282951438624949,-0.002421370819849334,0.5102474431294666,-0.0810526231746209,1.381402266667887,1.1097653499745967,-0.4807646145470617,-0.9100086138033318,0.08589945360217498,-0.38885848261538425,-0.2006083380364833,-0.677359328236902,-0.8838636629378673,-0.8314846368484712,-0.33790594601758,-0.04741662479732327,0.6672431865164238,-0.8287666590836056,1.222587437599316,1.2324268605147033,-0.16744840637044256,0.20913883553329307,-0.5452007531527697,-0.5712074349075134,0.24234045098963491,0.22047856944745903,-0.22817501325306394,0.0102690028368339,-0.7787929081177212,-0.1528127154303174,-0.2815786822959473
SIDM00970,1.1125033789495749,0.06815208203162508,-0.8618154103732047,1.0032059249628758,-0.7355939801807603,-0.4488246063758105,1.093737430029109,-0.23316708625249377,-0.7488246410809445,-0.7228849213844508,1.0205892370760392,-0.08777845381550912,0.17913257839711824,0.2539807798261478,1.9733316991102905,0.926248724312014,-0.8510645530002491,-0.9148961412857949,0.17957833961123676,-0.7840954977463837,-0.0005214666553748757,1.3150903179988855,-0.08106132453348147,0.5682015963228896,1.0350064504926018,-0.426249581568136,0.16764458696924706,1.5480021660770813,-0.2499960950436658,-0.08722888146728958,-0.7456490937261793,-0.10547988580351268,-0.2165814321640329,-0.32945864135872244,-0.8732184163463943,0.434859948864825,-0.1859696791394609,-0.8508602838977936,1.2890579677789475,1.7772022885091538,-0.05552264691939188,0.3293145122295789,-0.32136310886736985,-0.12548187628659088,0.7419548768709279,2.8190670787098924,0.8119872597350951,-0.8149726060877294,-0.22138567307335705,1.3507311932125972,-0.3662241185702077,-0.4620419677363416,1.5783739419319924,-0.6440513887172788,0.8955143169693113,-0.372850295071207,0.31463617934483623,1.3371286241953104,-0.9071411571691793,-0.23054836215611346,0.016143176077876336,-0.382037146677231,1.085885571358944,-0.4642723288066422,-0.8894647622897656,-0.8567212730857549,0.2915994873314407,0.40655452505328643,0.9820464646986934,0.9850910999284843,1.107503557714046,0.6516507787099076,0.07842511824996666,0.5703371447563536,-0.7197542934563707,-0.5504853940793951,-0.20487850156093684,0.41264517800793504,-0.8370006192797307,-0.1870438669106171,-0.8051315465966639,0.024174200640533106,-0.3230373291454919
SIDM00103,1.9346272657562575,0.11201949844336118,-0.5628251567606234,0.842042295483723,-0.8670659958030608,-0.8204889054691883,1.6799060352227027,-0.28424573269653736,-0.5670632686165039,-0.5196541809711732,1.2473264817799543,-0.4002499698683956,-0.2440956091781148,0.4193752403248207,2.1714437596891183,1.506035085821319,-0.7682631555429059,-0.8628508306451146,0.06579980602104345,-0.8409022402431957,-0.8092251083840144,0.4167131649759908,-0.33744940059802536,-0.7211095998955708,1.7208696588265395,-0.6938380170967033,-0.3199136617291577,1.3916393884940752,-0.14844929526096878,0.764448897546259,-0.8280321490287241,-0.06847722136698463,1.0627435485970889,-0.5499446939252121,-0.8961283271701918,0.30031106169452504,-0.20046928129675043,-0.24893693507670495,1.5912580346491147,1.6238428467390442,-0.24337613375500355,0.80055510601947,0.6114375069754151,-0.7688282178168442,0.6115918772422926,2.9416310920056388,0.3533626797819316,-0.8467818040121766,-0.7133786694870169,1.4511064022891142,-0.40114405850187046,-0.0009420409975655662,1.8739563973929787,-0.49930878613587715,0.019609299068091418,-0.4006511678695992,-0.16048396266523843,0.8985220835888357,-0.8709323542503448,-0.7905998366829023,0.0004835080749557808,-0.45100359127684325,-0.057982224219576585,-0.8018036490477344,-0.8431575061735065,-0.89668513910147,1.1348553177287841,-0.12774355548768823,1.2219708033261014,-0.8914532999648367,1.2453190119225184,0.8649885642906499,-0.012228360223561519,-0.10922721032177976,-0.5742533021236681,-0.445897226423674,-0.1470608013499035,-0.5946701851889066,-0.393073193246736,-0.5035489528620382,-0.8415395909860525,-0.19631857119045654,-0.10318863179885122
SIDM00266,0.7547732186794955,0.18691646827734318,-0.7373882479019702,0.7998530910773893,2.4447941496261234,-0.8809425121290781,1.5400359956754033,-0.4922111936441592,-0.5910757786974721,0.06781385479574031,1.1739721253351092,-0.09193443216896079,-0.3668691190112027,0.4011389814825354,2.908317900995055,0.8550364573565588,-0.7934670783701385,-0.9034391368976015,0.4323758508759002,-0.6400158036626766,-0.3600812305976859,0.6838536770977712,-0.604682494559172,-0.7083945906846603,1.421884080467031,-0.7207346332098546,0.1151396341686013,1.3033679463501235,-0.1614697313923173,0.6654788082368788,-0.8204362034528372,-0.3555052293772311,0.10224116345404873,-0.5117967119573102,-0.8662850694336253,0.3124598235535927,-0.46062109873695345,-0.8347357449295455,1.6647147494627599,1.4884797745308012,-0.08529470905245536,0.43598438125523226,-0.7404523636994732,-0.8250553715722624,0.5948286514554698,2.4907638735127424,0.5203234391390296,-0.8496389728152324,-0.44779851830698464,0.7427837498526729,-0.30005824183715535,-0.4727299439307586,1.608867664968994,-0.5242393306366948,0.9111993007529532,0.09627253022619521,-0.724148075907903,1.237918109598917,1.332916152465452,-0.577906130067729,-0.1599034263136676,-0.6881238047705561,-0.3861699825009486,-0.5568906287862644,-0.8637623341643526,-0.8165924218160808,0.5398541971565853,-0.3475376764836021,1.253827961612637,-0.8287662823695146,1.158112894856864,0.975240071825603,-0.33462897669646635,0.37430815062844575,-0.6595534890448225,-0.49050390453011583,0.12465917458109645,1.042684104369696,0.14542831781025914,-0.5486084078752886,-0.6325575608303017,-0.043248545248515055,-0.44868059800330085
SIDM01064,1.1767698825357338,0.4878491632261718,0.7667273141939772,1.1271093323880224,-0.8145439237286827,-0.842859831847297,0.32009308019923066,0.17604218848619743,-0.734554988093518,-0.6785750398997163,0.7261012544823194,0.05294810681312053,-0.3722411159617376,0.49371136136102367,1.1048692587293882,1.1711456279706722,-0.7491547537256324,-0.9090929222305685,1.5451934254228694,-0.7684135984076308,-0.8948051722627113,-0.6869075951904757,-0.7070937817670304,-0.8676034234435233,1.1257725690972324,-0.6653671393407016,-0.3823909016943919,1.9344409784512715,-0.21505805647415066,-0.05166498747120784,-0.5167576011151187,0.12561007301362406,-0.05652601821586038,-0.5099221426094163,-0.7577685515402328,0.3721451255392191,-0.14944063715153091,-0.4457132286410602,1.8509542624253292,1.7085587502100803,0.8910061640613753,1.0024155733741154,1.5054204402501614,-0.8420120025949221,0.8955226757344096,2.881343173952386,1.324784881453375,0.00999373611543667,-0.7329414467991322,0.8651038677438343,0.49006099709420986,-0.6819687123538682,1.0044439342394096,-0.8287468115394749,1.139741061167428,-0.010160713992846956,-0.8469511923744635,1.455623767041481,-0.8499676609529545,-0.9322662199075442,0.11853981156144153,0.2622159011917113,-0.4978691802916767,-0.5222596854068073,-0.8796326014562149,-0.25733493587577766,0.6465186648715905,-0.13039191760931326,1.218593717846548,-0.8783249358451041,0.23453807024904166,1.6317312906782862,0.201441486318639,0.5056436354050513,0.5128280268281551,-0.7498104886315669,-0.4206900010717696,-0.661233852400993,-0.6029364535680753,-0.4887249495245336,-0.7788569289509498,0.8846240816513324,-0.3221179351293593
