,mse,rmse,R2,PCC
0,3.5102820831418082,1.8735746804282472,0.5280097354700293,0.8416852553190592
1,3.4819989031930545,1.8660114959970249,0.5458412330222076,0.844691244506711
2,3.37320559746747,1.8366288676451403,0.5499619898153028,0.855173880142924
3,3.46548272653368,1.8615807064249672,0.5424235914255473,0.8473691601056694
4,3.3643738782475174,1.8342229630684264,0.5554610982157127,0.8461744305068839
5,3.5860915540330875,1.8936978518319885,0.5064092376335696,0.8533677669699674
6,3.5353904421586453,1.8802633970161322,0.5272174232755495,0.844159050759401
7,3.1518951978616974,1.7753577661591755,0.5873773222935577,0.8428760130508914
8,3.444572964870032,1.8559560783784814,0.5339261828480615,0.846946954433136
9,3.323014617802312,1.822913771356811,0.5684608159244104,0.8442062514945138
