,mse,rmse,R2,PCC
0,6.840971329524568,2.615525058095328,-0.02563523251271116,0.29727466300477984
1,9.368871609799081,3.060861252948111,-0.23968605733178494,0.48579207581112344
2,7.80049617004676,2.792936836028835,-0.34731569211840996,0.5967063414938519
3,9.607045197667025,3.099523382339134,-0.14831474105575726,0.4315728258373875
4,12.186698041201016,3.4909451501278297,-0.6209902744740887,0.4669149077088154
5,13.861915919332347,3.723159400204663,-1.0012700660373421,0.6158876276726609
6,9.777740744164443,3.1269379181820103,-0.5654414241877677,0.22856452722150897
7,9.277598206748294,3.0459150032048323,-0.11467873537988038,0.43029471064538666
8,8.419202662020822,2.901586232049777,-0.22153322669397424,0.3031599484097198
9,12.271068866897938,3.503008545079206,-0.7184958845213849,0.2688274568989328
