,mse,rmse,R2,PCC
0,2.5896110741451612,1.6092268560228422,0.6518025654446703,0.846213701402777
1,2.6223906002685355,1.6193796961394,0.6579603513200536,0.8482897298037907
2,2.44682155203812,1.5642319367785968,0.6735560075605835,0.859869785863252
3,2.542763203189088,1.5946044033518434,0.6642578981963867,0.8518188301231303
4,2.5053835820663544,1.5828403526781702,0.6689605536052069,0.8500315207368433
5,2.5879587141413385,1.608713372276534,0.6437925536928206,0.8598793219412209
6,2.6116976598484594,1.6160747692630002,0.6507415038169174,0.850130954132244
7,2.439773511390651,1.561977436261693,0.6806029972220436,0.8452383513882281
8,2.580549940753807,1.606409020378623,0.6508342910704706,0.853744163153584
9,2.454744366949594,1.5667623836911564,0.6812176583417615,0.8483314365398811
