,mse,rmse,R2,PCC
0,2.013741406203988,1.419063566653724,0.7337220675192124,0.8622175751342512
1,2.05749302356487,1.4343963969436309,0.7304953608498213,0.8611583601889625
2,2.042520753261681,1.4291678534243908,0.7310205597624948,0.86132415440094
3,2.046128939758438,1.4304296346756935,0.7276432769643175,0.8582742195705441
4,2.0328922348519787,1.425795299070655,0.7317771327304263,0.8616099855986817
5,1.9968196792743353,1.4130887018422924,0.7311114997066077,0.8602384643192303
6,2.0510498848253924,1.4321486950821107,0.7260114376733944,0.8581057726295757
7,1.9909703280995577,1.4110174797285673,0.7346688763855214,0.8632083789550602
8,2.0122336654641138,1.4185322222156653,0.7271335516054351,0.8585751495713516
9,2.0413457923331535,1.4287567295845551,0.7338670641958029,0.8619162960552024
