fold	epoch	train loss	valid loss
1	1	2.4298463603747527	2.1182912846334574
1	2	2.0055301434599735	1.8953267609169338
1	3	1.7860844539718834	1.61156203815653
1	4	1.6407380139535337	1.5990255277079366
1	5	1.5400924359069659	1.486007837612276
1	6	1.4798190636259991	1.3758167981671081
1	7	1.4240424505764095	1.454619504484459
1	8	1.3961254898975497	1.3433255764121184
1	9	1.3546248643955265	1.299573671731708
1	10	1.3328433757716027	1.3089860389378958
1	11	1.3081206090847173	1.342422374749442
1	12	1.2781816611795191	1.3204242937831672
1	13	1.2743887712330428	1.2768107439636753
1	14	1.234304809826754	1.2750052025387002
1	15	1.2310096151051293	1.2605304469485576
1	16	1.2224410210549232	1.2463335046268973
1	17	1.2073777783549737	1.2565995295555583
1	18	1.194138879954791	1.2452500331272718
1	19	1.1789665890353531	1.2557717686525751
1	20	1.171744968273288	1.2844957018587133
1	21	1.156840460160002	1.2409632449115657
1	22	1.1485279938951285	1.2310920146828523
1	23	1.127171999678633	1.187948550127904
1	24	1.1180031521041374	1.2109597523289897
1	25	1.110510280202276	1.214290734232548
1	26	1.103232423296692	1.2136433361239383
1	27	1.0989831710345879	1.2539722075961557
1	28	1.0919697157556292	1.2749500933106626
1	29	1.0713407722375552	1.2390823081297133
1	30	1.0744660752434112	1.2020801557530565
1	31	1.0767301296344185	1.2742724280925435
1	32	1.0522434168615444	1.2365662423281893
1	33	1.0628523840619515	1.238703193216978
1	34	1.0543159931286972	1.189683457897028
1	35	1.0244326738166578	1.2075212180399293
1	36	1.0269715512043316	1.2574204460378158
1	37	1.0303620148912989	1.1901846377427827
1	38	1.0191009526733035	1.1873869045977128
1	39	1.0161773875673277	1.2002139759623187
1	40	1.0170075777044822	1.2042296836522512
1	41	1.0094559030164711	1.186940786532977
1	42	0.9966904654661527	1.2274232747752745
1	43	1.00529492560476	1.2166857226660965
1	44	0.9929097323207717	1.1878808538836263
1	45	0.984788860692813	1.2373797332982295
1	46	0.9862576074625624	1.2297303831534265
1	47	0.9819607261342124	1.2190047612259103
1	48	0.980125294052361	1.2017911412225304
1	49	0.9662456646303983	1.2953555564587727
1	50	0.9832005937342956	1.208791639185124
1	51	0.9566907040028866	1.2214443736343177
1	52	0.9627734746111413	1.1987501539908592
1	53	0.9678785330232099	1.2259717712763845
1	54	0.9724410765493161	1.2218743947869173
1	55	0.9472646649985319	1.2592660872944856
1	56	0.9541463325385066	1.2130010480915165
1	57	0.9511580237864873	1.2699738372964549
1	58	0.9472511827130848	1.186706421392489
1	59	0.9592155611054889	1.1965146249812433
1	60	0.9557899375924347	1.2238615424194061
1	61	0.9317991391669136	1.2293384803546465
1	62	0.9588396494820935	1.2036678370370761
1	63	0.9324293053432982	1.2204063490624892
1	64	0.9191839073645719	1.2096231650789722
1	65	0.9287410994754242	1.2439644402330103
1	66	0.9109777175474224	1.2296374778024557
1	67	0.9268189567996165	1.2699046853647336
1	68	0.9112020034745941	1.215075646496852
1	69	0.9626601223227582	1.2507247855947337
1	70	0.9167191455725642	1.2443943277593124
1	71	0.8987498345818921	1.236734336033625
1	72	0.9050052188873099	1.2538809370693318
1	73	0.9010700069856202	1.2368605810382305
1	74	0.9148583143146631	1.243835560251229
1	75	0.8986565495141309	1.245374265990963
1	76	0.8971508339101356	1.237954020822952
1	77	0.9052024292667851	1.2404255047171555
1	78	0.9015915974776909	1.2097161491855388
1	79	0.8816850976767576	1.2145683530866025
1	80	0.8837867574755044	1.2845530593868628
1	81	0.8791873391057096	1.2475247994226668
1	82	0.8859687875469477	1.2181580997331047
1	83	0.8789032188150171	1.246564454335168
1	84	0.8807840423982787	1.2475909592872922
1	85	0.8741584478682383	1.239683938370715
1	86	0.8760509862087796	1.3026583653064412
1	87	0.8737168463241349	1.2316287622555069
1	88	0.8779620261953497	1.2571797278383579
