,IMMP1L,SRP14,SEC61B,SEC63,SRPRB,SRP19,SRP54,SEC61G,HSPA5,IMMP2L,SEC61A2,OXA1L,SEC11A,SPCS1,SEC11C,SPCS2,SEC62,SPCS3,SEC61A1,SRP72,SRP68
SIDM00758,-0.12005857455656625,2.479961821955296,3.08678892490005,1.3985110106917038,1.6669689908270326,2.137220083542292,2.118383217720938,3.1880301751132922,2.4623508874972266,1.1196559898914105,-0.7459693487080757,1.1141721598099257,2.701176810123487,2.562815347158026,0.5857668413579729,0.08119652887828431,1.0964161075940735,1.0641247353158871,0.7469799943480072,2.957829756451467,2.0364133570044887
SIDM00612,-0.2943432341528678,2.683919263617311,3.0439617273862667,1.6802658953187946,1.8137619413371655,1.7961739593423207,1.2741536539488534,3.192563566504034,2.0490293296459967,-0.2354350601803849,-0.6715258854091598,0.500291466345306,2.844231556214985,2.5869826948877397,-0.08768422807871919,-0.40474837766718647,1.1059929170756235,1.111013481107847,1.2826855399355142,2.471606997953734,1.8867772353928451
SIDM00553,0.1215557725349777,2.668971204627346,2.8312973214580968,1.8899679234096296,2.256076851927827,1.9300049618054618,1.5477834548520593,2.9899423540541585,1.7085227354826327,0.42445830458712863,-0.7132665276365817,1.3841482263404776,2.8094369918855477,2.6933124378949955,0.5670334289625847,-0.08318268413638208,1.2335716418889124,1.7125346400579793,1.307252625991825,2.8712010498219147,1.8676815860976133
SIDM00343,-0.40468413844171236,2.5894969470246565,2.7048415393055407,1.7627382462122585,1.6935015638179927,1.944599499605222,1.7507075908807217,3.1038375340269346,2.1560587485862195,-0.04606773550186683,-0.690239248624119,0.7771858645501373,2.4651195294527573,2.1601589510309713,0.0023261755696216903,-0.49853008903991974,0.9516220829961287,0.9283010841541108,0.9425517868415576,2.3900062450146407,1.858617659132506
SIDM00543,-0.43551184628596684,2.7074950219735396,2.948313470567195,1.2640623236084412,1.8028852471141903,1.9077371780875525,1.5970176815177388,3.0514461932325885,2.0287153598371814,0.3245205099116604,-0.5982973850771406,1.4842556054127867,2.687308832756194,2.977502087693251,0.37117685464667843,-0.44463156653729347,1.1505113621915528,1.408832334546178,0.800780848259231,2.3049538248254415,1.9174081952413102
SIDM00537,-0.18520210115338698,2.692365489659021,3.026487644040415,1.841877692797993,2.1841732479840723,1.2364105592987282,1.7459543723072066,2.9239951177533867,1.7803950070723202,-0.11533088469560109,-0.6126209710124936,1.507133606576643,2.806613628161673,2.6723791125158627,-0.06292190861231763,-0.42363598007349457,0.9534725275379845,1.057957338520496,1.1022161014147422,2.217602578170567,1.787919036683861
SIDM00332,0.11039868451537765,2.7511709411999994,3.19899765234231,1.6663091249476625,2.1358816934862714,1.5593544293711765,1.778757729545404,2.8028218840033676,1.2629266847577878,0.19971976853604417,-0.6474905249988508,0.650307691582225,2.7064436168745805,2.507943705716613,0.038325545187026654,-0.5843092940775572,1.6218030349987163,-0.13336594857274725,0.9676911219599656,2.205450290308566,1.8136792466375375
SIDM00299,-0.20670926195738884,2.577325904492561,2.957897604454034,1.4661805104372185,1.780011424620646,1.4701757739209824,1.9421165317939433,2.9437927863396665,1.6781796215614995,-0.13578664933155532,-0.5731295499783057,1.2080855918555309,2.908768352970084,2.2750482990629126,-0.4148836798079407,-0.4455665930357275,1.0963197832534453,1.1380589514044894,0.9340540193440754,2.34676012268911,1.8367502676403553
SIDM00308,-0.04747553324368241,2.762420959268333,2.7850679339677407,1.8214783533309427,1.506853696888356,1.506184763606404,1.6370766778923789,2.781163402353976,1.3982443179574693,0.2274576039204561,-0.7007277311078113,1.3240478172167762,2.6826093195857803,2.2840062439076605,-0.1434198396930005,-0.20923030499183864,1.0710488222291425,1.7220651203114974,0.5593816315216034,2.908608149876799,1.9705070484883322
SIDM00227,-0.5761430306730719,2.726531300329787,2.854941614211392,1.6843027674260271,1.7854042686002534,1.9303367923823558,1.9483003034798134,3.2143915232272566,2.009416578594754,0.03222088504501667,-0.6645446048259201,1.5477015604483357,2.8537403091274576,2.7349881469876536,-0.47770395986369096,-0.5754658304320475,1.0175441121663096,1.2446149303525267,1.2218796234102358,2.502817238807786,2.0248412244357405
SIDM00294,0.009359031293825957,2.707295260079842,3.1172533846684027,1.9006930765600991,1.739709348152365,1.7652994019773691,1.6544131302132565,3.1000386774228574,1.2812574428603367,-0.0120565460957367,-0.28259957066106445,1.0921149753670942,2.263204718861473,1.9110071902329524,0.6855633348919132,-0.23555134023241556,0.8256995322564369,0.25441967869737814,0.6466819191644116,2.486744311967044,1.946022052124942
SIDM00677,-0.23309637752239482,2.5343660891458475,3.0600098567296685,1.550396468463727,1.8858568953932222,1.7517961789575516,1.6022725110959206,3.018612969674416,2.0090520380987056,0.13766237230315062,-0.6750521719756071,1.1860102042566862,2.784511755365632,2.7269670195259046,0.1846656057650877,-0.26318858975869724,0.7269996667543781,1.0752723146882006,0.943244856962682,2.5016723775065195,1.772348313176191
SIDM01220,0.11777293245802314,2.585733281346458,2.9730466346040725,1.5562011435379937,1.5730884474600781,2.1163981924473836,2.0318727218288717,3.3037631425778873,2.1810989124770654,-0.2823794373096998,-0.6797086642133369,1.0918777905838495,2.572797313395395,2.3343218898423075,-0.2666607843519089,-0.37098276977985767,1.1966804461924563,0.9841803522593386,1.1322311996122503,2.5070423178707704,1.7992559717188883
SIDM01259,1.104483650098708,2.358029117066015,3.434650704497183,1.9007790152959412,2.127371645936113,2.1505156208598266,2.154842574571672,3.404617928890736,1.92343064170956,-0.17500926267254463,-0.2671642475817813,1.1705012716759902,2.9393561209408485,2.0453168948878475,1.039158456168603,0.08849023031634097,1.3913489852906131,1.4099756713252065,1.5797557871585164,2.6369479493334893,2.1505481717440165
SIDM00680,-0.3955528909935773,2.6680270952238105,2.894930450353177,1.4557644804397911,1.9843609917789995,1.7119882162895586,1.644714870225463,2.9246509087583434,1.7076635464411876,0.06256109666915208,-0.6736879966363859,1.4836591761224447,2.9176506304581586,2.66690866797336,0.15834709360838883,-0.41652423929635984,0.8622443068663433,0.9319301843971194,1.121506180893232,2.5094002672021847,1.6794781207443659
