,CDH5,JAM3,TXK,ITGAL,ITGAM,ITGA4,SIPA1,ROCK1,MMP2,PTK2,MYL7,NCF4,MMP9,NCF2,CLDN20,VAV1,VASP,VCAM1,ITGB1,MYL12A,THY1,ITGB2,CTNNA1,JAM2,PIK3R5,CLDN18,MAPK14,MAPK12,VCL,CLDN17,GNAI1,MYL2,GNAI2,CTNND1,MYL5,PXN,RAPGEF3,MYL10,ARHGAP5,BCAR1,GNAI3,CLDN16,EZR,CXCL12,PLCG1,PLCG2,PTK2B,RHOH,CDC42,ACTN2,ACTN3,PTPN11,PRKCB,PRKCA,CLDN10,CLDN8,CLDN2,CLDN6,MYL9,CLDN5,CLDN1,ICAM1,RHOA,CXCR4,ESAM,ACTN4,PRKCG,ACTN1,F11R,NOX1,CLDN19,MAPK11,MAPK13,CLDN15,CD99,CLDN22,ARHGAP35,ACTG1,RAC1,ITK,CTNNA2,RASSF5,CTNNB1,CLDN11,MYL12B,CLDN4,CLDN3,ACTB,ROCK2,RAP1A,PIK3R3,RAP1B,CLDN14,PIK3CA,CLDN9,MSN,PIK3CB,PIK3CD,CTNNA3,NOX3,RAPGEF4,CYBA,PIK3CG,VAV3,PIK3R1,PIK3R2
SIDM00519,-0.8937488682557905,-0.1740124223377273,-0.7126183447112207,-0.8773054405218104,-0.9448408908595647,-0.6821227591647605,0.271144986998084,-0.7523052539818814,-0.5215901593690654,0.8283135112466042,-0.16742580615153183,-0.9074868796500934,-0.9002055684692809,-0.8552782147389701,-0.7348916858567228,-0.29271956221701273,0.7100635254866965,-0.8274012388200103,2.086497938027983,3.017832617977578,-0.7761301813203314,0.4269189979011586,2.510014987588172,-0.9162821623167544,-0.8367236396892249,-0.9146677411745338,0.37111776949571185,0.22566466874088495,-0.22537981994882691,-0.8038348763101617,1.5624281652834855,-0.7655024916566378,1.204096884232378,-0.08893816494813149,-0.07396185184496354,-0.30615341960460535,-0.577920575164442,-0.7710095518914568,0.46424980484313705,-0.04701907543031038,1.3494180606695867,-0.8488195976010747,2.9048935689961777,-0.9146593411170519,-0.0034989349945850107,-0.23385840083667578,-0.46741816230426286,-0.8368141647570576,-0.25600809403688,-0.8583548850590816,-0.7538159552167742,-0.41687740632795267,-0.693256665426057,-0.14177020028773454,-0.8970144193213436,-0.9457976366090692,-0.7747189982617163,-1.0907035895808324,1.3239280985053734,-0.8492727574014024,0.3867175180784917,1.4940916617258393,2.336611588025909,-0.8516211866453532,-0.8050394930677286,0.5043267825034148,-0.7837771690016947,1.5457025545850684,1.309798122590218,0.7464550018340779,-0.7327908484179779,-0.4275518556801686,0.5838466638312486,1.7587572826804687,1.5636877767850288,-0.6722182457401955,-0.4516093264792169,3.765490955547292,2.769353667407342,-0.8289665885827248,-0.8683825457118206,-0.6855807113202307,1.2176476867537853,0.03280020693156257,3.146233940379521,-0.6112583836847866,-0.6787416550888945,3.1301584994449243,0.7585674205699963,1.1474215518840094,-0.7187735136670106,-0.8148607476656504,-0.793515975491653,0.31954704636902964,-0.6289886167739939,2.373133570568167,-0.18112189125699452,-0.5861729564811344,-0.8196694973317736,-0.9296307492507971,-0.678200482103006,2.5061605124303794,-0.8386561761109992,-0.7551533582386583,-0.22309303738012728,-0.07939079386696714
SIDM00917,-0.9177571627088095,-0.7392815610931477,-0.8676912190850273,0.7933163050216999,-0.5291532725550696,-0.7620170533924799,1.2359391422561918,-0.7543480452060052,-0.7471403545163884,-0.5015917742499891,-0.6416055410383602,2.1475635582454005,-0.5730058710889667,2.835266444109241,-0.5500039785426643,0.6058303991855325,1.7926535886901747,0.5121360376074774,-0.5999323053013581,3.2857399069961146,0.3914863810867623,2.3520601960873035,1.713674044796105,-0.9196798288664224,0.4079912195723818,-0.850110905499772,0.2015353129556218,0.181379694899807,-0.6991500987102874,-0.746355074517268,-0.8015429212983989,-0.5708504543953569,1.3337234561834943,-0.4654904423998338,0.8654784558431347,-0.5163558423755895,-0.7483224427639611,-0.9354060693974062,0.10161244197504815,-0.5210502500553541,1.5765793998814601,0.9899113624449818,1.4819067843425644,-0.7709808691910792,-0.02056146040246094,2.521525918877269,1.0882502207536227,1.9770472394833978,0.44944808904324823,-0.879885830875656,-0.4276857111405615,-0.5545172319292266,1.6723657668354104,-0.5834552659254151,-0.8671842377255568,-0.9677653292638198,-0.6944322991856166,-0.833309976951814,-0.5334793082961188,-0.9458917192443452,0.8609231361907544,1.284298641551554,2.6126260305947806,1.2181610230538444,-0.7514750655999667,-0.06505458149196605,-0.8209437091275041,0.8916537836914151,0.8473669178244688,-0.7814713352243283,-0.8117359223507762,-0.525953339268432,0.47021257552627205,0.06736353954636219,1.595624677102244,-0.9019472324109917,-0.47616947616728195,3.4423811707248406,2.1032589178303955,-0.7789834925460207,-0.7707202916693584,0.24173694614754007,1.2852809793337285,-0.7473849658066815,3.2029997325043356,-0.602027137843485,-0.8657385644309619,3.1127066181298892,-0.1530102653394292,2.1679220368316354,-0.33826179106292537,-0.93516831118711,0.3516358573193355,1.6959402178273975,-0.7790546953190349,2.199039740492176,0.29428175640692444,0.6552993831852555,-0.820043555121857,-0.9794394027658911,-0.8305700262168315,3.016852569585045,-0.7207299110933022,-0.7231712567390318,0.09639864077465503,-0.45814276637380663
SIDM00309,-0.8646370090062335,-0.22217326812909924,-0.6758372584661209,-0.8219623974938411,-0.80179839137684,-0.8757329080998536,0.1846200991716347,-0.6859334283277749,-0.629318707842324,0.08441979984102689,0.6124933038915512,-0.8306611524491286,-0.9315145820083699,-0.8873910338360811,-0.8053043904682762,-0.7327293340903663,0.977924857298986,-0.10465362470687321,1.6650003876070572,3.2998080118874977,-0.7790802831326323,1.4792077514075685,2.4830444858174534,-0.901453340485617,-0.8541154838838494,-0.9513594112579576,0.027781658176252295,0.16320294456720882,-0.28974074527612187,-0.7029321268792792,1.0431219546695902,-0.8320432949923473,1.7260176775013463,-0.1447692428684455,0.5646071958099502,0.11743013424091665,-0.7003777293877304,-0.801927291786356,0.9498091922619177,0.3487195931594813,1.2577300723385132,-0.8058004508567642,2.8871527449367047,-0.8763829386233011,0.03367052596493218,0.08187136456782916,-0.49417356131762524,-0.9187456959688912,-0.1229129380584758,-0.7114612558829494,-0.7633943988458649,-0.43675263706473116,-0.8444723115073255,-0.2444585548068717,-0.8282760208832741,-0.9547249921581702,-0.7876607287379829,-0.9202370273374822,1.4717446433803438,-0.8310350209864741,-0.4046714582682708,1.4020394816685098,2.857779503124727,-0.851099530109846,-0.8540012817009088,1.4911563171197402,-0.7892785415681088,1.3643054481827885,0.7018119115385888,-0.274483346367001,-0.827680868467964,-0.6920362432120015,-0.6167940378906848,0.514162926826565,1.829349771984189,-0.58133293253688,-0.05388229277014064,3.6588408169077304,2.5778827866642704,-0.9380041091295171,-0.9408828270553387,-0.5784470722509514,1.531051666763261,2.0612705477934026,3.385991637883604,-0.579872418470474,-0.8843064999003322,3.0413373217260644,0.9363253725929757,1.5043932259792796,-0.5719067588538529,-0.86502732619906,-0.7903637452649894,0.9023372519923574,-0.7381129296544007,2.0966993328443566,0.4332412209128918,-0.5018997117469767,-0.8372308856792499,-0.9612066812520903,-0.6562311480623175,2.7333176042560026,-0.7952065883643438,-0.8438744664001151,-0.33145082133245723,-0.1603682274832688
SIDM00099,-0.807463120292618,-0.5841418537962981,-0.8972137461379674,-0.8021377240989692,-0.9610817380238337,-0.7158013375438856,-0.1349079431787793,-0.7281503381432305,0.2995668665304628,0.8544068899536325,-0.6542653099807656,-1.0007646787778168,-0.8531961564743576,-0.6267153740719621,-0.676341081956411,-0.7726990256436767,1.6487240254662028,-0.6664891770624041,2.1164613662544722,3.4736505915462974,1.6230986657598812,-0.01587579333978548,2.4668765566174353,-0.5058698373953896,-0.8097681129008282,-0.93482025924469,0.15698173939898816,0.19782956718958974,-0.20925750968980295,-0.6140025452142484,0.9279949003657944,-0.9124838324086932,1.3334506185405113,-0.14657995706534685,0.6826436648625954,0.15777370804916824,-0.7362944237938813,-0.7234808576740465,1.0665134071404152,-0.35561380160237294,1.772365471261806,-0.8925796352893427,2.1321868184251804,-0.7232270403716308,0.3041178582883408,-0.4496306432321909,-0.48161100761944775,-0.9207140877402024,-0.3063931104141543,-0.8795625438605619,-0.7099643818058741,-0.48805428678273177,-0.8126854339693373,-0.13137744725192088,-0.8014288870086779,-0.9525469833462678,-0.7273966990074554,-0.9760573489073676,1.6290767829335053,-0.9516444513727488,-0.1495228392937134,-0.4201797826875966,2.662829847610818,-0.5947374986332217,-0.8131151083259652,1.3235505903447977,-0.7737446713268549,1.9009295082638604,-0.09805315689427403,-0.8581271702626795,-0.7914503742218524,-0.6524415497699577,-0.6743050407145389,-0.1883533763591241,1.8326689427691614,-0.7320992307099677,0.25271875067097305,3.6956251491267103,2.5640336413202114,-0.919483552675736,-0.9039020373397915,-0.6230045108591539,1.4339588043516427,-0.5417200285528502,3.4293579308814595,-0.5583456191727584,-0.7939489689751694,2.9799974161351592,0.8139784723992741,1.5187677074087365,-0.745840851085465,-0.8701917169994118,-0.7879111303365511,0.9772417205774084,-0.8938905045413919,2.104542511345934,0.2470462313405816,-0.60403659056009,-0.7892358353104364,-0.9677618322064757,-0.8326615593282183,2.274689673901708,-0.7412131459935081,-0.7464210122780767,-0.30151261608262947,-0.29295489699624994
SIDM00276,-0.8266412569836247,-0.7372856980093423,-0.49463292569544637,-0.8561953210296007,-0.9259945842280087,-0.8481755148207543,1.1841690991810012,-0.7616783682984835,-0.8036387899643709,0.8291659226218577,-0.5754140154523726,-0.9223322988745429,-0.7820483605990859,2.0076817392279604,-0.7845846465975969,0.018827202302377277,0.869853299324395,-0.8705563838924861,1.9783318848585798,3.0464450458579657,-0.875127445591569,0.05582289228658892,2.123200865268304,-0.8289526373289451,-0.8267639290855728,-0.829741435573573,0.3161658464418772,-0.0616438838510233,-0.159622909297149,-0.7186200635903384,0.5008446396137698,-0.8861007793774383,1.361698122446652,0.0742310054688411,-0.7476835451355509,0.21893960583691258,-0.7618121706193536,-0.6890249155638605,0.4144703298836617,-0.1792308950386391,1.729278170054739,-0.9166730294977636,2.454315434983221,-0.8838986387940353,-0.03665739673160678,-0.028502178643651007,-0.37168951092339225,-0.8712475593700671,-0.18699906706649816,-0.8571759910458661,-0.645171486793442,-0.44887793886853683,-0.7890798899543415,-0.40676241488024195,-0.8389039488711784,-0.9322087462088987,-0.6548190023427444,-0.8211023838822943,0.7625797242605553,-0.9835780912155138,0.944913797285946,0.9006555489908444,2.5206409028438705,-0.8170336552883594,-0.6118654079145306,0.8174963170308274,-0.7574964145062062,2.0049494369240244,1.3425733596298097,-0.8620889760060391,-0.7570179454312473,-0.7072319325125542,1.4914025585674724,-0.00877953928932434,2.299623974215522,-0.8216823702897715,-0.2518486014500729,3.7314976282726335,2.537790164982142,-0.9250379372174151,-0.9157161797803411,-0.627769583913363,1.3183493700636075,1.050199029999753,3.34588834939907,2.8758743577081685,1.1712371079969321,3.189163461947727,0.0833445328460359,1.6900158608756393,-0.6488194164256283,-0.891819904966587,-0.7779258919914619,0.4020237646019066,-0.539927308672863,-0.2668253980357678,0.030209795559018312,-0.5315367247175582,-0.8136204198535125,-0.9275436748087109,-0.7838492793052357,2.883967410181069,-0.8724342233570149,-0.7054601585509422,-0.49045962005312094,-0.4121884693058777
SIDM00311,-0.7855457113008106,0.6580002034683994,-0.8450919915511931,-0.8445534479847334,-0.99006922644476,-0.07085414906357987,-0.048863224945163,-0.8568766925778432,-0.4161882983943096,0.7677533507212658,-0.7931355468708227,-0.943662162793964,-0.7563653305445973,-0.6049675220644478,-0.7757426399611623,-0.8689779586238847,0.9835579044377454,0.1273931650942835,2.109828675533141,2.742573725120705,1.8747255874439743,-0.7722161506916605,2.5427915109845625,-0.8385623170425764,-0.751888574666709,-0.90894741819379,0.22038630050524832,0.1215856797023061,-0.22464231573332102,-0.8246959293971414,0.6190998396265972,-0.7096952696945884,1.7660340308372604,-0.3775772975736056,-0.1081271351832699,0.12616538773111163,-0.8385109275889269,-0.7012892899132229,0.5594630508952138,0.29827386697605957,1.8407117244370457,-0.8758686743940299,2.357320477457039,0.002821460489704014,0.24234045098963491,0.22047856944745903,-0.6960644202854468,-0.8266296229807708,-0.029608362448675183,-0.4706585160082816,-0.7799971057022285,-0.48437306637563843,-0.8105801305761055,0.7056643480085137,-0.8419099737223736,-0.9066850626605218,-0.7469390624975539,-0.8979781203323859,1.2043880947257883,-0.9221370314398468,-0.044163808531560905,0.5989010642972065,2.962453528951947,-0.902250080323319,-0.6979948467150139,1.0284461700333447,-0.7393564213780424,1.977954440160454,-0.2839579983762916,-0.8496119081385162,-0.801536855767741,-0.53551381406055,-0.558065289953534,-0.12738983464259568,2.3184518451708547,-0.8750652493461755,-0.15720540936088637,3.7180542573840034,2.5336087504973483,-0.9042965025405982,-0.9043103028068641,-0.7555720967556963,1.7525331315109194,1.4892880642853252,3.0987208132939545,-0.5760257217815438,-0.8623423494672012,3.0285771558650887,0.8359829109320396,1.494692404143523,-0.677359328236902,-0.974540546993818,-0.19253644824704835,1.2324268605147033,-0.9280960788545913,2.3304541929170566,-0.16744840637044256,-0.5452007531527697,-0.7981058851862854,-1.0307996773981916,-0.49503624547511693,2.479072514443526,-0.7787929081177212,-0.6994468276851648,-0.1528127154303174,-0.2815786822959473
SIDM00970,-0.7972177286439498,-0.7345926363487001,0.008099899694756137,-0.9001475876860638,-0.9359981043025057,-0.8483730809648506,0.19871278307173407,-0.8431934194547968,-0.24522942456046584,1.3150903179988855,-0.7000694337393149,-0.72344471368441,-0.7469676401919564,-0.757504380181131,-0.8474040660684334,-0.7808174088188924,2.291478490488694,-0.8401997003560394,1.694698650979929,3.012070850197596,-0.8161349196730795,-0.7223870652598282,2.2586948793605197,-0.9126484593394634,-0.8149726060877294,-0.9467861557503526,0.22025738468349013,-0.283948733105749,-0.1508654788975042,-0.5952106159591077,0.7577928930312189,-0.8087801062004353,1.5581281885373102,0.34830894673220564,-0.1294810524785178,0.11523059556033079,-0.778017940325177,-0.8559419693075635,1.0417717391283745,-0.25014453998821884,1.8706812423030812,-0.9354373853731855,1.9355342458446205,-0.8581692584890349,-0.20487850156093684,0.41264517800793504,-0.03505814294207897,-0.8332759647770832,-0.0044976200404464785,-0.9165382562941305,-0.8062101382014091,-0.4807603789388971,-0.7355939801807603,-0.23316708625249377,-0.8923512179483408,-0.8996991269620315,-0.7246890501546346,-0.9096842561917565,-0.49436934934466753,-0.8890818107192362,1.1825652834122222,-0.8150119141412684,2.798015426118431,-0.8997084063178503,-0.7615053196190359,1.1303482913375853,-0.8510645530002491,1.6519120763513477,1.3050243050415238,-0.8317435482561778,-0.7906113440328003,-0.7101858439138434,1.1320125379614268,-0.30616972856867003,2.037994750813487,-0.8969760441780216,0.13744324425183405,3.740781327271597,2.70133784532971,-0.8728595778631916,-0.8825215924447753,-0.51640709843844,1.875124878476745,-0.8423101322157902,3.275022966327796,2.3020805880456394,-0.8741452418862679,2.8398138701074793,0.5346246756994116,1.6142367942215397,-0.4642723288066422,-0.9544814747274226,-0.7941056446839252,0.6516507787099076,-0.8121734734818622,-0.7663345057246831,0.07842511824996666,-0.7197542934563707,-0.7847700558924537,-1.01710321199401,-0.7204524289479306,2.897895164461548,-0.8051315465966639,-0.047028253319504124,0.024174200640533106,-0.3230373291454919
SIDM00103,-0.8573848635760221,0.17910305753053815,-0.8139322633362207,-0.8071098863923672,-0.9761690243933865,-0.7049512001506142,-0.36702149466752354,-0.7743716451933206,-0.13112644362035264,0.4167131649759908,-0.5744724619435065,-1.0193253169640897,-0.8560307849383404,-0.8182762860859818,-0.702695145043135,-0.7562903116397408,1.479345955601828,-0.8298982342921611,2.443566252914627,3.2900120646510795,1.3552040093460374,0.15874949151269346,2.3577220623358204,-0.8363487980105646,-0.8467818040121766,-0.8154748663735055,0.0013004073611845926,0.15811161940364743,-0.08693880978961001,-0.49968800719756995,0.9331583259683843,-0.781010651896609,1.7040941639938407,-0.1831529051948303,1.253113438203879,0.05815223553253749,-0.8166384364271665,-0.8757225230214579,1.1514795756667764,-0.08436489402204635,1.9663959762821708,-0.929958106532993,2.4293242150962135,-0.8400535540999683,-0.1470608013499035,-0.5946701851889066,-0.37727383869723013,-0.8308201276330901,-0.28401500007289676,-0.8182699399217394,-0.687627576375307,-0.35016489112851445,-0.8670659958030608,-0.28424573269653736,-0.8103950464564491,-0.9292210390192255,-0.7123785344619425,-0.9116753781681767,2.1054828993224066,-0.8947973380535711,0.376064160219975,0.8966726341769418,2.784596803999962,-0.9136727307117235,-0.7524275533093779,1.3393488227087893,-0.7682631555429059,2.1562233022877053,0.3334984901898532,-0.8747132858443094,-0.7577697229560847,-0.6616446450437894,-0.40427665466322144,-0.4053182175384066,1.8983290568290219,-0.7562013227449014,-0.13702416370776604,3.728604032543116,2.5729208617833472,-0.9231110315963067,-0.940046199371975,-0.6990819511484635,1.319050504339812,0.8622052385454854,3.4781078163865065,-0.5338364053117884,-0.9092150603740552,2.859653318573004,-0.6872729785421735,1.781489468440995,-0.8018036490477344,-0.9483541958427381,-0.30845405876964516,0.8649885642906499,-0.8069333046734847,2.249496838741624,-0.012228360223561519,-0.5742533021236681,-0.7756434530813229,-0.9953671469661144,-0.7529835601763145,2.3463045038826937,-0.8415395909860525,-0.7108082069880823,-0.19631857119045654,-0.10318863179885122
SIDM00266,-0.8350465323431173,-0.09772833640075418,-0.7789057169208489,-0.7988333315052322,-0.9879181904975406,-0.7375807523366853,-0.33917370295416915,-0.6893855660036172,-0.7688057278597732,0.6838536770977712,-0.6487431400380776,-1.060549626594683,0.7956082012277523,-0.6882312146907679,-0.8029889885392135,-0.43423365118197577,0.679526647560741,-0.31812033411718044,1.627616334486582,3.182330984369619,-0.48761548209422684,2.2599234137025315,2.264134672262455,-0.6900818804082333,-0.8496389728152324,-0.8893688020570553,0.20226953876461828,-0.08669129486398476,-0.4854481890624042,-0.6343797832850371,-0.30140136424836733,-0.8402903158844421,1.1658435046116802,-0.485778054568831,0.29606449171145155,-0.4370233517994328,-0.6481078092432474,-0.4253617110356655,0.3333198970833882,-0.6442655715094872,1.9219700959908683,-0.7592628564781083,1.8855700609119435,-0.8676235820067993,0.12465917458109645,1.042684104369696,-0.5139462708576994,1.9107500578378955,-0.15869170900966262,1.1977791937716853,-0.6311878975779397,-0.35970337316955103,2.4447941496261234,-0.4922111936441592,-0.928369787561227,-0.9338649679894618,-0.6999207043098356,-1.0536416529048491,-0.7279199362075487,-0.8565516606433066,0.681996976732886,0.09098411701282516,2.6792092150928486,-0.8196308013164767,-0.7395433953843661,-0.1307138727507034,-0.7934670783701385,1.3778231393555398,0.1639797264013015,-0.8126601950529335,-0.8068981332436282,-0.7213032168910508,0.020916236547061776,0.21713680441315505,3.113840212999936,-0.7986416697257647,-0.23530777321982746,3.4886724914879905,2.423210183355695,-0.8296597129165211,-0.9451345743921411,-0.6551453960734175,1.3629373334990487,-0.7793305759348836,3.281900657154813,-0.703893198920832,-0.6249791108410439,2.2635325447355523,0.32932813593645077,1.4209224781677827,-0.5568906287862644,-0.9275023002734074,-0.8146421866472525,0.975240071825603,-0.8307403052291051,2.1804470154530033,-0.33462897669646635,-0.6595534890448225,-0.8709410775601314,-0.9786192948131766,-0.6639620637073214,1.713403815161187,-0.6325575608303017,-0.7238248028637337,-0.043248545248515055,-0.44868059800330085
SIDM01064,-0.7861935337440507,-0.6807461683348912,-0.803110454475381,-0.7853354300938509,-0.49779351723723103,-0.8288864661826276,0.0318343976875673,-0.5570838710983187,-0.7260827421807278,-0.6869075951904757,-0.6470835728028945,0.21951541406433983,-0.781771232561669,0.16992251086916957,-0.7127248527077817,0.3878281994828493,1.1935874529508994,1.506778840742561,0.9275137453301685,2.919490601796169,1.6393940173251818,-0.8277324866409455,2.0927057028545057,0.650617754126808,0.00999373611543667,-0.797605748949752,0.3799612684593851,-0.003268500461773034,-0.6762973656828773,-0.7014104434081031,-0.7615119622024282,-0.834811026614557,1.680778780777626,-0.6263008399777367,0.2949512476891537,-0.7302360507039123,-0.7828228865915535,-0.8179249900716709,0.17586260409930787,-0.7396075857716333,1.7268781743105956,-0.9183962995323677,1.8322554131149102,0.9014548342800506,-0.4206900010717696,-0.661233852400993,-0.611867265600472,-0.6944046679830931,-0.10113901006162213,-0.8212164603800876,0.8552306137604624,-0.48667244666953907,-0.8145439237286827,0.17604218848619743,-0.8342317311990037,-0.934321718119304,-0.5686019693876301,-0.988438266256322,-0.6618275277795173,-0.9582128536486991,-0.7349414283500133,1.2747714952642195,2.6178962245186987,1.4910919168484482,-0.824827764826885,0.6696829957689749,-0.7491547537256324,-0.5431813803408978,-0.027493709231506656,-0.7869927524164252,-0.7374424527428846,-0.4817365671169845,0.30136442387271595,0.08393290950962787,2.315706557010428,-0.8563183730413033,-0.34614431485757696,3.554030155527734,1.8105522688699511,-0.7557849656292663,-0.7721991156267811,-0.4945115889456618,1.187079652225721,-0.8280390902955945,2.5437341842099106,-0.4857960212000399,-0.776923537369381,3.0250573482784473,0.6904693931103755,2.662437321285291,-0.5222596854068073,-0.693595473215947,2.4667807881071107,1.6317312906782862,-0.6358647863216048,2.2770923479359246,0.201441486318639,0.5128280268281551,-0.8712444832903755,-0.8858859222386848,-0.70403789236777,2.298392399781708,-0.7788569289509498,-0.7695841706409674,0.8846240816513324,-0.3221179351293593
