,mse,rmse,R2,PCC
0,3.1467333419659567,1.773903419571076,0.5877863461970951,0.8535353045844596
1,3.2744935873407677,1.8095561851848556,0.5848079757246005,0.8507692708116202
2,3.330522991913991,1.8249720523651838,0.563082791189074,0.8401691790182318
3,3.1283666076146157,1.7687189170737716,0.5951978282956538,0.8600412077359105
4,3.196647731650601,1.7879171489894605,0.5936242321535982,0.8561808358013472
5,3.4487228712264426,1.8570737387692613,0.5803753648934327,0.8522103900913711
6,3.3113916298442363,1.819722954145558,0.5832666499350194,0.8564453021517924
7,3.166607198522188,1.779496332820663,0.5993722361930931,0.8594432651792551
8,3.310105159867001,1.8193694401816805,0.5747532653361205,0.8457766291917261
9,3.2698251554125415,1.8082657867173568,0.5818745106800842,0.8509076926840207
