,mse,rmse,R2,PCC
0,3.5993396045330095,1.897192558633153,0.5284961360166929,0.855188601698151
1,3.728773773538047,1.9310033074901882,0.5272071574409318,0.8512861295210119
2,3.7604698544022876,1.9391930936351562,0.506679882831595,0.8415632048186973
3,3.5938262003834422,1.895738958924314,0.5349686168167884,0.8601404999140064
4,3.640956987076119,1.9081291851119826,0.5371411505030664,0.8580222563990005
5,3.923739195296817,1.9808430516567477,0.522577577393387,0.853842464221902
6,3.7708592719045635,1.9418700450608335,0.5254433807099099,0.8572308368131021
7,3.636084590938892,1.9068520107598523,0.5399756435340546,0.8593310425255851
8,3.7515672584031936,1.936896295211283,0.5180389596528767,0.8467817912689001
9,3.7142291563250427,1.92723355002061,0.5250468114895982,0.8509710344253325
