,mse,rmse,R2,PCC
0,6.741429991078804,2.5964263885345957,0.1216760405348366,0.8472932992012594
1,5.784118350649054,2.40501940754104,0.2759097401898495,0.8247784662757494
2,5.583695904845502,2.3629845333487696,0.308836722918048,0.8159940091168333
3,5.592177643636742,2.364778561226556,0.2962255053233548,0.8213167127751092
4,5.898490965291217,2.4286809105543727,0.21409269457267732,0.8177207261272805
5,6.088398497936253,2.467468033822577,0.22793201055181245,0.8360307138584018
6,6.057310029920735,2.4611603015489942,0.1955505843666322,0.8291661738289757
7,5.73708987338561,2.395222301454629,0.2812426172317838,0.8012124923951303
8,7.182079515774581,2.6799402074998953,0.07194067063948484,0.7826969476863724
9,6.463278819793442,2.5422979407995125,0.17341988853468182,0.8137718859828913
