,mse,rmse,R2,PCC
0,8.647000442500463,2.9405782496815935,-0.1265959412475708,0.8434997499864143
1,7.559165659776877,2.749393689484443,0.05369878437539144,0.824113169586185
2,7.292121873160007,2.7003929108853786,0.09736365722199758,0.8169038702630088
3,7.294705366462492,2.700871223598506,0.0819627146611015,0.8229253444669802
4,7.619478840177081,2.760340348612301,-0.015209503461267815,0.8151634229914799
5,7.889881339548688,2.8088932588385567,-0.0005134888714879438,0.8345387554808715
6,7.821134407497227,2.7966291151129115,-0.038696545599054,0.8309689488560469
7,7.417041759961128,2.7234246382011618,0.07077392180955555,0.8048670196071321
8,9.02470014224136,3.004113869719548,-0.1661604613667349,0.7819988331851594
9,8.301901512961985,2.8813020516707346,-0.06171911645574313,0.8141126756319491
