,CASP9,E2F1,STAT3,CHUK,RAF1,ARHGEF6,STAT1,RAD51,BAD,PGF,MAPK9,MAPK10,ERBB2,TGFA,BRAF,RAC3,MAP2K1,IKBKB,RB1,JAK1,AKT1,AKT2,AKT3,SMAD3,MAPK3,SMAD4,NFKB1,RAC1,SMAD2,MAPK1,PIK3R5,IKBKG,MAPK8,EGFR,RELA,KRAS,CDKN2A,EGF,TGFB2,TGFB1,VEGFA,ARAF,VEGFC,VEGFB,TGFBR2,TGFBR1,TGFB3,CCND1,PIK3R3,RALB,BCL2L1,RALA,CDK4,RALBP1,RALGDS,TP53,E2F3,E2F2,PIK3CA,PIK3CB,CDK6,PIK3CD,PLD1,PIK3CG,PIK3R1,CDC42,PIK3R2
SIDM00519,-0.16304697270656243,0.08599586272353803,1.9815912178134203,0.8161035609072119,0.41097071018801634,-0.9619741234372768,0.8117543098289354,0.49846253912533395,1.3580295249854797,-0.1316333253317547,0.7229490449626709,-0.8000735354340742,-0.2561277657813964,-0.6571157534642592,-0.5413997596560421,0.6351820544066088,1.4682702253736368,-0.13511638424224445,-0.451706616899581,1.5198019845030633,-0.3955558339139622,-0.7032513775795374,-0.29600760340522414,1.3093881103578247,0.5154256853947725,0.3261291832515681,1.6810797093900343,2.769353667407342,0.6725102154472932,0.20225978087680163,-0.8367236396892249,-0.46833018718845176,-0.3898911071975693,-0.05966289601354394,-0.04413591818367234,1.5419688881072011,-0.6310219058229348,-0.8929978167830748,-0.5502732194059194,-0.7328772199613526,-0.28184129782331313,0.07456749189187163,1.161676301362987,1.8715694589559007,0.6853681495679597,-0.4887481317008841,-0.8042327848341712,1.4576129059103546,-0.7187735136670106,1.065455352828843,0.24007478526559883,0.9131872797967231,2.234465398685669,0.3997613198859719,-0.06900825150706731,-0.5490992699972357,0.9026138924628194,-0.6049584536004887,0.31954704636902964,-0.18112189125699452,2.1685863377808317,-0.5861729564811344,0.08952501488936536,-0.8386561761109992,-0.22309303738012728,-0.25600809403688,-0.07939079386696714
SIDM00917,0.2536338368942526,-0.2135355422889387,1.6287201708397965,0.9771338680956163,0.6703226732559828,-0.4488476814542177,2.05407705242873,-0.5910051177038392,0.7032882367405254,-0.09672882938308264,0.3279819575978883,-0.4789249487721815,-0.6300975969652289,-0.6847001029446194,-0.08737606934962737,-0.07227826244569432,2.1682208807797045,0.36611728776337293,-0.20693165105610548,0.9954161335698698,-0.44961501627394507,-0.43991493639764384,-0.53140709085529,-0.3992769345693402,0.12581611851856564,0.6018744472152134,2.706514981805068,2.1032589178303955,1.0766636643654866,0.7518296918279702,0.4079912195723818,-0.4990074757813973,0.7084240651382601,-0.701575656143487,-0.01219307294287043,0.6747655177517772,-0.13914854844665173,-0.919667194283133,-0.7962043363591329,-0.05252370331954249,0.6749611130665547,0.3104583380836929,-0.5440472617887283,1.5947474958848789,-0.6035133333529629,-0.6012794748482913,-0.8931751692380971,-0.5683018791586874,-0.33826179106292537,0.4369286877983989,0.30905402251947384,1.5722760455087559,1.8123176406853694,0.6811079826711384,0.4845379309098915,-0.5377656233603392,0.5712278422207611,-0.7207177122178672,1.6959402178273975,0.29428175640692444,1.6434028863032866,0.6552993831852555,2.05851846338494,-0.7207299110933022,0.09639864077465503,0.44944808904324823,-0.45814276637380663
SIDM00309,0.3099802629052463,0.20761519131939282,1.7901311015560941,1.0570803897792147,0.7255659061086115,-0.8901144128424583,0.6396077119275543,0.13149006882139408,1.4346878852123166,-0.7376653580839087,0.7807549866059781,-0.8191751222390329,-0.3743296156063484,-0.5761599240701236,-0.5982155072109197,1.127406172706436,1.533801591408699,-0.03539533274547862,-0.20130190250486923,1.8363429543703027,-0.2912125403265399,-0.5673413731578653,-0.323607853268389,0.694650547024864,0.5986800821643932,0.33231993069445404,1.4951173730900065,2.5778827866642704,0.5659886880065685,0.19821987316206793,-0.8541154838838494,-0.35404607635741997,-0.39617924839638224,-0.033408677656909594,-0.07075364474348073,0.44635764588407606,-0.4729076891930827,-0.6905337454649281,-0.9214273137731334,-0.398022946651397,-0.2781246700638339,0.07713419241059723,2.061413170785068,1.6661583490903769,-0.17888301134424955,-0.7515624782056892,-0.7927969404487873,1.750803738259115,-0.5719067588538529,0.9231109339664209,0.1544148113693867,0.8412508340766739,2.108265807077271,0.9261764995281958,-0.38978151657559446,-0.4883528195407754,0.8186152745784866,-0.4331368386889992,0.9023372519923574,0.4332412209128918,1.7905076222712484,-0.5018997117469767,-0.236486328604705,-0.7952065883643438,-0.33145082133245723,-0.1229129380584758,-0.1603682274832688
SIDM00099,-0.16120780182301667,-0.08057002665373103,1.494071599233494,0.9480620406235725,1.1767266262913327,-0.738674772168323,0.7980042189590422,0.3645202555198482,1.2518102860044347,-0.7525229775462875,0.3390362523399091,-0.7705711201622135,-0.31302835707563065,-0.7950408368578683,-0.4747716843383623,0.7354802762086091,1.4524860221399285,-0.178519674526836,-0.21125073452829746,1.487042694018798,-0.2291313922542609,-0.5616008280392394,0.4590628778438762,0.516896907106455,0.6202538847874911,0.9889638523853684,1.4286800173594663,2.5640336413202114,1.1319607004431007,0.4272251428179874,-0.8097681129008282,-0.48127298654902717,0.13335399968062153,0.21846877828626285,0.13366079755805624,0.6730085000785737,-0.6583672314984758,-0.886350060965009,-0.08776125432368843,0.3631753301796315,0.4060440274154541,0.007434448992897634,1.437593744063728,1.7200583868663775,0.2764188287044035,-0.3991043129623154,-0.8431826104721083,1.9893804939894844,-0.745840851085465,1.129809220471564,0.7042714198127649,1.2669406558113878,2.35319881192637,1.000903354015933,-0.03778962523997398,-0.4606656978346491,1.1122126124745342,-0.7296459678057524,0.9772417205774084,0.2470462313405816,2.543351426805786,-0.60403659056009,-0.3920564817104374,-0.7412131459935081,-0.30151261608262947,-0.3063931104141543,-0.29295489699624994
SIDM00276,0.5405277638057181,0.6494015291488326,1.7359422087775975,0.5164845613433473,0.6944907569106895,-0.8716189818758594,0.7299756676216173,0.9734725880191235,1.2834932020677752,-0.6618289046515804,0.22516520348511637,-0.693685319706086,-0.26410001922606646,-0.051046874548187834,0.4225250613223542,1.320257080883738,2.019959361654287,-0.22945576373960963,-0.5708864249561418,1.826483893846453,0.11933883765264834,-0.5956790432627415,-0.5519477570600904,0.45809853087418184,1.1105277507367421,0.04471356433910901,1.5166522702960785,2.537790164982142,0.30639007044058486,0.3901472004011665,-0.8267639290855728,-0.576300583743626,-0.0691404580401485,0.24900124400107013,0.2185667859797125,0.6515748950888393,0.2468311246617019,-0.617326739525956,-0.5075501905398743,-0.48433843117361014,0.04423901097012558,0.3319259955565263,1.4320876928010258,1.781872273037921,0.3985969001546798,-0.6729384347717665,-0.878878674651359,1.110777565362061,-0.6488194164256283,1.2434495398720307,0.3722016247702064,1.6956813785864384,2.049498912743563,0.9572833288631304,-0.4037775604450337,-0.3152874840479835,0.6775051647594175,-0.4785287508458978,0.4020237646019066,0.030209795559018312,1.0723546854252366,-0.5315367247175582,-0.11198844640858856,-0.8724342233570149,-0.49045962005312094,-0.18699906706649816,-0.4121884693058777
SIDM00311,0.016676397282197126,0.48251935496648896,1.8748582179638982,0.8036714917234041,0.5447987316773143,-0.8992532166242262,1.0778381738374154,0.0214356449800298,1.179641852767542,-0.7172416337410076,0.5474182472045206,-0.8049432169992577,-0.2844104108884494,-0.6762071721589009,-0.7453538371884136,1.0092042678574253,1.8896826961927777,-0.1436366764423288,-0.48704365733361277,2.143294604108217,-0.04068572253821361,-0.6105409974472994,-0.27243689547260147,1.1456864598072072,0.29001810221540564,0.4764579269706616,1.7807493777478833,2.5336087504973483,0.7209770976879218,0.38729023043362193,-0.751888574666709,-0.41368099135544933,-0.07582413085830866,0.11182122054986383,0.15884163586295352,0.5102474431294666,-0.7234958444085249,-0.4807646145470617,-0.46941732480073955,-0.13474756891173795,0.5132953485645706,0.08589945360217498,2.338757694612015,1.7098473332189854,0.5194520148316456,-0.429418852049095,-0.8596516129349381,1.1408512642531226,-0.677359328236902,0.5384378784861976,-0.12702848759436397,1.2340839233422851,2.154206687974875,0.5087702015771275,0.03124497890814603,-0.4660973343828472,0.942535290863256,-0.512969308183406,1.2324268605147033,-0.16744840637044256,1.4788793169273584,-0.5452007531527697,-0.4267310830038636,-0.7787929081177212,-0.1528127154303174,-0.029608362448675183,-0.2815786822959473
SIDM00970,0.47699840145989814,0.2927011409601079,1.4270636782642596,0.3015782067203512,1.0032059249628758,-0.7209542776490149,0.4156426592409475,1.0989017121590612,0.926248724312014,-0.5256549411600988,0.17957833961123676,-0.0005214666553748757,-0.08106132453348147,-0.426249581568136,0.16764458696924706,0.19980267442914598,1.5480021660770813,-0.0316694772888078,-0.25018499616597295,2.2084785969705174,-0.10547988580351268,-0.32945864135872244,-0.8508602838977936,1.0362821960047388,0.3293145122295789,0.5498250488021341,2.047102764470724,2.70133784532971,0.8812510655645791,0.8119872597350951,-0.8149726060877294,-0.6183407853938081,-0.3662241185702077,-0.4620419677363416,0.02339370108682473,0.8955143169693113,-0.780307409634175,-0.9071411571691793,-0.9062378848792261,-0.24560597450788194,-0.0411071918593983,0.016143176077876336,0.18932458388962015,1.1479066050809417,0.07593002238863181,-0.7997441549426471,-0.862421172009199,2.0377973060067225,-0.4642723288066422,0.7800129548706279,0.0380372055909362,0.4717378738065982,2.0836698866468724,1.4249221875124036,0.005963953645897561,-0.6567645675008575,0.9291838685627761,-0.46976142432206475,0.6516507787099076,0.07842511824996666,-0.6233670239583565,-0.7197542934563707,-0.5966965990311485,-0.8051315465966639,0.024174200640533106,-0.0044976200404464785,-0.3230373291454919
SIDM00103,-0.21195830567363155,-0.11479201140650103,1.3082075831557558,0.8192588864072707,0.842042295483723,-0.46079514383998005,0.9863331329856467,-0.016481256602080708,1.506035085821319,-0.8503776194424709,0.06579980602104345,-0.8092251083840144,-0.33744940059802536,-0.6938380170967033,-0.3199136617291577,1.0316353661159339,1.3916393884940752,0.1526785008488658,0.019129677406904372,2.2535239496895834,-0.06847722136698463,-0.5499446939252121,-0.24893693507670495,0.4168218500162432,0.80055510601947,0.41510557535056075,1.2461389920078365,2.5729208617833472,0.6547304352838843,0.3533626797819316,-0.8467818040121766,-0.4292891057591731,-0.40114405850187046,-0.0009420409975655662,0.05682964877522256,0.019609299068091418,-0.6547130715364519,-0.8709323542503448,-0.1489624022248841,-0.5518795733650771,0.2546381519071807,0.0004835080749557808,1.9927127214703348,2.187522886063633,-0.15713019423056115,-0.31765203890663724,-0.8756849230558732,1.692495608595488,-0.8018036490477344,0.9926058880387207,0.5011303763626825,1.2710215088967116,2.343809602022163,0.8730676682546793,-0.08392783088818365,-0.5608796842096238,0.7256121625759887,-0.7236374164487444,0.8649885642906499,-0.012228360223561519,1.12683149848289,-0.5742533021236681,0.1279126044820992,-0.8415395909860525,-0.19631857119045654,-0.28401500007289676,-0.10318863179885122
SIDM00266,0.1439342599588066,-0.19522280359195227,1.3713170794869043,0.73891556292186,0.7998530910773893,0.33087623580987824,0.4262766490363536,0.2633800833143531,0.8550364573565588,0.19499029302853177,0.4323758508759002,-0.3600812305976859,-0.604682494559172,-0.7207346332098546,0.1151396341686013,0.9651475071789204,1.3033679463501235,-0.2454207720614906,-0.20465054875850483,3.237776786458646,-0.3555052293772311,-0.5117967119573102,-0.8347357449295455,0.08454986992931454,0.43598438125523226,0.6734581626959109,1.2716264406624573,2.423210183355695,1.2065827682676198,0.5203234391390296,-0.8496389728152324,-0.5568467555927609,-0.30005824183715535,-0.4727299439307586,-0.248028129252309,0.9111993007529532,-0.6946544374414192,1.332916152465452,-0.8524898453995975,-0.17615706719771163,0.48453409065528474,-0.1599034263136676,-0.7177109417741888,1.4581978107912916,-0.2661855431909787,-0.717075322252523,-0.6472016918770039,2.5759797624614174,-0.5568906287862644,0.26024975262616873,-0.43181650829586077,1.5946042917068368,2.1912185207380555,0.6872503253982933,-0.0798241463508033,-0.6844618064062402,0.9126078970805189,-0.576195003003543,0.975240071825603,-0.33462897669646635,-0.08315933928135008,-0.6595534890448225,-0.4575713727885775,-0.6325575608303017,-0.043248545248515055,-0.15869170900966262,-0.44868059800330085
SIDM01064,-0.1351704207431215,0.314366468197255,1.7996347258029761,1.136571207278792,1.1271093323880224,-0.20718441873025403,1.2866763672843036,1.155885726008934,1.1711456279706722,-0.6112167123833706,1.5451934254228694,-0.8948051722627113,-0.7070937817670304,-0.6653671393407016,-0.3823909016943919,-0.038295302397666216,1.9344409784512715,-0.051216720492121844,0.25313698106360166,2.1915516888627926,0.12561007301362406,-0.5099221426094163,-0.4457132286410602,-0.18205096731180204,1.0024155733741154,0.7873520739244022,2.224705986401305,1.8105522688699511,1.149130373982165,1.324784881453375,0.00999373611543667,-0.2614683980259644,0.49006099709420986,-0.6819687123538682,0.054157544537158105,1.139741061167428,1.4889527258331234,-0.8499676609529545,-0.8588586741547825,0.06787615621053905,-0.38390439931453113,0.11853981156144153,-0.7406362445139985,1.2272982263286853,-0.560569454632862,0.033796607007861836,-0.8664130507518361,-0.7509793774513629,-0.5222596854068073,1.6876964573630457,-0.1324727414864441,0.8403146006100611,1.855068768194796,0.6551528661016327,0.7949764032887504,-0.5881384431654524,0.607367515044863,-0.09958872918827921,1.6317312906782862,0.201441486318639,2.2707506791410754,0.5128280268281551,-0.2176454889852269,-0.7788569289509498,0.8846240816513324,-0.10113901006162213,-0.3221179351293593
