,CASP9,MAX,E2F1,CHUK,LAMA1,RARB,PIAS3,FN1,BIRC3,XIAP,ITGA3,ITGA2B,COL4A6,PTK2,COL4A1,COL4A2,PTGS2,NOS2,COL4A4,RXRB,RXRG,IKBKB,RXRA,RB1,SKP2,AKT1,AKT2,PIAS2,ITGAV,LAMC2,ITGB1,AKT3,LAMB2,LAMB3,LAMC1,LAMA4,LAMA5,LAMB1,NFKB1,NFKBIA,MYC,PIK3R5,PIAS1,IKBKG,LAMB4,RELA,APAF1,CDKN1B,LAMA3,TRAF6,TRAF5,TRAF3,CDKN2B,TRAF2,FHIT,TRAF1,ITGA6,CCND1,PTEN,ITGA2,TRAF4,PIK3R3,BCL2,BCL2L1,BIRC2,CDK2,PIAS4,CDK4,LAMC3,TP53,E2F3,E2F2,PIK3CA,PIK3CB,CCNE2,CDK6,PIK3CD,PIK3CG,CCNE1,PIK3R1,PIK3R2
SIDM00519,-0.16304697270656243,-0.35535441446193616,0.08599586272353803,0.8161035609072119,1.0125927037796167,-0.13038750543396876,-0.18324220372017233,2.2376153139368746,0.4920017838701124,1.095252420943605,0.09205600190106576,-0.6638353430631249,-0.7852317414313308,0.8283135112466042,1.9984426845934704,2.269862731293828,-0.796398457584215,-0.6331306056587033,-0.7165981833320694,-0.26789981353743914,-0.8671989843390221,-0.13511638424224445,0.6223185880347919,-0.451706616899581,0.3834725528520742,-0.3955558339139622,-0.7032513775795374,0.22566786029922697,0.0009008262244029427,-0.02694171501371728,2.086497938027983,-0.29600760340522414,0.44548084786417264,-0.3133722975198173,2.418454787062464,1.1603752574158308,0.46069209640622893,1.3635376475743668,1.6810797093900343,1.5124775933865677,2.1568489899129997,-0.8367236396892249,1.8398220260568632,-0.46833018718845176,-0.6118389492100208,-0.04413591818367234,-0.46457905330289656,0.7086712161008124,1.0076836786390166,-0.17858717545229483,1.1424995800410145,0.24880699117806257,-0.8909718571864307,-0.1720685776410113,-0.4053876110408998,-0.6971676589657596,0.6634384165166023,1.4576129059103546,1.2291206931556173,0.9110265201367456,0.5525146347205432,-0.7187735136670106,-0.8524925481584129,0.24007478526559883,1.5184460439148586,0.3896380854916218,0.4754028600382178,2.234465398685669,-0.7139013253366052,-0.5490992699972357,0.9026138924628194,-0.6049584536004887,0.31954704636902964,-0.18112189125699452,-0.1799837033660784,2.1685863377808317,-0.5861729564811344,-0.8386561761109992,0.5122871477904611,-0.22309303738012728,-0.07939079386696714
SIDM00917,0.2536338368942526,-0.014262648016933877,-0.2135355422889387,0.9771338680956163,1.6863871545001639,-0.6007228722825874,-0.3839881232725581,-0.7286250732021204,2.1100408153841252,1.2790557943706569,-0.6596355752874214,-0.7400576743919218,-0.7497754561978806,-0.5015917742499891,-0.696893158738483,-0.590147118003212,-0.8534756915549503,-0.6323221672871422,-0.8857489462612921,-0.11107106572296516,-0.825796317543983,0.36611728776337293,0.4172663715719339,-0.20693165105610548,-0.730904860174391,-0.44961501627394507,-0.43991493639764384,0.6793906897074822,-0.9024899812836101,-0.800160286683192,-0.5999323053013581,-0.53140709085529,-0.2828030816731038,0.5831794961016443,0.9390085236376848,-0.8627471753834502,-0.746457447963015,-0.7949074671884588,2.706514981805068,2.926357499895323,2.8043043388059963,0.4079912195723818,2.1056721373191194,-0.4990074757813973,-0.7389952976506082,-0.01219307294287043,-0.4817598551934792,1.0781721097533157,-0.5802307746774897,-0.01820099558756851,0.5588010080645845,1.2632262210408287,-0.8432808886040192,-0.08635682900541788,0.9147493609667474,1.1680568587855735,-0.9011456893296703,-0.5683018791586874,1.6334552938488958,-0.8417244183819581,1.1570233620785986,-0.33826179106292537,0.9638713702942754,0.30905402251947384,2.029623623545773,-0.25235009453546553,0.3435571846416378,1.8123176406853694,-0.7736718466146872,-0.5377656233603392,0.5712278422207611,-0.7207177122178672,1.6959402178273975,0.29428175640692444,-0.7452853305088003,1.6434028863032866,0.6552993831852555,-0.7207299110933022,-0.24510493242871217,0.09639864077465503,-0.45814276637380663
SIDM00309,0.3099802629052463,-0.3920375687425072,0.20761519131939282,1.0570803897792147,1.1695204996484247,0.673474944330178,-0.307175846198437,0.5347772774532252,0.4845657233790566,1.1671980601305776,0.5519547682780463,-0.8281095488093168,-0.38597556644957565,0.08441979984102689,0.6528765661692626,1.303946616003434,-0.8701890631582929,-0.6793310402760483,-0.26736591695676826,-0.13070142208776891,-1.017779917657865,-0.03539533274547862,-0.1299889697400401,-0.20130190250486923,0.8300036389330119,-0.2912125403265399,-0.5673413731578653,0.18853013032274812,0.02318201200707048,0.8050582369296546,1.6650003876070572,-0.323607853268389,0.9869007890516854,0.15754998705718853,1.7804193141735638,-0.06171775435536417,0.39569005278834024,0.7154422974727319,1.4951173730900065,2.224831625741866,2.5090390498281514,-0.8541154838838494,2.005102355112757,-0.35404607635741997,-0.7383902859089356,-0.07075364474348073,-0.6448947396276308,1.4073051121288134,0.48584369555477463,-0.09823501433670695,0.2215612202188198,0.06557768777281105,0.6266174442588274,-0.47485761876996296,0.6292231263010312,-0.8090672006016186,0.6355730277905758,1.750803738259115,1.5772688397020425,-0.3674746452568075,0.7834161652876509,-0.5719067588538529,-0.80283909773139,0.1544148113693867,1.6273325093403612,0.5992906972010221,0.2981426224227578,2.108265807077271,-0.4519825331453877,-0.4883528195407754,0.8186152745784866,-0.4331368386889992,0.9023372519923574,0.4332412209128918,0.03734112104455086,1.7905076222712484,-0.5018997117469767,-0.7952065883643438,0.4480503783760847,-0.33145082133245723,-0.1603682274832688
SIDM00099,-0.16120780182301667,0.033646070053220414,-0.08057002665373103,0.9480620406235725,1.7296299992237363,-0.8079586052726948,0.07315244766348163,2.838521993898353,-0.7887799422749717,1.4660423850012616,0.015888038036170272,-0.752799794549346,-0.7272328854579349,0.8544068899536325,1.8939579936318882,2.2158052521933005,-1.0144948648567913,-0.5965254590731098,-0.42922348694463835,-0.18224330928209767,-0.9177369605752332,-0.178519674526836,0.3019017433800442,-0.21125073452829746,0.2380512554443691,-0.2291313922542609,-0.5616008280392394,0.7020285897680919,-0.33164264619797185,-0.5954806928345331,2.1164613662544722,0.4590628778438762,1.0571088180985653,-0.6796179033976663,1.72872835623795,-0.4415338331765242,-0.11006090481523623,0.3791881988765483,1.4286800173594663,1.3423688261952067,2.8580368365656548,-0.8097681129008282,1.4420288244430157,-0.48127298654902717,-0.736550145761535,0.13366079755805624,-0.5123098983380346,1.1649822417382556,-0.8667647742150006,-0.19688733199262035,0.3192555580210049,0.18611870773196326,-0.8503030056667173,-0.34164731641932033,-0.4999436811786546,-0.8269375615086834,0.7397001617541373,1.9893804939894844,1.5501048087287475,-0.002309770087660232,0.3392862203012947,-0.745840851085465,-0.60294501058701,0.7042714198127649,1.6662354613692425,0.6284943136407297,0.45066260315074974,2.35319881192637,-0.7855607535775905,-0.4606656978346491,1.1122126124745342,-0.7296459678057524,0.9772417205774084,0.2470462313405816,-0.14498182381377514,2.543351426805786,-0.60403659056009,-0.7412131459935081,0.393917948673841,-0.30151261608262947,-0.29295489699624994
SIDM00276,0.5405277638057181,0.0574490815368653,0.6494015291488326,0.5164845613433473,-0.8495638673796531,-0.02406680721932326,-0.13433973313556555,1.0850254448180183,0.13138022546050546,1.1095054751269255,0.13496732555923086,-0.8348124793165309,-0.8340462534809868,0.8291659226218577,0.780192300485655,1.6951119347766386,-0.9194690877417911,-0.6810067277751112,0.29217099213146175,0.11281690019491557,-0.9127967189285877,-0.22945576373960963,0.6273179601490205,-0.5708864249561418,-0.3274511152099245,0.11933883765264834,-0.5956790432627415,-0.28069467693829914,-0.25759247262240875,0.8202291404396987,1.9783318848585798,-0.5519477570600904,0.3706276012620287,1.5130580718064017,1.5448143573048398,-0.5256505737412457,0.3155348066183229,0.5533411582212312,1.5166522702960785,1.8837504521796675,2.115272456379971,-0.8267639290855728,1.2970083961808203,-0.576300583743626,-0.7235664753422448,0.2185667859797125,-0.5289073356854165,1.3552218174092572,1.3371986994646863,-0.483533278006994,-0.23950877454945232,0.11294906241816405,-0.6215518475172483,-0.08663290330210438,-0.6781698185208029,-0.7016958768484536,0.669787471935834,1.110777565362061,0.900585957550162,1.151069661995485,0.9019063090228815,-0.6488194164256283,-0.8295392935450043,0.3722016247702064,1.4566407872846105,1.1643684646006895,0.3175214129435579,2.049498912743563,-0.7625838439334239,-0.3152874840479835,0.6775051647594175,-0.4785287508458978,0.4020237646019066,0.030209795559018312,0.08364247661362709,1.0723546854252366,-0.5315367247175582,-0.8724342233570149,0.017545209832525784,-0.49045962005312094,-0.4121884693058777
SIDM00311,0.016676397282197126,0.08717358383407552,0.48251935496648896,0.8036714917234041,0.888836813271322,0.4650335706494705,-0.43430450340436955,2.3178606516572033,1.1460956319343494,1.0730943447246037,0.43737174990329863,-0.6887818765640178,-0.8132625776471759,0.7677533507212658,1.6163337455578264,1.5688295341565972,-0.43020602098408267,-0.7367984097517243,-0.3288064286617186,-0.30908518314063327,-0.9653775300495114,-0.1436366764423288,0.5809582883918367,-0.48704365733361277,-0.1744202486930079,-0.04068572253821361,-0.6105409974472994,0.17422388496946875,-0.28451586249452937,-0.6073820375511421,2.109828675533141,-0.27243689547260147,0.7132709827399139,-0.4966185791260692,1.7416232465179657,1.096493041620801,-0.48013589796593314,0.4661589188174637,1.7807493777478833,1.7433000336297542,2.967969496653463,-0.751888574666709,1.1288017051500743,-0.41368099135544933,-0.7659624883457419,0.15884163586295352,-0.5693115362619589,1.1097653499745967,0.23733763293712656,0.18508660345019287,0.7342217744334377,0.5226809795931122,-0.8234819446114763,-0.08121727947938405,-0.4508626323175474,-0.6603559325766232,0.6641523656689027,1.1408512642531226,1.271290093423999,1.2717110425248945,0.42010599862288805,-0.677359328236902,-0.829927386537892,-0.12702848759436397,2.1134181565379686,0.5709020553360239,0.2722820471715937,2.154206687974875,-0.6996475033292228,-0.4660973343828472,0.942535290863256,-0.512969308183406,1.2324268605147033,-0.16744840637044256,0.5336817975130287,1.4788793169273584,-0.5452007531527697,-0.7787929081177212,0.1285457339194544,-0.1528127154303174,-0.2815786822959473
SIDM00970,0.47699840145989814,-0.18055731718765844,0.2927011409601079,0.3015782067203512,-0.9491625444080215,-0.6677257656857781,-0.0697103105849386,0.03518458947001074,-0.6740581882016845,1.562391828236381,0.1768469821509556,-0.8561637026276979,-0.07796633694698978,1.3150903179988855,-0.6858830845543586,-0.5693879426367895,1.238955745219103,-0.8191555360615993,-0.498695092439698,-0.258225501266485,-0.9498949336668708,-0.0316694772888078,1.0638361103115348,-0.25018499616597295,-0.14934576228753194,-0.10547988580351268,-0.32945864135872244,0.16135045250587926,-0.24391583092028785,0.35938506483701094,1.694698650979929,-0.8508602838977936,0.09667269467807481,1.1506980899971733,1.529592866310352,-0.7648409198033718,0.08721811814312751,0.30796633497365694,2.047102764470724,2.2527880968170315,2.8190670787098924,-0.8149726060877294,1.2470314572448156,-0.6183407853938081,-0.7734923238525461,0.02339370108682473,-0.5592354542280012,1.3371286241953104,0.6950893476163884,-0.025831726989787737,0.44906926197095826,0.20777358704481846,-0.892526793994832,-0.3033534916504489,-0.1659027084924979,-0.852881814478549,1.593128444132788,2.0377973060067225,0.979103906486245,0.43105352101918515,1.0988292844655678,-0.4642723288066422,-0.7892635762616721,0.0380372055909362,1.4237146526074613,1.0728471158117499,0.18531852517609504,2.0836698866468724,-0.8065223192889672,-0.6567645675008575,0.9291838685627761,-0.46976142432206475,0.6516507787099076,0.07842511824996666,0.6491339547961573,-0.6233670239583565,-0.7197542934563707,-0.8051315465966639,0.8979135918164843,0.024174200640533106,-0.3230373291454919
SIDM00103,-0.21195830567363155,0.07365610319504177,-0.11479201140650103,0.8192588864072707,2.1039972528533415,-0.7713261848266668,-0.15789258178673007,2.7061211838064723,-0.7311873954206425,1.1495947329515637,1.3606975463261584,-0.7946521882028632,-0.6927262474586338,0.4167131649759908,0.6872935552094029,1.5136860117540953,-1.0275622997954168,-0.6445999849338306,0.985480690933946,0.04614482880642706,-0.8957544925934747,0.1526785008488658,0.2987497200555495,0.019129677406904372,-0.7040564010408327,-0.06847722136698463,-0.5499446939252121,-0.15493371040676218,-0.7335315627056597,0.01747388300972316,2.443566252914627,-0.24893693507670495,0.7617485631358248,0.1374655315115833,2.0423243913650926,-0.055820892044911634,-0.6807428477736551,0.5411325350895093,1.2461389920078365,1.3316515770819293,2.9416310920056388,-0.8467818040121766,1.299841094235239,-0.4292891057591731,-0.7015453518651543,0.05682964877522256,-0.6801308861233766,0.8985220835888357,1.2339243906108215,0.08536607866700835,0.5833179239938006,0.2047325701929993,-0.8438527976593484,-0.42407888709718866,0.2338331717362535,-0.7210055467099026,1.640517635021438,1.692495608595488,1.4321080197998055,0.32354747588486,0.23095093218073923,-0.8018036490477344,-0.7675654380186656,0.5011303763626825,1.4290819425410115,0.4580110810559802,0.2868703049468089,2.343809602022163,-0.7416402363408573,-0.5608796842096238,0.7256121625759887,-0.7236374164487444,0.8649885642906499,-0.012228360223561519,-0.4602785028362328,1.12683149848289,-0.5742533021236681,-0.8415395909860525,-0.24499821549340217,-0.19631857119045654,-0.10318863179885122
SIDM00266,0.1439342599588066,-0.20610252737266996,-0.19522280359195227,0.73891556292186,-0.4758922544362344,-0.7911202527393741,-0.09798868314588433,2.466137314593211,-0.9454487631875603,1.3876467531196501,-0.8366397616807433,-0.6910634489552832,-0.8228214560856115,0.6838536770977712,0.6405483944130606,0.9622411265987856,-0.88391880953411,-0.6001897490612128,-0.8772598513113027,-0.068863008347731,-0.778794521329002,-0.2454207720614906,0.39520691193177704,-0.20465054875850483,-0.25322865284733254,-0.3555052293772311,-0.5117967119573102,0.7213463667764266,-0.38548394037421735,-0.7417998583865326,1.627616334486582,-0.8347357449295455,0.3366184529534626,1.0272540239891967,1.282968225698058,-0.8791715901347011,-0.5235048343161105,-0.07768270889401664,1.2716264406624573,1.5394493332535957,2.4907638735127424,-0.8496389728152324,1.3579653702234027,-0.5568467555927609,-0.738098572181379,-0.248028129252309,-0.5488311224049399,1.237918109598917,-0.7516401979709695,-0.4356357129989262,0.6417444475906009,0.680688275400782,-0.9143071399994125,-0.47848187584721463,-0.5567793975398857,-0.5971525268547669,0.27571016831712136,2.5759797624614174,1.0316435530116193,-0.43495975458155317,0.1475821295686407,-0.5568906287862644,-0.5357728627624754,-0.43181650829586077,1.390024021067948,0.3005009183936125,0.4285713995267509,2.1912185207380555,-0.793318884213618,-0.6844618064062402,0.9126078970805189,-0.576195003003543,0.975240071825603,-0.33462897669646635,-0.6661600216761644,-0.08315933928135008,-0.6595534890448225,-0.6325575608303017,-0.5482205167142229,-0.043248545248515055,-0.44868059800330085
SIDM01064,-0.1351704207431215,0.2568435469944065,0.314366468197255,1.136571207278792,-0.6957139586247524,-0.6515864183514272,-0.4143343611482652,-0.8048155842960509,1.683314654023084,1.116203909090365,-0.667937318319128,-0.7921440483883032,-0.6820171231064613,-0.6869075951904757,-0.6548125454980869,1.3932948224880424,-0.9303105823854808,-0.5907150346783359,-0.8177869010217534,-0.06694816192885211,-0.9169660559268452,-0.051216720492121844,0.11711991448442115,0.25313698106360166,-0.14915122247806173,0.12561007301362406,-0.5099221426094163,0.6071169447660228,-0.7395640198512876,-0.7977274106841921,0.9275137453301685,-0.4457132286410602,-0.8071476112359446,-0.055302457973329396,-0.7113395961304901,-0.814387143121149,-0.5860773123594833,-0.8343753750862017,2.224705986401305,2.441087912138068,2.881343173952386,0.00999373611543667,1.3920398685944595,-0.2614683980259644,-0.6844284225808198,0.054157544537158105,-0.5468074502680605,1.455623767041481,-0.9409615893530845,0.5276334487591244,1.2347476007899465,1.18734204864023,-0.8227859542549171,0.12872733010654114,-0.586809679121046,0.9284124526556832,-1.0060986940600265,-0.7509793774513629,1.305311154087349,-0.8991748061896326,-0.007575653026663049,-0.5222596854068073,0.02402569224610241,-0.1324727414864441,1.8010711837053133,1.1340757855931924,0.36376131013428686,1.855068768194796,-0.7286720377848074,-0.5881384431654524,0.607367515044863,-0.09958872918827921,1.6317312906782862,0.201441486318639,0.8469260362458246,2.2707506791410754,0.5128280268281551,-0.7788569289509498,1.2133393179603242,0.8846240816513324,-0.3221179351293593
