,MTHFD2,GART,TYMS,FTCD,ALDH1L1,MTFMT,AMT,MTHFD2L,SHMT1,MTHFD1L,MTHFD1,MTR,ATIC,MTHFR,SHMT2
SIDM00519,1.2724476630672896,1.0172556905997316,1.7781722521486318,-0.6360894454738986,-0.7487944521750476,-0.02501566800721489,-0.7267902257670062,-0.7473857227989635,0.5450716630228675,1.961710815737064,1.2899743775249661,0.48289086011212895,2.160812945174367,0.15197523347732747,1.6734294191508097
SIDM00917,3.0739655617358324,1.1001207117933616,1.978644076862712,-0.7928349509630681,-0.15399770370615426,-0.2093308345046396,-0.5612686269881961,-0.6705023927703332,-0.5199543220644577,1.9753543616006723,1.7986794853767298,0.22799804824974,2.009965696072345,0.6183795616415382,2.348630513241478
SIDM00309,1.8684895505193035,1.2208946739899282,2.1356863964613693,-0.7497908337758359,-0.41733530473858266,-0.058940690037485324,-0.7226563242567041,-0.653916226646072,0.8094269578703729,1.2187690799470616,1.5893946672059185,0.37392864381531105,2.1316075642582963,0.38263730731961504,1.7627270501581844
SIDM00099,2.658284823508327,1.3449483483621152,2.1609919088768117,-0.746486621515041,-0.6909878073721823,-0.14230428034399295,-0.7120138262355129,-0.741503710287026,-0.3789765059713855,1.9377907973017672,1.7572313823281138,0.3455613130293556,1.9982705067234408,0.35750234300366096,2.5357106726003034
SIDM00276,2.5377839101117408,0.9350715455554958,2.143926272539413,-0.7671499162675319,-0.4989076960894842,-0.15207741721899257,-0.6755043448100843,-0.8621361456517213,1.6589711526025601,1.6550273613095747,1.9516269091774583,-0.17382511757925043,2.1024967403211603,0.5113828246699093,1.916755610745466
SIDM00311,2.3117151315410602,1.2929588002478989,2.046951312805388,-0.7358481517330093,-0.7158855747652425,0.14113925380636555,-0.6528038372080005,-0.718993013618806,0.9635259221494952,1.7557844635501585,2.0597638507732134,0.3330125246731275,1.9378304051807342,-0.02508639684842235,1.522978497520073
SIDM00970,1.5806988246626354,1.2840530388291096,2.2091801757373144,-0.7642542201494913,0.45475670727162926,0.31195348367313835,-0.636938307897055,-0.8220842914845459,0.44287128587575353,1.1880393735875194,2.2081224550381298,0.05932366053829403,1.8448437823325912,0.4291415093669446,1.6734652528334923
SIDM00103,2.614023463722829,1.2715920738726327,1.4822437682291227,-0.752224624350921,-0.6381977285955995,0.03777309723355402,-0.6674945799483597,-0.7541170703852792,0.20851475134121455,2.0449062344048667,2.1247721891747493,0.18263712558622547,2.1693033094252043,0.475222905570067,2.179655874206732
SIDM00266,2.880767644653616,1.5628667395481477,1.8758277265702923,-0.6892911345824122,-0.7127807475498659,-0.014891711307926324,-0.5138734886863994,-0.4402984152858158,0.27016020358795195,1.6018215531827869,2.070810324047471,0.4625567191882681,2.4596847760858207,1.0688355424069713,2.355099924006657
SIDM01064,2.6020649592240885,1.294639136555302,2.3938305445374652,-0.7502183199354037,-0.706341007375761,-0.15503525728579606,-0.5242237588409031,-0.49882773903268635,0.572114099458738,1.8804409969010059,2.0655528337822613,0.3448793926955041,1.9888654236006311,0.3881493172003458,1.9337434487229757
SIDM00098,2.4959207094053437,1.5338564343987364,2.6440486837498494,-0.7380444168360731,-0.6932659931548486,-0.07544726178637995,-0.6341855940252081,-0.6848457442430085,0.2337039135252946,1.6717473310879372,2.004074108911011,0.17574491484774185,2.200661297962746,-0.011410481087163886,2.043812944877613
SIDM00225,2.3529663548830864,1.0072742183136247,2.7783185332958706,-0.7446141460370557,-0.6743674340709687,-0.050493961078799346,-0.6650487012558295,-0.669492053816234,0.9190097652602519,1.3868420203614606,2.02871121219907,0.28915572363889464,2.0058775520317194,-0.0320097554545532,1.8987725896943795
SIDM00846,2.2335741729554863,1.2848601809533202,2.569531101771747,-0.7293716007265904,-0.7485654838641256,0.0777479845655141,-0.6630024007266059,-0.7364085626169848,1.0144476174951718,1.8087015144798013,2.283368042812635,0.19773721636366126,2.28945594458275,0.28772431440312446,1.9909460537618058
SIDM00291,2.732021824589917,1.241608381485553,1.5808398845149052,-0.6853549135144985,-0.7810066988389932,0.7911965899630186,-0.36640401602704664,-0.6404762417389286,0.33733248830819423,1.496310684119098,1.8569729524826126,0.5029782004059667,2.3210533603147283,1.0985042595694803,2.731543600920268
SIDM00520,1.9004399491264725,1.1959906786343906,1.8719905682961084,-0.75656132248953,-0.7218363898599632,-0.15478478969251355,-0.6502532723078717,-0.7556019032648579,0.24931278261385353,0.9561671017070332,1.6038835436201737,0.22700850160530986,1.9342494064721651,-0.0351271366105281,1.9575464936027498
SIDM00003,2.1608065781315635,1.3903431021672905,2.83418573576539,-0.7078358630812862,-0.7512330704090607,0.2681788456793498,-0.6712753261665543,-0.8506914419372793,0.9734549064141985,1.1153470039732314,2.1076789766323905,0.17407332883025192,2.260100023465547,0.43902856543142627,1.9037613598373602
SIDM00136,2.846930486186614,0.7975182774055224,1.8047980112200144,-0.729661867433564,-0.5341558118346026,0.057462639293812616,-0.5935261230807944,-0.7155904914288966,0.3879162573822176,1.4946952486055565,1.337993524879972,-0.021078654806666527,2.05737649257821,0.8164133160812032,2.6667327788413058
SIDM01155,2.2135815921827953,1.084089828443019,2.2238129677181435,-0.7150414838647546,-0.7665766252017145,0.024173137602140404,-0.6735919782277573,-0.6594270302415666,0.4884661671840541,1.1847215430358313,1.9893773244712512,0.13237973023876912,2.0681744773720143,-0.3084205891020327,1.7923373738474648
SIDM00224,2.224560908208309,1.1183505979872412,2.058791937928721,-0.788385269877997,-0.6597510752617308,0.09552791705084954,-0.6572298768824584,-0.6912553212334422,0.5728786851209113,1.5626808488050465,2.0273555589863452,0.4371348338600215,2.183254880892392,0.20591858637595895,1.613293622356858
SIDM00783,3.0517237215371065,1.6838418670196214,2.180464288090735,-0.7941626347457632,-0.7070641719234174,0.03426872631900197,-0.5169858272544964,-0.26719336973835844,0.2465027809688589,2.1394779044139254,1.8329373537782658,0.1666727210024804,2.0574930721935276,0.02415341189209968,1.8361174741869493
SIDM00490,2.989845745868747,0.9602435296066857,1.3023859754656408,-0.8154610591354736,-0.7785945332522204,0.03070138348277081,-0.49454590670966636,-0.5828399871289972,-0.47232288615677276,1.7889042679251934,1.181812580887677,0.10402604220469938,1.9065541962903647,0.35947891937503484,2.305721899959198
SIDM01090,2.5368620783231886,1.508296130737469,1.9442452419185314,-0.657965172609073,-0.7686483156848449,0.407674221997087,-0.5814672841115168,-0.549594041299526,0.4053181328314955,2.11387644211298,2.097439941921576,0.1577512453720695,2.3083419201106143,-0.27643589635352667,2.552860588869844
SIDM00394,2.915622118472042,1.1381588806776985,2.5169751369400295,-0.6967366196876255,-0.7456727045599525,0.1605641194409998,-0.5562849939917871,-0.5052671059510349,0.6505349402810434,2.147279131881393,2.0981990433292235,0.24283579360999683,1.7047837949412465,1.143617335408481,2.174796185716476
SIDM00538,2.8505859256839394,0.7896082430771858,1.7499049979224297,-0.7428823574044017,-0.6859158059426098,0.14495025328955133,-0.6911982502164333,-0.29610872280639916,-0.1605765459625628,1.4366271608497732,1.7635365900861781,0.13612282838704357,1.4513779036424042,1.0710677867249805,1.6678417812068613
SIDM01140,2.4410621011288396,1.297555580311564,2.444482789272781,-0.8126498853907962,-0.7842139551173368,0.26755774623441425,0.2385425029182981,-0.575032121970022,0.6436011637650684,1.7295854649993412,2.208656121601769,0.2062560991034397,2.2981358597202104,-0.05858544127458468,1.8238876923001217
SIDM00101,2.5387157356947956,1.2587333844490871,2.530474617239509,-0.7256454536604617,-0.7202545117459316,0.16818825506817284,-0.6231403250717817,-0.811069778762972,0.1966549375664532,1.2797000155899414,1.536485654707054,0.45632401011833473,2.055495796349778,0.5517234493291927,2.2702857243021954
SIDM00114,2.7546422169917957,1.1113965918682964,1.32030291471834,-0.7911273988989083,-0.6479553758067849,-0.1642379188791292,-0.6963111917050306,-0.5879305618343299,0.3954753205296041,1.5176018319781757,1.5625173447761933,-0.03841093928003809,1.8495698262614635,0.3982720140044223,1.9833390507017898
SIDM00102,2.373715549537434,1.019049410649824,1.7520909719789735,-0.4361405170132384,-0.5140874578177477,-0.251997670086459,-0.6775406021971166,-0.6846886411193209,0.07936865634275071,1.7151949913792657,1.577954371067333,0.2667372139410219,1.9287684599873949,0.3125868912844912,2.3394925329607346
SIDM01122,2.784877605423858,1.255789409478634,2.928068776805949,-0.7883344935175748,-0.3852458002304132,-0.1324183961871798,-0.5432767472914952,-0.7329884627630483,0.5105014604078482,1.9524585373833998,1.9797691507005226,0.01350227454524506,1.934262238504718,0.7575862641873387,1.5638522970544113
SIDM00261,2.5445186911791016,1.1813416605972125,2.141001673241798,-0.8283245617670991,-0.7858723572217238,-0.15587110995477502,-0.5929114868882481,-0.3212182123494523,-0.16536361628500107,1.5717892276460046,1.523823837288359,0.24290571159640548,2.0157698433809688,0.6274233667301223,2.2207757171727738
