,JUN,SOS2,CHUK,RAF1,PRKCB,MALT1,CARD11,PPP3CC,PPP3R1,PTPN6,INPP5D,DAPP1,MAP2K2,RAC3,CD19,MAP2K1,VAV1,CD22,CD72,IKBKB,CD79A,AKT1,CD81,CR2,AKT2,CD79B,AKT3,NRAS,CHP2,GRB2,RASGRP3,NFAT5,MAPK3,NFKB1,NFKBIB,RAC1,NFKBIA,SOS1,FCGR2B,NFKBIE,MAPK1,PIK3R5,IKBKG,HRAS,NFATC4,RELA,NFATC3,GSK3B,KRAS,SYK,BTK,PIK3R3,BLNK,PIK3AP1,PPP3CB,PPP3CA,PIK3CA,PIK3CB,PIK3CD,PLCG2,BCL10,NFATC2,FOS,NFATC1,PIK3CG,LYN,VAV3,PIK3R1,PIK3R2,CHP1
SIDM00519,1.450651171689224,0.0498076182111507,0.8161035609072119,0.41097071018801634,-0.693256665426057,0.46090261619730694,0.7620410980448058,0.11411858638168945,0.6006131335263584,-0.340566845307433,-0.6445948568621265,-0.7857048231574653,1.2117328419628624,0.6351820544066088,-0.7593551922531183,1.4682702253736368,-0.29271956221701273,-0.7707971077912834,-0.9735287316802063,-0.13511638424224445,-0.8665100529638956,-0.3955558339139622,1.9925528079974535,-0.8933270080088781,-0.7032513775795374,-0.5573551537098742,-0.29600760340522414,1.221839698263148,-0.8245934981203595,1.7411622420718154,-0.9022110921568451,0.8029011509859189,0.5154256853947725,1.6810797093900343,-0.34890968302054115,2.769353667407342,1.5124775933865677,0.5708231736562318,-0.8879551343148693,0.7205480756816781,0.20225978087680163,-0.8367236396892249,-0.46833018718845176,0.8798485214472693,-0.8210818751642682,-0.04413591818367234,0.14223913067863656,1.3510624486918985,1.5419688881072011,-0.8009619951846767,-0.9963362085214063,-0.7187735136670106,-0.9019539072049412,-0.8812647877234279,1.0595067925802728,0.4624333910765997,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,-0.23385840083667578,0.16187551831784955,-0.756545736040116,-0.2966005646921992,-0.7407026394973882,-0.8386561761109992,1.0616726236766958,-0.7551533582386583,-0.22309303738012728,-0.07939079386696714,1.6441251892035962
SIDM00917,0.3557040154974996,0.777404455271312,0.9771338680956163,0.6703226732559828,1.6723657668354104,1.0091991810403074,-0.06725309516236233,1.4073343429485472,0.5031292249178309,1.6031943454128226,0.07375993449014455,0.6012183362924894,1.4353305093647586,-0.07227826244569432,0.02964591573008377,2.1682208807797045,0.6058303991855325,1.9156380491950407,-0.15186522402218802,0.36611728776337293,1.6945499181332486,-0.44961501627394507,2.1959408514070504,1.5939984657500637,-0.43991493639764384,-0.1967538408978843,-0.53140709085529,1.5502036363871254,-0.8433782154006646,2.0967618944171535,0.17654462099938828,1.509834124016156,0.12581611851856564,2.706514981805068,0.01275492218989675,2.1032589178303955,2.926357499895323,0.5455241666444859,1.5039176729535413,2.1220857546689444,0.7518296918279702,0.4079912195723818,-0.4990074757813973,0.5785314872233444,-0.5427612633405228,-0.01219307294287043,0.7972661786730947,2.04988231234367,0.6747655177517772,0.846966397865307,1.359672450036133,-0.33826179106292537,2.588407782288221,1.0943213973795876,1.421329490820309,-0.9550305402844965,1.6959402178273975,0.29428175640692444,0.6552993831852555,2.521525918877269,0.4759504543337843,-0.6339409823117056,-0.763011425278973,-0.6519239209292012,-0.7207299110933022,2.599953714582175,-0.7231712567390318,0.09639864077465503,-0.45814276637380663,1.0619232141102706
SIDM00309,1.1989135914686246,-0.055147137698300645,1.0570803897792147,0.7255659061086115,-0.8444723115073255,0.29626354276095046,-0.039447535232402166,0.239530686891279,0.4586945316334438,0.08030536800994867,-0.7453242757512184,-0.8751995405634558,1.29693709399388,1.127406172706436,-0.7633943988458649,1.533801591408699,-0.7327293340903663,-0.9173496591549949,-1.027364142651888,-0.03539533274547862,-0.8505724398146185,-0.2912125403265399,2.40908432675704,-0.8469820168834435,-0.5673413731578653,-0.6613809620486746,-0.323607853268389,1.256524659301111,-0.840162665915936,1.551214464507327,-0.19898618973360124,1.2422612697902125,0.5986800821643932,1.4951173730900065,-0.32725474022634793,2.5778827866642704,2.224831625741866,0.6321035255310687,-0.9208668503400408,0.7503478128869373,0.19821987316206793,-0.8541154838838494,-0.35404607635741997,1.0882773068400704,-0.8560703161417678,-0.07075364474348073,0.7219802571115488,1.5938635558462186,0.44635764588407606,-0.6241813455249899,-0.9830227622883678,-0.5719067588538529,-0.9088592340311552,-0.7867999891413947,1.1348244033746662,0.7846956195278735,0.9023372519923574,0.4332412209128918,-0.5018997117469767,0.08187136456782916,-0.07450094808964759,-0.8034805451055725,-0.7280138679522405,-0.7620115974132645,-0.7952065883643438,0.6441326067299576,-0.8438744664001151,-0.33145082133245723,-0.1603682274832688,1.7579141813487515
SIDM00099,1.2804267594778411,0.23750660699476628,0.9480620406235725,1.1767266262913327,-0.8126854339693373,0.9325846100493573,0.035320502344057036,1.139087154857637,0.9383392124847367,-0.6120101741715228,-0.6330770555164758,-0.7702196711715703,1.6865245406992782,0.7354802762086091,-0.8151870737202614,1.4524860221399285,-0.7726990256436767,-0.7588240839832247,-1.011362210354596,-0.178519674526836,-0.9075810413837513,-0.2291313922542609,2.4625081493028658,-0.8289394487933341,-0.5616008280392394,-0.7208141971957513,0.4590628778438762,1.2061207614674792,-0.8432639551399868,1.5303667233180474,-0.7437690255512749,1.4906761880878825,0.6202538847874911,1.4286800173594663,-0.3128482765511934,2.5640336413202114,1.3423688261952067,0.833796751022729,-0.8671042686911759,0.05387269328336505,0.4272251428179874,-0.8097681129008282,-0.48127298654902717,1.0093641595797609,-0.8552614825016744,0.13366079755805624,0.4907166525947159,1.7953402335997541,0.6730085000785737,-0.7187895426531591,-0.9726525568727691,-0.745840851085465,-0.9050531510879306,-0.8641846645318646,1.3225179014283042,1.0484953055855488,0.9772417205774084,0.2470462313405816,-0.60403659056009,-0.4496306432321909,1.1370214927699496,-0.7297280377807519,0.032363518786125416,-0.5712186187752463,-0.7412131459935081,-0.13631200820160339,-0.7464210122780767,-0.30151261608262947,-0.29295489699624994,1.5173131678875098
SIDM00276,1.1495267237151896,-0.0659297637105213,0.5164845613433473,0.6944907569106895,-0.7890798899543415,-0.34088614385932386,0.6823914912987055,0.14944474233641536,0.7380633156463018,0.8219184729154284,-0.6677738451485075,-0.2135813733264058,1.5730502356630185,1.320257080883738,-0.81998947252609,2.019959361654287,0.018827202302377277,-0.7971461766183893,-1.0122526983301892,-0.22945576373960963,-0.8668074442782481,0.11933883765264834,2.0277378390997924,-0.6861854777460759,-0.5956790432627415,-0.72669032316835,-0.5519477570600904,1.9524905147513523,-0.8075367709930855,1.9575623215250881,-0.7148061814847448,0.46729077348319253,1.1105277507367421,1.5166522702960785,-0.17021109562150152,2.537790164982142,1.8837504521796675,0.4636340472715856,-0.9281416962230737,1.1406307202167623,0.3901472004011665,-0.8267639290855728,-0.576300583743626,1.1816656923996194,-0.6704676022637825,0.2185667859797125,0.5402510445726798,1.6862762082929676,0.6515748950888393,0.49155265882209953,-0.962710503745344,-0.6488194164256283,0.26860181682613304,-0.6715444385990814,0.9749929377434926,1.1017332648282585,0.4020237646019066,0.030209795559018312,-0.5315367247175582,-0.028502178643651007,0.4099805954626639,-0.8009237497953396,-0.5043323766106234,-0.9062178075717767,-0.8724342233570149,1.538287484023975,-0.7054601585509422,-0.49045962005312094,-0.4121884693058777,1.8004960987401966
SIDM00311,1.6009746532649622,-0.03247697834325912,0.8036714917234041,0.5447987316773143,-0.8105801305761055,0.4839045030379289,-0.0932900115410462,0.5372556161210008,0.33983197724746034,-0.7275842771008386,-0.7579816717625386,-0.8347310216592566,1.3593653195542226,1.0092042678574253,-0.8206238311100338,1.8896826961927777,-0.8689779586238847,-0.8437480523363343,-0.7929754774590198,-0.1436366764423288,-0.9378769989548444,-0.04068572253821361,2.026519077598443,-0.8261893372037533,-0.6105409974472994,-0.6984324602800063,-0.27243689547260147,1.5785594577365645,-0.8158154101321047,1.635529327971572,-0.7492228941116833,1.0653170309099644,0.29001810221540564,1.7807493777478833,-0.21095981177158787,2.5336087504973483,1.7433000336297542,0.6037743687259487,-0.8389539466654905,0.49755738215924966,0.38729023043362193,-0.751888574666709,-0.41368099135544933,1.1499067182680816,-0.8776166274923565,0.15884163586295352,0.3741323540730578,1.282951438624949,0.5102474431294666,-0.8753313190884853,-0.8449021753776194,-0.677359328236902,-0.8965356812186448,-1.0510682278905783,1.2093930196224365,0.947465542602499,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,0.22047856944745903,0.6486743706917789,-0.749702553287369,-0.47377415735670114,-0.6073710930588813,-0.7787929081177212,0.5216602945623253,-0.6994468276851648,-0.1528127154303174,-0.2815786822959473,0.7540254640885538
SIDM00970,1.1125033789495749,0.06815208203162508,0.3015782067203512,1.0032059249628758,-0.7355939801807603,0.13380052363739628,0.7561496814679478,0.030852483894811232,0.5069331571714352,0.6126547607518921,-0.5852904881654436,0.07059925815477477,1.0350064504926018,0.19980267442914598,-0.8051301396331002,1.5480021660770813,-0.7808174088188924,-0.877245645041602,-0.9576011952645603,-0.0316694772888078,-0.9781893011982553,-0.10547988580351268,2.2898045158927043,-0.8114232055469351,-0.32945864135872244,-0.7042517677748843,-0.8508602838977936,1.2890579677789475,-0.7022949505622341,1.7772022885091538,-0.8976361775019362,1.3601499438898244,0.3293145122295789,2.047102764470724,-0.1340406003864184,2.70133784532971,2.2527880968170315,0.7419548768709279,-0.9030876606617987,0.5536917965221776,0.8119872597350951,-0.8149726060877294,-0.6183407853938081,1.3507311932125972,-0.8292913973608347,0.02339370108682473,0.54216188023287,1.5783739419319924,0.8955143169693113,0.7555729284712365,-0.897447883561647,-0.4642723288066422,0.6562787340001228,-1.0264337306317677,1.3200824079518878,1.1064490655090542,0.6516507787099076,0.07842511824996666,-0.7197542934563707,0.41264517800793504,0.7713358563663716,-0.6591845002345471,0.970328271120959,-0.7053407019267107,-0.8051315465966639,1.2608411430676931,-0.047028253319504124,0.024174200640533106,-0.3230373291454919,1.7144994215516516
SIDM00103,1.9346272657562575,0.11201949844336118,0.8192588864072707,0.842042295483723,-0.8670659958030608,0.7268561094098882,-0.12636079000016132,1.39866427863796,0.5453880413287697,-0.6190684972746465,-0.6621347121450256,-0.9406234344419739,1.7208696588265395,1.0316353661159339,-0.7987586449207091,1.3916393884940752,-0.7562903116397408,-0.6323582077054559,-0.9095381307792901,0.1526785008488658,-0.8772077228105446,-0.06847722136698463,2.4977569935523167,-0.8685855910680249,-0.5499446939252121,-0.640580689504465,-0.24893693507670495,1.5912580346491147,-0.7919491553438586,1.6238428467390442,-0.5587876669965042,1.5894483937733366,0.80055510601947,1.2461389920078365,-0.4345943136841946,2.5729208617833472,1.3316515770819293,0.6115918772422926,-0.8573262410867384,0.3332103366463939,0.3533626797819316,-0.8467818040121766,-0.4292891057591731,1.4511064022891142,-0.5451930369162776,0.05682964877522256,0.333849265286775,1.8739563973929787,0.019609299068091418,-0.738292880671025,-0.9535682793888517,-0.8018036490477344,-0.8823096244610759,-0.9218902389777556,1.1609808763492704,0.931967646087815,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,-0.5946701851889066,0.44652201240545436,-0.8243914979942017,-0.760248912439599,-0.7073016849798737,-0.8415395909860525,0.8321479795950905,-0.7108082069880823,-0.19631857119045654,-0.10318863179885122,1.7219521346837794
SIDM00266,0.7547732186794955,0.18691646827734318,0.73891556292186,0.7998530910773893,2.4447941496261234,0.058385162193134034,0.060131188393909296,0.059452434153442264,0.7518863505157191,-0.6332264740823457,-0.7471451250078748,-0.9503898198017074,1.421884080467031,0.9651475071789204,-0.7911705817005411,1.3033679463501235,-0.43423365118197577,-0.8882887834625652,-1.0319867503571765,-0.2454207720614906,-0.824033671011228,-0.3555052293772311,1.8461113655988448,0.7554355086995375,-0.5117967119573102,-0.7000480536450351,-0.8347357449295455,1.6647147494627599,-0.8471823115370111,1.4884797745308012,-0.9403309307943801,0.8225539262431254,0.43598438125523226,1.2716264406624573,0.04159796809956709,2.423210183355695,1.5394493332535957,0.5948286514554698,-0.7777301313521171,0.2551099405062088,0.5203234391390296,-0.8496389728152324,-0.5568467555927609,0.7427837498526729,-0.5472135560595207,-0.248028129252309,0.24565822843564036,1.608867664968994,0.9111993007529532,-0.8482683906998657,-0.9479561099779149,-0.5568906287862644,-0.5743313271961473,-0.3773466761936551,1.6327421418768657,1.6648138934646912,0.975240071825603,-0.33462897669646635,-0.6595534890448225,1.042684104369696,0.14897608747420513,-0.7181169584038343,1.5013876299231168,-0.6735704101789105,-0.6325575608303017,0.7012087593342549,-0.7238248028637337,-0.043248545248515055,-0.44868059800330085,1.301229601043689
SIDM01064,1.1767698825357338,0.4878491632261718,1.136571207278792,1.1271093323880224,-0.8145439237286827,0.6388007109811069,-0.026867677307719443,1.2825025270747707,0.7706577661199161,0.03950683878386853,-0.3939216172902523,1.155451993073027,1.1257725690972324,-0.038295302397666216,-0.8453246327661762,1.9344409784512715,0.3878281994828493,-0.6704394949358945,-0.8670729712303284,-0.051216720492121844,-0.8819881349801503,0.12561007301362406,1.8547813725364066,-0.9027180777837596,-0.5099221426094163,-0.6766093602266058,-0.4457132286410602,1.8509542624253292,-0.8555506126949551,1.7085587502100803,-0.44760399004151336,0.5756187915761554,1.0024155733741154,2.224705986401305,0.3642839661736418,1.8105522688699511,2.441087912138068,0.8955226757344096,-0.7185323637993222,1.278783700345138,1.324784881453375,0.00999373611543667,-0.2614683980259644,0.8651038677438343,-0.849907290383355,0.054157544537158105,0.4729958487755104,1.0044439342394096,1.139741061167428,-0.7029059951603241,-0.7778273802927627,-0.5222596854068073,0.6086114185054978,0.6066647640280811,1.4965333639248315,1.2064258194788318,1.6317312906782862,0.201441486318639,0.5128280268281551,-0.661233852400993,0.3543847076618535,-0.5762247744328114,-0.7361677029592799,-0.5573720633816219,-0.7788569289509498,1.8926205883781668,-0.7695841706409674,0.8846240816513324,-0.3221179351293593,1.1989393237284054
